stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id,stations_outside_largest_component,components,socio_locality,socio_cluster,socio_index_value,socio_population,socio_join_method,socio_join_distance_m,region,metro,socio_group,degree_percentile,weighted_degree_percentile,pagerank_percentile,betweenness_percentile,harmonic_percentile,stations_outside_largest_component_percentile,composite_centrality_score,top_quintile_centrality_count,station_archetype
37332,17064,רחובות,31.908691,34.806351,125,4,198,3,4,0.0126014603123898,0.0736596736596736,0.2828463203463203,False,1,0,1,רחובות,7.0,0.486354260435779,517.805425112868,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.8059701492537313,0.2537313432835821,0.417910447761194,0.7910447761194029,0.7761194029850746,0.0,60.895522388059696,1,ordinary or peripheral station
37316,17080,קרית גת,31.603526,34.777955,70,4,140,4,4,0.0121441181414992,0.1841491841491841,0.2916847041847042,False,3,0,1,קריית גת,4.0,-0.379849947193519,3610.08211014432,nearest,278.61397578705805,מרכז,פריפריה,Lower (clusters 2–4),0.8059701492537313,0.14925373134328357,0.373134328358209,0.8805970149253731,0.8059701492537313,0.0,60.298507462686565,3,structural broker with alternatives
37296,17100,הוד השרון,32.170213,34.901609,217,3,434,3,3,0.0142160931879732,0.0491064491064491,0.2364778739778739,False,8,0,1,הוד השרון,9.0,1.78268147894157,13192.2864206418,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.6417910447761194,0.6865671641791045,0.5373134328358209,0.7164179104477612,0.417910447761194,0.0,60.0,0,ordinary or peripheral station
37378,17018,בת גלים,32.830498,34.981888,385,2,770,2,2,0.0224226849932552,0.0,0.2663480038480038,False,2,0,1,חיפה,4.0,-0.373187294740554,1326.32556387172,within,0.0,צפון,חיפה,Lower (clusters 2–4),0.3358208955223881,0.9104477611940298,0.8656716417910447,0.1865671641791045,0.6716417910447762,0.0,59.40298507462687,2,redundant high-service hub
37346,17050,חולון וולפסון,32.035462,34.759782,194,3,388,3,3,0.0140179620253115,0.0136752136752136,0.2719696969696969,False,7,0,1,חולון,5.0,-0.29806605678754,3855.0028653554,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.6417910447761194,0.5671641791044776,0.5074626865671642,0.5074626865671642,0.7164179104477612,0.0,58.805970149253724,0,ordinary or peripheral station
37386,17010,חוצות מפרץ,32.809527,35.054514,262,3,524,3,3,0.0166398172672441,0.0002331002331002,0.2188153176789539,False,4,0,1,חיפה,7.0,0.577979260876812,3159.20960408358,nearest,1360.6679217607104,צפון,חיפה,Middle (clusters 5–7),0.6417910447761194,0.8208955223880597,0.7313432835820896,0.373134328358209,0.31343283582089554,0.0,57.611940298507456,1,ordinary or peripheral station
37300,17096,יבנה מערב,31.891676,34.731526,194,2,388,2,2,0.0159860020584935,0.0372183372183372,0.2429473304473303,False,7,0,1,יבנה,7.0,0.70884927671561,612.604220123663,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.3358208955223881,0.5671641791044776,0.6865671641791045,0.6716417910447762,0.4626865671641791,0.0,54.47761194029852,0,ordinary or peripheral station
37344,17052,בת ים אלי כהן - יוספטל,32.014588,34.762082,194,3,388,3,3,0.0152015906902339,0.0016317016317016,0.2366341991341989,False,7,0,1,חולון,4.0,-0.518094585481413,4029.79642572048,within,0.0,מרכז,תל אביב,Lower (clusters 2–4),0.6417910447761194,0.5671641791044776,0.6268656716417911,0.40298507462686567,0.43283582089552236,0.0,53.43283582089552,0,ordinary or peripheral station
37364,17032,בית יהושע,32.262346,34.860112,163,3,326,3,3,0.0117491878998084,0.013053613053613,0.2705387205387205,False,6,0,1,בית יהושע,9.0,1.59625753781534,1118.3438588864,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.6417910447761194,0.5074626865671642,0.3283582089552239,0.4925373134328358,0.7014925373134329,0.0,53.43283582089552,0,ordinary or peripheral station
37356,17040,בני ברק,32.102938,34.830131,217,2,434,2,2,0.011965260522604,0.0646464646464646,0.2469817219817218,False,8,0,1,תל אביב -יפו,2.0,-1.15824467244664,213.403600497886,nearest,377.6891692882086,מרכז,תל אביב,Lower (clusters 2–4),0.3358208955223881,0.6865671641791045,0.34328358208955223,0.7761194029850746,0.5223880597014925,0.0,53.28358208955224,0,ordinary or peripheral station
37324,17072,אשקלון,31.676856,34.604447,247,2,393,2,2,0.0172354546601251,0.031002331002331,0.2086552757007301,False,7,0,1,אשקלון,6.0,0.0876680117932882,3642.81667213463,nearest,314.4624011895982,מרכז,פריפריה,Middle (clusters 5–7),0.3358208955223881,0.5970149253731343,0.7761194029850746,0.6567164179104478,0.208955223880597,0.0,51.49253731343284,0,ordinary or peripheral station
37354,17042,קרית אריה,32.106273,34.863205,217,2,434,2,2,0.0132473761077957,0.0378399378399378,0.2118927368927368,False,8,0,1,פתח תקווה,9.0,1.59298263895053,3478.96397542887,nearest,634.0136713030199,מרכז,תל אביב,Higher (clusters 8–9),0.3358208955223881,0.6865671641791045,0.4626865671641791,0.6865671641791045,0.2537313432835821,0.0,48.507462686567166,0,ordinary or peripheral station
37384,17012,עכו,32.928339,35.082984,187,2,374,2,2,0.015497462277507,0.0303030303030303,0.2137648126284489,True,4,1,2,עכו,5.0,-0.228701979923996,3085.2149242497,within,0.0,צפון,חיפה,Middle (clusters 5–7),0.3358208955223881,0.5373134328358209,0.6567164179104478,0.6044776119402985,0.2835820895522388,0.25,48.35820895522389,0,branch gateway
