stop_id,stop_name,lat,lon,region,metro
47888,ת. מרכזית אשדוד/רציפים,31.790926,34.639056,מרכז,פריפריה
23631,רבקה גובר/שדרות ויצמן,32.193019,34.850814,מרכז,תל אביב
983,אלימלך רימלט/הגלבוע,32.195512,34.849866,מרכז,תל אביב
984,מגרש טניס/יאיר שטרן,32.194755,34.847869,מרכז,תל אביב
14625,הסייפן/העיט,32.191125,34.850267,מרכז,תל אביב
42621,קרית הספורט/וייצמן,32.191854,34.845881,מרכז,תל אביב
981,שדרות וייצמן/דרך ירושלים,32.192725,34.856196,מרכז,תל אביב
14804,הנשר/הסייפן,32.190737,34.851111,מרכז,תל אביב
14624,הנשר/ירושלים,32.190003,34.853909,מרכז,תל אביב
24243,מוסד חינוכי כפר בתיה/דרך ירושלים,32.188751,34.854732,מרכז,תל אביב
24239,בית לוינשטיין/אחוזה,32.184719,34.855067,מרכז,תל אביב
24237,מרכז מסחרי מול הפארק/דרך ירושלים,32.184316,34.85359,מרכז,תל אביב
35743,בי''ס רחל המשוררת/נעמי שמר,32.190315,34.890639,מרכז,תל אביב
24250,אחוזה/המיתר,32.184037,34.858228,מרכז,תל אביב
906,תיכון אביב/הפרחים,32.177535,34.861213,מרכז,תל אביב
24252,אחוזה/המלכים,32.183229,34.861866,מרכז,תל אביב
24254,אחוזה/מגדל,32.182592,34.864764,מרכז,תל אביב
911,המלכים/יצחק שדה,32.182551,34.860937,מרכז,תל אביב
14949,בי''ס רימון חט''ב,32.181585,34.863557,מרכז,תל אביב
15125,המלכים/יעקב דורי,32.178929,34.860046,מרכז,תל אביב
766,פרדס משותף/הרצל,32.175277,34.8665,מרכז,תל אביב
51028,פרדס משותף/משה דיין,32.176825,34.861917,מרכז,תל אביב
24253,אחוזה/מגדל,32.183043,34.863588,מרכז,תל אביב
920,בורוכוב/הנגב,32.181409,34.876502,מרכז,תל אביב
921,בורוכוב/החשמונאים,32.185425,34.877762,מרכז,תל אביב
14645,בורוכוב/ההגנה,32.187574,34.878551,מרכז,תל אביב
929,תיכון מטרו-ווסט/בורוכוב,32.189883,34.878353,מרכז,תל אביב
928,תיכון מטרו-ווסט/הפלמ''ח,32.190606,34.876231,מרכז,תל אביב
930,בורוכוב/ברל כצנלסון,32.191584,34.878189,מרכז,תל אביב
961,קרן היסוד/הקוממיות,32.189581,34.873036,מרכז,תל אביב
925,ההסתדרות/קרן היסוד,32.186981,34.872855,מרכז,תל אביב
962,קרן היסוד/ההסתדרות,32.187037,34.871954,מרכז,תל אביב
24424,אחוזה/ז'בוטינסקי,32.180413,34.87461,מרכז,תל אביב
922,ההסתדרות/בורוכוב,32.185942,34.877544,מרכז,תל אביב
24426,עיריית רעננה/אחוזה,32.179656,34.877987,מרכז,תל אביב
14635,מכבי/הנגב,32.180797,34.879066,מרכז,תל אביב
24428,אחוזה/רבוצקי,32.178505,34.883219,מרכז,תל אביב
988,מרכז אליאב/שברץ,32.179515,34.881524,מרכז,תל אביב
51044,קזן/אחוזה,32.178717,34.881049,מרכז,תל אביב
14666,החשמונאים/מכבי,32.183232,34.879818,מרכז,תל אביב
995,עקיבא/ציפמן,32.185264,34.882351,מרכז,תל אביב
991,בית ספר דקל/שברץ,32.182834,34.882013,מרכז,תל אביב
14641,עקיבא/אח''י דקר,32.18702,34.882909,מרכז,תל אביב
937,עקיבא/האלה,32.188874,34.883296,מרכז,תל אביב
24653,הדס/הכלנית,32.190505,34.884079,מרכז,תל אביב
940,בית המילניום/התדהר,32.192173,34.883956,מרכז,תל אביב
935,שדרות וייצמן/החרושת,32.192441,34.880435,מרכז,תל אביב
14634,שברץ/ששת הימים,32.18098,34.881762,מרכז,תל אביב
24608,רבוצקי/אחוזה,32.179581,34.884753,מרכז,תל אביב
24609,רש''י/שבטי ישראל,32.175735,34.883673,מרכז,תל אביב
24427,מרכז אליאב/אחוזה,32.17926,34.88064,מרכז,תל אביב
14633,רבוצקי/אחוזה,32.179302,34.884776,מרכז,תל אביב
26562,רתמים   מרכז,31.054138,34.691292,דרום,באר שבע
26569,כביש רתמים,31.049609,34.701534,דרום,באר שבע
26578,צומת כפר רתמים,31.056922,34.715087,דרום,באר שבע
26582,רביבים   כניסה,31.045298,34.724149,דרום,באר שבע
26580,רביבים   מרכז,31.043521,34.723821,דרום,באר שבע
26581,רביבים/יציאה,31.045419,34.724209,דרום,באר שבע
26595,צומת רביבים,31.05035,34.727813,דרום,באר שבע
26566,כביש רתמים,31.049698,34.701575,דרום,באר שבע
26589,מחצבה,31.038408,34.744095,דרום,באר שבע
39138,צומת ביר הדאג,31.02883,34.750132,דרום,פריפריה
