stop_id,stop_name,region,metro,community,lat,lon,trip_graph_degree,trip_graph_weighted_degree,stop_use_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_locality_en,socio_cluster,socio_cluster_group,socio_index_value,socio_population
16234,מסוף אילן רמון/דרך מנחם בגין,מרכז,פריפריה,68.0,31.792919,34.702518,4,608.0,304,False,within,0.0,1660004,גן יבנה,GAN YAVNE,7.0,middle_5_7,,
51630,הדרים/עולש,מרכז,פריפריה,19.0,32.475698,34.962789,2,608.0,304,False,within,0.0,78000008,פרדס חנה-כרכור,PARDES HANNA-KARKUR,6.0,middle_5_7,,4962.0
8945,ממילא/אגרון,ירושלים,ירושלים,15.0,31.777846,35.222215,4,608.0,304,False,within,0.0,30000843,ירושלים,JERUSALEM,4.0,low_1_4,,1000.0
33993,שמעון פרס/מעגל השלום,מרכז,תל אביב,12.0,31.97156,34.763581,3,608.0,304,False,within,0.0,83000612,ראשון לציון,RISHON LEZIYYON,8.0,high_8_10,,3001.0
33989,מרכז פרס נובל,מרכז,תל אביב,12.0,31.968494,34.763981,2,608.0,304,False,within,0.0,83000612,ראשון לציון,RISHON LEZIYYON,8.0,high_8_10,,3001.0
26786,אשד/נחל,דרום,פריפריה,53.0,31.252008,35.199022,3,607.0,318,False,within,0.0,25600003,ערד,ARAD,3.0,low_1_4,,6997.0
49157,תחנה מרכזית פתח תקווה,מרכז,תל אביב,,32.094693,34.886538,1,607.0,607,False,within,0.0,79000114,פתח תקווה,PETAH TIQWA,6.0,middle_5_7,,3900.0
4772,צומת מושב מרחביה,צפון,פריפריה,4.0,32.595464,35.312843,2,606.0,303,False,within,0.0,970001,מרחביה (מושב),MERHAVYA(MOSHAV),8.0,high_8_10,,671.0
26116,מרכז אורן,דרום,באר שבע,0.0,31.269819,34.797199,2,606.0,303,False,within,0.0,90000111,באר שבע,BE'ER SHEVA,2.0,low_1_4,,2193.0
24547,ז'בוטינסקי/השומר,מרכז,תל אביב,10.0,32.140905,34.876085,5,606.0,303,False,within,0.0,97000032,הוד השרון,HOD HASHARON,9.0,high_8_10,,3585.0
39983,צומת מגדל,צפון,פריפריה,16.0,32.827505,35.511678,4,606.0,303,False,within,0.0,650001,מגדל,MIGDAL,5.0,middle_5_7,,2031.0
15703,מסעף בארות,מרכז,תל אביב,7.0,32.042112,34.905865,5,606.0,303,False,within,0.0,7220001,מגשימים,MAGSHIMIM,9.0,high_8_10,,1091.0
22496,טשרנחובסקי/ארלוזורוב,מרכז,תל אביב,26.0,31.887512,34.807408,4,606.0,303,False,within,0.0,84000321,רחובות,REHOVOT,6.0,middle_5_7,,6089.0
6006,מסגד אלקובה,צפון,חיפה,33.0,32.854343,35.194849,2,606.0,303,False,nearest,1100.3206309891432,5040001,כאבול,KABUL,3.0,low_1_4,,14628.0
28256,מזרח/נוגה,דרום,פריפריה,53.0,31.251283,35.220388,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
28257,ענבלים/שופר,דרום,פריפריה,53.0,31.2489,35.224195,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
28260,הערבה/ענבר,דרום,פריפריה,53.0,31.250274,35.218471,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
25762,רינגלבלום/בנימין מטודלה,דרום,באר שבע,0.0,31.268002,34.800403,2,606.0,303,False,within,0.0,90000123,באר שבע,BE'ER SHEVA,3.0,low_1_4,,1251.0
25751,רינגלבלום/ברנפלד,דרום,באר שבע,0.0,31.269354,34.799118,2,606.0,303,False,within,0.0,90000122,באר שבע,BE'ER SHEVA,2.0,low_1_4,,1102.0
34763,ארץ חמדה/יהודה המכבי,מרכז,ירושלים,39.0,31.946249,35.222739,4,606.0,303,False,nearest,526.9230401123607,35740001,בית אל,BET EL,4.0,low_1_4,,6108.0
50727,ת.מרכזית/עירוניים לצפון,דרום,באר שבע,0.0,31.24266,34.798036,2,606.0,303,False,within,0.0,90000624,באר שבע,BE'ER SHEVA,6.0,middle_5_7,,2002.0
15755,שבזי/הכלנית,מרכז,תל אביב,52.0,31.873145,34.745963,4,606.0,303,False,within,0.0,26600006,יבנה,YAVNE,4.0,low_1_4,,4881.0
26119,רינגלבלום/יוסף בן מתתיהו,דרום,באר שבע,0.0,31.26607,34.799711,2,606.0,303,False,within,0.0,90000123,באר שבע,BE'ER SHEVA,3.0,low_1_4,,1251.0
49083,מעיין גנים,מרכז,ירושלים,39.0,31.934887,35.226832,5,606.0,303,False,nearest,941.4184430379792,35740001,בית אל,BET EL,4.0,low_1_4,,6108.0
15353,שדרות בן גוריון/מנדס,מרכז,תל אביב,25.0,32.055383,34.851667,3,606.0,303,False,within,0.0,26200008,קריית אונו,QIRYAT ONO,9.0,high_8_10,,7489.0
28259,כינור/מזמור,דרום,פריפריה,53.0,31.249458,35.22165,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
28261,נוגה/חליל,דרום,פריפריה,53.0,31.249775,35.220421,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
28258,ענבלים/שיר,דרום,פריפריה,53.0,31.24793,35.221766,2,606.0,303,False,within,0.0,25600005,ערד,ARAD,3.0,low_1_4,,5883.0
44299,הדואר/קופת חולים,צפון,חיפה,33.0,32.850941,35.200488,3,606.0,303,False,nearest,1181.0764894389092,12220001,"מצפה אבי""ב",MIZPE AVIV,9.0,high_8_10,,1070.0
44300,אלביק,צפון,חיפה,33.0,32.85225,35.196812,3,606.0,303,False,nearest,1312.1191002103408,12220001,"מצפה אבי""ב",MIZPE AVIV,9.0,high_8_10,,1070.0
15754,שבזי/בוכריס,מרכז,תל אביב,52.0,31.871096,34.744669,3,606.0,303,False,within,0.0,26600006,יבנה,YAVNE,4.0,low_1_4,,4881.0
6010,עיריית טמרה,צפון,חיפה,33.0,32.849817,35.203098,3,606.0,303,False,nearest,1140.7626954633383,12220001,"מצפה אבי""ב",MIZPE AVIV,9.0,high_8_10,,1070.0
6005,אבו בכר אלסדיק,צפון,חיפה,33.0,32.855178,35.192728,2,606.0,303,False,nearest,1066.5587620589308,5040001,כאבול,KABUL,3.0,low_1_4,,14628.0
48351,ת. מרכזית חדרה,מרכז,פריפריה,3.0,32.435313,34.914144,4,606.0,303,False,within,0.0,65000045,חדרה,HADERA,5.0,middle_5_7,,4134.0
43403,מסוף קניון ג'י/הורדה,צפון,חיפה,58.0,32.658918,35.104311,2,605.0,605,False,nearest,51.12938748460414,2400003,יקנעם עילית,YOQNE'AM ILLIT,3.0,low_1_4,,1886.0
49250,מסוף הרכבת/איסוף,ירושלים,פריפריה,21.0,31.757548,34.987197,5,605.0,605,False,nearest,305.8611735975451,26100015,בית שמש,BET SHEMESH,4.0,low_1_4,,4036.0
47841,ת. מרכזית המפרץ/רציפים עירוני,צפון,חיפה,34.0,32.792678,35.034779,1,605.0,605,False,nearest,926.1087736378056,40000713,חיפה,HAIFA,2.0,low_1_4,,4936.0
49553,יצחק שמיר,צפון,פריפריה,4.0,32.634398,35.314117,4,605.0,311,False,within,0.0,77000016,עפולה,AFULA,3.0,low_1_4,,4854.0
42572,חוגלה/עפרוני,צפון,חיפה,27.0,32.846877,35.09693,2,604.0,302,False,within,0.0,95000003,קריית ביאליק,QIRYAT BIALIK,7.0,middle_5_7,,7108.0
41452,הדבש/מבוא ניקנור,מרכז,ירושלים,9.0,31.680078,35.162096,5,604.0,302,False,nearest,1925.6676259168776,36500001,אפרת,EFRAT,7.0,middle_5_7,,11853.0
41082,עיר תחתית,צפון,חיפה,,32.817376,34.999771,1,604.0,604,False,within,0.0,40000324,חיפה,HAIFA,3.0,low_1_4,,1517.0
42756,הדבש/מבוא מעונה,מרכז,ירושלים,9.0,31.678524,35.165401,4,604.0,302,False,nearest,1849.467778196281,36500001,אפרת,EFRAT,7.0,middle_5_7,,11853.0
27954,כי''ח/אקסודוס,מרכז,פריפריה,22.0,31.679754,34.585898,2,604.0,302,False,within,0.0,71000215,אשקלון,ASHQELON,6.0,middle_5_7,,4008.0
