socio_unit_id,socio_cluster,population,stops,active_stops,total_stop_use,avg_trip_graph_degree,critical_stops,community,city,region,metro,stop_use_per_1000,stops_per_1000,stop_use_per_stop,critical_stop_share,active_stop_share
11490001,7.0,771.0,2,2,46,2.0,0,6.0,עזר,מרכז,פריפריה,59.66277561608301,2.594033722438392,23.0,0.0,1.0
11500001,8.0,492.0,2,2,444,2.0,0,30.0,צופר,דרום,פריפריה,902.439024390244,4.065040650406504,222.0,0.0,1.0
1150001,9.0,815.0,7,7,1290,2.7142857142857144,0,50.0,חופית,מרכז,פריפריה,1582.8220858895704,8.588957055214724,184.28571428571428,0.0,1.0
11510001,8.0,537.0,2,2,444,2.0,0,30.0,פארן,דרום,פריפריה,826.8156424581006,3.7243947858473,222.0,0.0,1.0
11520001,6.0,652.0,5,5,326,3.2,0,62.0,אשלים,דרום,פריפריה,500.0,7.668711656441718,65.2,0.0,1.0
11550001,6.0,761.0,2,2,203,3.0,0,4.0,מגן שאול,צפון,פריפריה,266.754270696452,2.628120893561104,101.5,0.0,1.0
11560001,2.0,275.0,3,3,686,3.6666666666666665,0,30.0,סמר,דרום,פריפריה,2494.5454545454545,10.90909090909091,228.66666666666666,0.0,1.0
11580001,7.0,267.0,3,3,566,2.3333333333333335,0,30.0,יהל,דרום,פריפריה,2119.8501872659176,11.235955056179774,188.66666666666666,0.0,1.0
11600001,9.0,772.0,1,1,34,2.0,0,5.0,שכניה,צפון,חיפה,44.04145077720207,1.2953367875647668,34.0,0.0,1.0
11610001,2.0,7080.0,44,44,3691,2.75,0,49.0,רהט,דרום,באר שבע,521.3276836158192,6.214689265536723,83.88636363636364,0.0,1.0
11610002,1.0,6874.0,27,27,4432,3.074074074074074,0,49.0,רהט,דרום,באר שבע,644.7483270293861,3.9278440500436425,164.14814814814815,0.0,1.0
11610003,2.0,10862.0,35,35,3813,2.5714285714285716,0,49.0,רהט,דרום,באר שבע,351.0403240655496,3.2222426809059104,108.94285714285714,0.0,1.0
11610004,2.0,8690.0,15,15,1371,2.533333333333333,0,49.0,רהט,דרום,באר שבע,157.76754890678941,1.726121979286536,91.4,0.0,1.0
11610005,3.0,4280.0,20,20,3306,2.6,0,49.0,רהט,דרום,באר שבע,772.4299065420561,4.672897196261682,165.3,0.0,1.0
11610006,2.0,4997.0,14,14,1923,3.0714285714285716,0,49.0,רהט,דרום,באר שבע,384.8308985391235,2.801681008605163,137.35714285714286,0.0,1.0
11610007,1.0,8562.0,12,12,1950,3.0833333333333335,0,49.0,רהט,דרום,באר שבע,227.75052557813595,1.4015416958654519,162.5,0.0,1.0
11610008,3.0,5223.0,9,9,1203,3.3333333333333335,0,49.0,רהט,דרום,באר שבע,230.32739804709936,1.7231476163124642,133.66666666666666,0.0,1.0
11610009,1.0,6628.0,8,8,1562,4.625,0,49.0,רהט,דרום,באר שבע,235.6668678334339,1.2070006035003018,195.25,0.0,1.0
11610010,1.0,7034.0,64,64,4880,2.53125,0,49.0,רהט,דרום,באר שבע,693.7731020756326,9.098663633778788,76.25,0.0,1.0
11610011,2.0,8835.0,47,47,4132,2.8085106382978724,0,49.0,רהט,דרום,באר שבע,467.6853423882286,5.319750990379173,87.91489361702128,0.0,1.0
11620001,6.0,982.0,1,1,29,2.0,0,8.0,בית רימון,צפון,פריפריה,29.531568228105908,1.0183299389002036,29.0,0.0,1.0
11630001,7.0,498.0,6,6,1673,4.833333333333333,0,18.0,מורן,צפון,פריפריה,3359.4377510040163,12.048192771084338,278.8333333333333,0.0,1.0
