stop_id,stop_name,own_community,connected_communities,degree,lat,lon
37356,בני ברק,6,1,16,32.102938,34.830131
37344,בת ים אלי כהן - יוספטל,14,1,19,32.014588,34.762082
37342,בת ים קוממיות,16,1,12,32.000989,34.759437
38068,תחנת מוניות פתח תקווה שלום צלח,10,1,22,32.074771,34.910249
38655,רבניצקי/חיים סוטין,19,1,11,32.101531,34.891658
40775,אזור התעשייה,6,1,17,32.10235,34.827827
39302,הסיבים/קאנטרי קלאב,1,1,19,32.082323,34.855567
40737,לוחמי בית''ר/אלמוג,7,1,9,31.933927,34.878348
40690,מרכז מסחרי/אלברט איינשטיין,1,1,22,32.090387,34.851496
40643,פארק יצחק אוחיון/הרב משה מלכה,1,1,28,32.092988,34.869234
40637,אבו חצירא/הקישון,12,1,18,32.097481,34.829067
40450,דרך שלמה שמלצר/מרטין גהל,1,1,11,32.100083,34.849795
40432,מחלף אונו,8,1,13,32.067734,34.86153
39046,שדרות לוי אשכול/כיכר מאיר יערי,32,1,10,32.100997,34.789292
38749,רנה קאסן/שדרות יצחק רבין,5,1,8,31.975469,34.762135
39045,ת. רכבת האוניברסיטה/מזרח,32,1,14,32.103299,34.805284
38947,דרך נמיר/דרך מנחם בגין,29,1,61,32.080207,34.794181
38945,גשר דוד שיפמן /דרך מנחם בגין,29,1,61,32.080412,34.797359
38944,גשר דוד שיפמן /דרך מנחם בגין,29,1,62,32.080454,34.797667
38940,דרך ז'בוטינסקי/הרצל,29,1,16,32.088918,34.815651
38796,מרדכי בן דרור / רבניצקי,19,1,12,32.100723,34.891292
37245,ספורטן/גרינשפן,19,1,16,32.096171,34.87147
37051,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
36896,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
33954,מרכז דלק,8,1,13,32.045976,34.857046
33994,כצנלסון/ארלוזורוב,9,1,17,31.967711,34.793144
33993,שמעון פרס/מעגל השלום,9,1,4,31.97156,34.763581
33961,מיטב,15,1,6,32.04187,34.849212
33958,שער שלכת,8,1,15,32.047813,34.856202
33957,מד''א,15,1,10,32.0452,34.85198
33956,מיצג חילות,15,1,5,32.04539,34.852996
33947,מש''א 7000,30,1,8,32.037881,34.847164
36895,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
33945,בסיס ציוד,15,1,6,32.041733,34.84918
33941,ת. רכבת יוספטל,14,1,20,32.014968,34.762025
33940,ת. רכבת יוספטל,14,1,20,32.015217,34.76205
33861,שד' הר ציון/דרך שלמה,3,1,74,32.0539,34.774813
29681,אינשטיין/ברודצקי,32,1,21,32.113008,34.798492
29635,מנהלי הנדסה ובת''ש/שד' בן גוריון,35,1,22,32.08293,34.777038
34047,בן גוריון/כיכר השוטר,9,1,33,31.967036,34.789549
34090,ההסתדרות/שנקר,16,1,20,32.017555,34.775052
35226,נחל גמלא/שלמה המלך,8,1,14,32.053053,34.85539
35229,יהודה המכבי/הנשיא,8,1,14,32.060419,34.855359
35231,הרצל/פארק ורשה,8,1,16,32.066123,34.857149
35284,יגאל אלון/הרב טיבוביץ,21,1,15,31.961191,34.820654
35285,יגאל אלון/גרינשפן,26,1,13,31.955587,34.815835
35286,קניון ראשונים/שדרות נים,21,1,10,31.949172,34.805243
35287,קניון ראשונים/שדרות נים,21,1,9,31.949262,34.804653
35288,יגאל אלון/מורדי הגטאות,26,1,12,31.956499,34.816975
35500,חניון חולון/תחנת מוצא,16,1,9,31.997018,34.762776
35710,בית עלמין חדש/דוד רזיאל,27,1,11,31.919867,34.861582
35711,בית עלמין חדש/דוד רזיאל,27,1,11,31.919615,34.861222
36892,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
21590,שדרות בגין/ז'בוטינסקי,21,1,10,31.971391,34.797557
36893,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
36894,ת.מרכזית תל אביב קומה 7/רציפים,3,1,97,32.054886,34.780031
40738,לוחמי בית''ר/אלמוג,7,1,9,31.933795,34.87818
40776,אזור התעשייה,6,1,17,32.102516,34.827959
44459,דרך קיבוץ גלויות/לבון,11,1,18,32.049002,34.774301
43651,בית החייל/פנקס,32,1,17,32.090955,34.791056
44134,דרך רב אלוף יעקב דורי/גילדסגיים,15,1,15,32.05293,34.853028
43984,ההסתדרות/רוטשילד,19,1,29,32.08575,34.882693
43983,מחנה יהודה/עין גנים,23,1,12,32.083543,34.89691
43982,מחנה יהודה/יצחק בן דוד,23,1,15,32.082768,34.896171
43981,מחנה יהודה/צבי הירש קלישר,23,1,25,32.080975,34.893587
43757,מסוף הלוחמים/משרד הרישוי,25,1,10,32.034003,34.772507
43555,ת.רק''ל מחרוזת/סהרון,14,1,21,32.034129,34.751208
44250,מחלף אונו/דרך יצחק רבין,1,1,10,32.070171,34.860108
43319,ת.רק''ל מחרוזת/סהרון,14,1,21,32.03424,34.751143
