mode_label,stop_id,stop_calls
bus,3974,2599
bus,2381,2113
bus,1267,2430
bus,3860,2260
bus,3898,493
bus,1296,1686
bus,3999,1398
bus,2394,1244
bus,42806,1058
bus,1479,1058
bus,3891,1444
bus,3885,1447
bus,18793,1401
bus,17888,1388
bus,18913,1228
bus,18914,1224
bus,18915,1158
bus,21298,1159
bus,19488,1224
bus,4205,957
bus,18972,957
bus,21276,1067
bus,19372,1190
bus,20945,1100
bus,20946,1039
bus,20957,1073
bus,20981,1163
bus,18238,1544
bus,18239,1358
bus,4859,1408
bus,21009,1439
bus,19396,1556
bus,19616,1549
bus,18195,2185
bus,21062,2143
bus,4806,2143
bus,4203,2143
bus,4161,1146
bus,21097,1680
bus,18199,1562
bus,21080,1562
bus,4160,947
bus,14021,3871
bus,14040,2289
bus,14032,1783
bus,14029,1781
bus,13339,2753
bus,14344,1957
bus,14027,1927
bus,29477,2639
bus,14045,2645
bus,33862,1786
bus,29432,4719
bus,13334,1064
bus,29347,1052
bus,29348,801
bus,13956,1229
bus,13364,1000
bus,13952,863
bus,13931,1487
bus,13929,1961
bus,13842,1274
bus,13927,1274
bus,13923,1274
bus,13918,1274
bus,50332,5916
bus,12889,2313
bus,13725,1470
bus,12841,1768
bus,13706,423
bus,13678,423
bus,13667,1449
bus,50608,600
bus,44473,1863
bus,44472,2137
bus,13649,1694
bus,44469,1968
bus,44465,4767
bus,44466,4767
bus,14319,5250
bus,14205,3034
bus,13029,3403
bus,13028,3418
bus,13245,2462
bus,14081,3415
bus,14008,2399
bus,12973,2383
bus,13053,4076
bus,13090,2657
bus,13203,4151
bus,13240,2692
bus,13247,5538
bus,14477,1942
bus,13101,3948
bus,38940,4037
bus,13026,2785
bus,13933,1533
bus,13841,1165
bus,13839,1455
bus,13886,1455
bus,13888,578
bus,13876,578
bus,13875,578
bus,43231,1083
bus,14548,756
bus,12840,795
bus,13807,600
bus,13805,600
bus,13200,529
bus,13173,2025
bus,12988,1683
bus,13083,1831
bus,12968,1168
bus,13328,1253
bus,12975,3302
bus,13319,3735
bus,37534,363
bus,13321,2253
bus,13632,3324
bus,13322,6712
bus,29483,5420
bus,48363,6805
bus,13320,5347
bus,12890,4082
bus,38945,1322
bus,12880,1082
bus,12854,1328
bus,13260,1471
bus,13834,1471
bus,13836,2388
bus,13894,1537
bus,13905,512
bus,13910,512
bus,14023,1119
bus,14589,901
bus,14015,1408
