stop_id,stop_name,lat,lon,region,metro,degree
17861,אדמית מרכז,33.079481,35.211363,North,Periphery,4
50832,האלון/הרימון,32.619844,35.074935,North,Haifa,4
50631,אזור תעשייה/לח''י,32.103059,34.837738,Center,Tel Aviv,4
50627,אזור תעשייה/לח''י,32.103272,34.83687,Center,Tel Aviv,4
5054,קיבוץ מעוז חיים,32.492662,35.551926,Center,Periphery,4
5042,מגן שאול,32.520516,35.307237,North,Periphery,4
50374,חניון שפירים מערבי א/הורדה,32.00027,34.843703,Center,Tel Aviv,4
34829,טל מנשה/מרכז,32.483499,35.160787,Center,Periphery,4
35386,עין הנציב,32.470642,35.501503,Center,Periphery,4
10169,גן החיות התנ''כי,31.745642,35.17734,Jerusalem,Jerusalem,4
34763,ארץ חמדה/יהודה המכבי,31.946249,35.222739,Center,Jerusalem,4
49757,פרנק,31.700072,35.004057,Jerusalem,Periphery,4
49750,הרדוף/יציאה,32.764312,35.17535,North,Haifa,4
35333,אום אל גנם,32.674691,35.391762,North,Periphery,4
18580,המעוף/הר וגיא,32.960688,35.508723,North,Periphery,4
17097,כיכר מזרחית,32.716001,35.073203,North,Haifa,4
39829,גפן/אשל,32.469883,35.037604,Center,Periphery,4
38356,שלום הגליל/טניס,32.919167,35.091918,North,Haifa,4
39642,קיבוץ גלויות/הרצל,31.320976,34.618839,South,Beer Sheva,4
42452,הרבי מלובאוויטש/הרב עובדיה יוסף,31.067113,35.05076,South,Periphery,4
11556,כביש 395/כביש 386,31.772833,35.153612,Jerusalem,Jerusalem,4
11448,מסוף חומת שמואל/אליהו קורן,31.719727,35.221274,Jerusalem,Jerusalem,4
11441,אשר וינר/דרך חברון,31.744254,35.216682,Jerusalem,Jerusalem,4
11221,קיבוץ מעלה החמישה,31.818536,35.111899,Jerusalem,Jerusalem,4
43131,קיבוץ נווה איתן,32.492042,35.533063,Center,Periphery,4
11205,הדקלים/המעיין,31.795112,35.120692,Jerusalem,Jerusalem,4
11204,הדקלים/הרימון,31.794404,35.120007,Jerusalem,Jerusalem,4
11156,קיבוץ צובה,31.783427,35.118689,Jerusalem,Jerusalem,4
43826,הגליל/הירדן,31.957681,35.138305,Center,Periphery,4
11147,בית חולים,31.778627,35.096161,Jerusalem,Jerusalem,4
43962,עין ח'אלד/עין אל מג'ארה,32.510399,35.150358,North,Periphery,4
11079,מחלף הרטוב,31.769275,34.996854,Jerusalem,Periphery,4
44061,קידמה/החלומות,32.462734,35.054249,Center,Periphery,4
10811,צומת ליאון שריגים,31.671748,34.934988,Center,Periphery,4
44390,נמל תעופה רמון/יציאה,29.712933,35.001048,South,Periphery,4
4698,רמת צבי,32.589748,35.415583,North,Periphery,4
44681,חונים נוסעים ראשון לציון/דרך ההצלחה,31.972627,34.751512,Center,Tel Aviv,4
10532,רב החובל/אדם,31.749878,35.22811,Jerusalem,Jerusalem,4
11623,שער יפו/יפו,31.777433,35.226288,Jerusalem,Jerusalem,4
47884,בית העלמין החדש,31.241834,34.751009,South,Beer Sheva,4
4816,בית ספר,32.586081,35.438697,North,Periphery,4
41102,הזית/הורד,31.438596,34.645944,South,Beer Sheva,4
8907,מחסום ענאתא/דרך ענתות,31.810168,35.241198,Jerusalem,Jerusalem,4
40345,אזור תעשייה שחורת/כביש 90,29.596033,34.978099,South,Periphery,4
40443,ת''ת עצמונה/שומריה,31.430467,34.884285,South,Beer Sheva,4
40476,מתחם 4 מזרח,31.376636,34.75947,South,Beer Sheva,4
40551,ביר באקה/אלמליאת,32.412525,35.041796,Center,Periphery,4
40581,כפר ברוך,32.647554,35.207967,North,Periphery,4
8926,אל תווחיד/אל בטמה,31.747174,35.199366,Jerusalem,Jerusalem,4
49050,הרבי מלובאוויטש/דניאל כהנמן,31.065419,35.048824,South,Periphery,4
41222,שגיא 2000/כביש 7255,32.658518,35.233639,North,Periphery,4
41796,ת. רכבת אחיהוד/רציפים,32.911279,35.174612,North,Haifa,4
13734,יהודה המכבי/דרך נמיר,32.094212,34.793079,Center,Tel Aviv,4
13328,לה גווארדייה/המעפילים,32.059392,34.788682,Center,Tel Aviv,4
41340,האופה/שדרות המלאכות,31.889364,34.964958,Jerusalem,Tel Aviv,4
41341,האופה/שדרות המקצועות,31.888199,34.965056,Jerusalem,Tel Aviv,4
12936,קמפוס ברושים/שלום רוזנפלד,32.106714,34.802794,Center,Tel Aviv,4
1248,דרך העצמאות/הנביאים,32.520151,34.940139,North,Periphery,4
48439,צומת כפר הרי''ף,31.752893,34.801702,Center,Periphery,4
41786,ת. רכבת אחיהוד/רציפים,32.911279,35.174612,North,Haifa,4
34298,לשם/הברקת,32.785553,35.466406,North,Periphery,4
2471,איינשטיין/אסף שמחוני,32.813598,35.115717,North,Haifa,4
28237,בית ספר חאמד,31.253028,35.06913,South,Periphery,4
8302,שדרות אדם/437,31.853,35.266306,Jerusalem,Jerusalem,4
6080,שלום הגליל/קניון עכו,32.920939,35.091932,North,Haifa,4
20963,כיכר אל-משארף/ספוריה,32.723915,35.285701,North,Periphery,4
21343,הבנים/נצר סירני,31.928721,34.830571,Center,Tel Aviv,4
2412,הגפן/האלונים,32.749254,35.098135,North,Haifa,4
