from_stop,to_stop,trip_frequency
24054,23975,298
50356,48511,298
10722,8619,298
35459,35458,298
1448,3909,298
3909,3913,298
3913,3912,298
7579,35586,298
23968,23970,298
48511,44265,298
9564,11910,297
36931,7314,297
10002,10700,297
7314,39523,297
9836,9843,297
9849,9850,297
9843,9849,297
10035,10002,297
51553,35302,297
9007,9008,296
23970,23974,296
24038,24054,296
10721,9445,296
8502,7586,296
9006,9007,296
303,308,296
35456,35829,296
13733,13067,296
21317,24734,296
369,370,295
16324,16331,295
332,506,295
13039,13040,295
1267,3860,295
48933,10532,295
7343,7344,295
51641,13237,295
10492,11511,295
13388,13391,294
13391,13442,294
4162,4860,294
9850,9851,294
9851,9848,294
16375,16374,294
25977,25978,294
9001,9002,294
26448,25977,294
11878,11293,294
10173,46254,294
13130,12987,294
45041,44589,294
20265,6611,294
6611,18158,294
9000,9001,294
23075,23076,293
10136,9586,293
29514,13499,293
24030,24036,293
24279,16199,293
14564,13717,293
16516,16517,293
16517,16518,293
13241,13243,293
4479,18488,292
275,280,292
11727,9914,292
11649,11741,292
11480,9524,292
16518,16520,292
44962,45042,292
43275,43271,292
367,369,291
3821,2804,291
3970,3612,291
48478,367,291
11600,8964,291
29343,29344,291
9002,9003,291
18117,18110,291
3612,2171,291
41132,11734,290
44960,9048,290
355,48478,290
12988,13083,290
11450,9527,290
46923,22085,290
13122,12952,290
15816,23415,290
10759,46254,289
18121,51615,289
26335,25975,289
10999,8990,289
385,724,289
10777,10845,289
11479,10702,289
381,385,288
25980,26322,288
2755,2090,288
13717,13694,288
21475,24738,288
7454,7455,288
5714,5717,288
16281,25267,288
35586,36928,288
10445,11824,288
21588,21589,288
23869,23885,288
29506,13119,287
15869,23869,287
23937,21940,287
35460,47854,287
43280,13449,287
13718,13723,287
13843,13953,287
13038,29352,287
8733,9564,287
15564,21475,287
4706,5097,286
3815,3611,286
2114,2119,286
10647,10114,286
11742,10123,286
24167,16006,286
10123,10124,286
7355,7396,286
280,283,286
13685,13692,286
12898,14348,286
47855,35459,286
13272,13225,286
7625,7623,285
13422,13420,285
13128,13062,285
13723,13733,285
4500,4150,285
5241,5242,285
370,373,285
50932,11742,285
13684,13669,285
10275,9437,285
43697,44262,285
13306,13689,285
13129,13587,285
14507,13474,285
14508,14507,285
15866,15869,285
15678,50466,285
7456,7457,284
10044,9838,284
7457,7458,284
7623,7555,284
13628,13272,284
7383,7416,284
7555,7571,284
5242,5243,284
7571,34677,284
9838,10047,284
10047,9839,284
7455,7456,284
43750,27646,284
27624,43750,284
7395,7353,284
39224,10995,284
7458,7459,284
13241,13242,284
2655,1914,284
11293,11294,283
26181,26178,283
49212,13042,283
49210,49212,283
13786,13774,283
8877,11755,283
5240,5241,283
13242,13243,283
13214,13103,282
13669,13658,282
11755,9983,282
9983,9687,282
9835,9834,282
9820,11581,282
9834,10044,282
28915,27624,282
24053,24055,282
10776,9181,282
13320,51641,282
9633,10460,282
16418,16183,282
8404,11480,282
29378,29336,282
16403,16282,281
13773,13785,281
11822,10449,281
8963,11822,281
9399,10275,281
18429,21195,281
13596,13675,280
10976,10973,280
27622,28915,280
10973,10936,280
7313,35436,280
36930,7313,280
39522,36930,280
44472,13649,279
13649,44469,279
38909,7582,279
49731,11292,279
14104,13205,279
43751,25878,279
44473,44472,279
23965,23954,279
1184,1168,279
13614,13619,279
9009,9019,279
50373,50372,278
10748,10722,278
23994,23991,278
11771,10237,278
10101,9738,278
13267,12978,278
50372,9430,278
13095,13130,278
13361,13215,278
13134,29371,278
29322,12932,278
13246,24763,278
8952,10477,278
43278,13448,278
13469,43278,278
282,277,278
35436,7535,278
12834,45039,278
25934,25987,278
3852,3181,277
321,323,277
10286,8405,277
10843,10838,277
18199,21080,277
7541,35053,277
27647,43751,277
48360,9492,277
9492,10703,277
13212,13358,277
36798,10004,277
5697,5698,277
8638,10119,277
26846,27647,277
2623,17443,276
48932,11448,276
2865,3369,276
9008,10864,276
17443,2624,276
43801,41050,276
2624,17440,276
12878,45038,276
309,307,276
319,321,276
21097,18199,276
16850,23193,276
2864,2865,276
38940,13026,276
25887,25888,276
13581,13589,276
10936,42559,276
9424,9421,276
17440,2864,276
371,368,275
323,353,275
11573,10315,275
7480,34971,275
1285,3938,275
3108,2127,275
2706,3019,275
10519,50373,275
42785,359,275
13246,13428,275
366,356,275
12998,13226,275
15696,23964,275
372,371,275
25889,25593,275
16277,16182,275
7385,7386,275
2127,2128,275
3526,3254,275
9030,9031,275
368,366,275
3019,2623,275
15723,15794,275
13250,13345,275
10675,9485,274
16180,16277,274
44266,51387,274
34699,7581,274
35790,35834,274
13954,13201,274
9434,9281,274
9281,10675,274
25700,25839,274
267,203,274
18452,21186,274
307,302,274
3935,1285,273
13063,13627,273
1283,3935,273
15989,15990,273
10225,8797,273
35834,3977,273
25273,22099,273
7347,7608,273
7346,7347,273
601,333,273
7344,7491,273
4507,4924,273
7581,35049,272
8680,8614,272
48898,48906,272
2233,2239,272
12915,13132,272
7580,34699,272
27646,25833,272
44263,43698,272
47398,13075,272
13244,49372,271
4164,4162,271
2428,2429,271
14026,14343,271
18155,19379,271
25916,26184,271
2147,2139,271
2140,2141,271
2145,2146,271
8132,34707,271
11752,10527,271
2859,2145,271
40021,10286,271
2115,2140,271
2146,2147,271
12925,13629,271
10792,8681,270
8677,10109,270
1780,3335,270
2128,2129,270
9840,10049,270
10716,37729,270
26308,25885,270
10136,10681,270
10674,9475,270
10733,10674,270
3335,1784,270
4166,4164,270
48906,48894,270
12959,13178,270
2129,2130,270
374,372,270
2130,2124,270
9355,8755,270
