from_stop,to_stop,trip_frequency
4964,4671,690
10325,10326,690
10326,10324,690
1184,1168,690
13639,13133,690
16217,16218,689
13033,13562,689
15816,23415,689
17557,18428,689
44412,44408,688
2755,2090,688
44405,44407,687
9694,10325,687
44408,44406,687
13214,13103,687
44402,44405,687
16220,16217,687
302,291,687
23298,23299,685
12878,45038,685
44406,44403,685
13596,13675,685
13179,13208,684
13244,49372,684
9443,8851,684
8765,9959,684
277,274,684
13212,13358,683
42830,2083,682
29474,29477,682
50937,51564,682
10990,10996,681
14104,13205,681
10765,8828,680
9523,9425,679
8949,8950,678
13422,13420,678
29450,29401,678
11864,8663,678
15593,22825,678
10264,10225,677
24722,15696,677
25657,25712,676
8667,8664,676
42654,40899,676
6611,18158,676
13322,29322,676
9423,9636,676
2142,2144,676
10151,10152,676
20265,6611,676
13164,29514,676
10116,11479,675
22076,22078,675
13770,13793,675
8663,9443,674
23297,15863,674
42785,359,673
15908,15878,673
12985,13770,673
3532,3229,672
15715,23297,672
25663,26846,672
8672,8673,670
8995,8996,670
49397,44531,668
44531,41215,668
15863,15865,668
8797,10370,667
4590,4500,667
43957,49397,667
13683,13688,667
1469,3915,667
13688,14472,666
4596,17557,664
13585,13583,664
11032,11027,664
9973,9456,664
13359,49981,663
29398,13359,663
41216,41214,663
44530,49401,663
41214,44530,663
2158,2159,662
47398,13075,662
2021,2022,662
44469,44465,662
13242,13243,662
13241,13242,661
40027,8726,661
29352,14056,661
13063,13627,661
13361,13215,660
1271,42830,660
16373,16376,660
13436,13432,659
24763,24167,659
25938,25939,659
5313,5314,659
303,308,658
23994,23991,658
2657,1187,658
2091,2084,658
21368,46923,658
12962,12979,657
13202,29399,657
50499,13509,657
2356,3869,657
29399,29588,657
12959,13178,657
9533,11266,656
13432,13430,656
13095,13130,656
29343,29344,655
8642,8645,655
13438,13436,655
7548,7657,653
13130,12987,653
44464,44470,653
13113,13128,652
20642,18085,652
10318,11449,652
2434,2499,652
1097,1077,652
28637,26131,652
21475,24738,651
10371,8799,651
10370,10371,651
