stop_id,stop_name,lat,lon,region,metro
12936,קמפוס ברושים/שלום רוזנפלד,32.106714,34.802794,מרכז,תל אביב
43629,התן/הלביא,31.861712,35.15346,ירושלים,ירושלים
9340,עין כרם/שד' הרצל,31.771048,35.180974,ירושלים,ירושלים
27529,שדרות מלכי ישראל/נתן אלבז,31.619137,34.760932,מרכז,פריפריה
27530,שד. מלכי ישראל/רחבת גדעון בן יואש,31.618977,34.761053,מרכז,פריפריה
28638,משה סנה,31.778838,34.662757,מרכז,פריפריה
23543,יסודות/מזכירות,31.815141,34.864194,מרכז,פריפריה
22099,ת. רק''ל בלינסון/קניון אבנת,32.091717,34.865871,מרכז,תל אביב
38356,שלום הגליל/טניס,32.919167,35.091918,צפון,חיפה
35879,מרפאה/מחג'נה,32.521563,35.149198,צפון,פריפריה
35917,עין איברהים/כניסה,32.534699,35.148213,צפון,פריפריה
41123,עלי בן אבי טאלב/כניסה מערבית,32.509789,35.133237,צפון,פריפריה
48425,עין אבראהים א,32.535955,35.146347,צפון,פריפריה
35918,עין איברהים/יציאה,32.534618,35.148166,צפון,פריפריה
47975,ת. מרכזית חדרה/רציפים,32.435961,34.914024,מרכז,פריפריה
8781,משרד המשפטים/צלאח א דין,31.787402,35.229997,ירושלים,ירושלים
8947,חטיבת ירושלים/ יצחק קריב,31.775198,35.227051,ירושלים,ירושלים
11302,מעלה הזיתים,31.772301,35.240996,ירושלים,ירושלים
22203,מבוא רעות/יפה נוף,31.885412,35.022417,ירושלים,פריפריה
22182,עירייה,31.908118,35.007695,מרכז,תל אביב
48462,הרטום/גולדה מאיר,31.80069,35.213748,ירושלים,ירושלים
10356,שדרות גולדה מאיר/בנימין מינץ,31.826368,35.188677,ירושלים,ירושלים
24713,ת. רכבת מודיעין מרכז,31.901335,35.004985,מרכז,תל אביב
22252,קניון עזריאלי,31.899117,35.007414,ירושלים,תל אביב
16205,בי''ח בלינסון/גשר מבצע ארנון,32.091161,34.86787,מרכז,תל אביב
23299,ת. רכבת קרית אריה,32.105041,34.863442,מרכז,תל אביב
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,31.25922,34.798363,דרום,באר שבע
324,שד. בנימין/שד. ירושלים,32.324201,34.856548,מרכז,תל אביב
7604,צומת חטיבה שבע,31.834668,34.976697,ירושלים,פריפריה
3367,סחרוב,32.790898,34.958675,צפון,חיפה
3549,מחלף עתלית,32.710025,34.950357,צפון,חיפה
12838,אלוף שדה/הירדן,32.059276,34.826633,מרכז,תל אביב
21507,הרצל/סוקולוב,31.957388,34.802287,מרכז,תל אביב
15860,רוז'נסקי/משה לוי,31.986113,34.772754,מרכז,תל אביב
25353,תחנת רכבת קוממיות,32.001109,34.760742,מרכז,תל אביב
24765,הרצל/שדרות תש''ח,31.955339,34.802324,מרכז,תל אביב
5238,דוד אלעזר/לח''י,32.963282,35.489648,צפון,פריפריה
25826,שוק עירוני/דרך חברון,31.238831,34.796231,דרום,באר שבע
26659,השוק העירוני/שדרות דוד חכם,31.23819,34.798108,דרום,באר שבע
48914,רכבת/מסוף ביג,31.774616,34.664572,מרכז,פריפריה
52008,שמעון מישורי,31.742444,35.225686,ירושלים,ירושלים
52007,פרופ' יעקב נאמן/שמעון מישורי,31.74394,35.225095,ירושלים,ירושלים
52012,פרופ' יעקב נאמן/הרב אברהם זקן,31.742587,35.223657,ירושלים,ירושלים
52009,יצחק ארנסט נבנצל/הרב אברהם זקן,31.743605,35.22253,ירושלים,ירושלים
47006,אשר וינר/לייב יפה,31.742757,35.220205,ירושלים,ירושלים
44681,חונים נוסעים ראשון לציון/דרך ההצלחה,31.972627,34.751512,מרכז,תל אביב
750,צומת רכבת ראש העין צפון,32.123156,34.93743,מרכז,תל אביב
39624,שדרות מנחם בגין/הגדוד העיברי,31.791343,34.636819,מרכז,פריפריה
3437,גרנד קניון/שמחה גולן,32.789085,35.008567,צפון,חיפה
3368,סחרוב,32.790059,34.959315,צפון,חיפה
3228,מת''מ/ההגנה,32.789609,34.962117,צפון,חיפה
2753,מרכז דאליית אל כרמל,32.693534,35.046956,צפון,חיפה
17124,קופת חולים מכבי,32.692494,35.046445,צפון,חיפה
17054,מסעף עוקף דליה,32.687855,35.064731,צפון,חיפה
38566,מוחרקה 1,32.686306,35.067352,צפון,חיפה
35772,רפא''ל,32.860432,35.0872,צפון,חיפה
2471,איינשטיין/אסף שמחוני,32.813598,35.115717,צפון,חיפה
35771,רפא''ל,32.860258,35.087302,צפון,חיפה
