stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,betweenness,approx_harmonic,in_largest_component,nearest_alt_m,is_isolated,distance_band
8642,עזרת תורה/דורש טוב,Jerusalem,Jerusalem,31.796818,35.212936,,6,0.0001969667126255,4288.0,4,2,2144.0,2144.0,3.6911422474538086e-05,0.0009861415059024,3350.47088992096,True,30.271365794099708,False,< 100 m
47810,מסוף חצור הגלילית/רציפים,North,Periphery,32.98083,35.556268,,6,0.0001969667126255,241.0,1,5,55.0,186.0,1.1455572946639174e-05,0.0009859945421754,3312.133356502568,True,0.0,False,< 100 m
15385,הנשיא/שד. יהודית,Center,Tel Aviv,32.05925,34.850796,,3,9.848335631278314e-05,700.0,1,2,350.0,350.0,2.648254984915591e-05,0.0009835276965308,3360.838379192965,True,11.124259742042048,False,< 100 m
27642,צומת עוצם,Center,Periphery,31.634905,34.696521,,4,0.0001313111417503,134.0,2,2,67.0,67.0,3.764892481101706e-05,0.0009826076503402,3212.7845194545102,True,68.19458085219333,False,< 100 m
43771,שדרות יחד שבטי ישראל/הרב אלישיב,Center,Tel Aviv,31.93504,34.896984,,6,0.0001969667126255,1328.0,5,1,364.0,964.0,2.6173502345477768e-05,0.0009825484716764,3498.1606292671163,True,132.33678160601258,False,100-300 m
3224,ורדיה/נורית,North,Haifa,32.794269,34.993713,,4,0.0001313111417503,888.0,3,1,444.0,444.0,3.844636334359484e-05,0.0009824044684194,2987.5112806307816,True,15.38493985424127,False,< 100 m
1228,מתחם מיקס/צה''ל,Center,Periphery,32.440952,34.931872,,7,0.0002297944980631,3112.0,4,3,1543.0,1569.0,6.862711773637366e-05,0.0009821191346815,3237.8440187976767,True,120.73646956510478,False,100-300 m
7048,צומת כרמיאל,North,Periphery,32.925538,35.299215,,3,9.848335631278314e-05,480.0,1,2,240.0,240.0,1.5038924521243098e-05,0.0009803611439898,2934.844655862128,True,146.16298033543382,False,100-300 m
16347,ירושלים/גורדון,Center,Tel Aviv,32.087393,34.901304,,6,0.0001969667126255,1246.0,3,3,623.0,623.0,3.350418410604608e-05,0.000979344928967,3442.456844647757,True,91.76735865812682,False,< 100 m
24278,טרומפלדור/פיק''א,Center,Tel Aviv,32.08663,34.87814,,4,0.0001313111417503,2048.0,2,2,1024.0,1024.0,2.9027596413676684e-05,0.0009766499989124,2539.6979295542155,True,22.70911325007133,False,< 100 m
14613,ת.רק''ל הקוממיות/דרך בגין,Center,Tel Aviv,32.00203,34.746829,,7,0.0002297944980631,4318.0,1,6,580.0,3738.0,2.7352591155489257e-05,0.0009765233732643,2893.209400786439,True,28.595914638150884,False,< 100 m
5282,מסעף שער הגולן,North,Periphery,32.683344,35.581801,,3,9.848335631278314e-05,654.0,2,1,327.0,327.0,4.670897688917451e-05,0.0009764149959123,1675.742032044462,True,96.84809206364292,False,< 100 m
18568,צומת א.תעשיה תרדיון,North,Periphery,32.864774,35.279949,,4,0.0001313111417503,1068.0,2,2,534.0,534.0,8.306832950195694e-05,0.000975762483708,2121.2676978439417,True,124.12812810907045,False,100-300 m
18822,צומת יאסיף,North,Haifa,32.912948,35.154975,,4,0.0001313111417503,2202.0,2,2,1101.0,1101.0,0.0001186081454413,0.0009750563019665,3069.943172921863,True,137.64013136347938,False,100-300 m
20207,צומת זרזיר,North,Haifa,32.734726,35.210763,,5,0.0001641389271879,494.0,2,3,247.0,247.0,3.751683949280501e-05,0.0009744342587684,3639.4787671093104,True,83.97904446696165,False,< 100 m
5309,מסעף אזור תעשיה,North,Periphery,32.779064,35.498634,,5,0.0001641389271879,872.0,2,3,436.0,436.0,1.9005925661062715e-05,0.0009733168168242,3531.16144318895,True,107.207697848337,False,100-300 m
4588,קניון מבנה/השושנים,North,Periphery,32.698132,35.312586,,6,0.0001969667126255,1634.0,4,2,817.0,817.0,3.228822534797131e-05,0.0009724674990706,2327.341795726664,True,52.45486025034559,False,< 100 m
333,הרצל/עולי הגרדום,Center,Tel Aviv,32.325694,34.864841,,8,0.0002626222835007,7988.0,5,3,3994.0,3994.0,0.000180840135649,0.0009717741404621,3841.197256042769,True,33.228279745443956,False,< 100 m
21213,כפר כנא ז'/בי''ס חט''ב א,North,Periphery,32.754542,35.344037,,5,0.0001641389271879,1472.0,2,3,745.0,727.0,8.103116529342106e-05,0.0009708491114193,3040.6864923507324,True,87.89864288235107,False,< 100 m
27690,צומת שדה צבי,South,Beer Sheva,31.442134,34.734498,,7,0.0002297944980631,146.0,3,4,73.0,73.0,5.9635973100105006e-05,0.0009707576503798,4032.9329981440183,True,91.6180165663481,False,< 100 m
11226,צומת אורה,Jerusalem,Jerusalem,31.757657,35.159474,,8,0.0002626222835007,2438.0,5,3,1219.0,1219.0,4.0497609550415285e-05,0.0009704241486145,2969.8818864139,True,71.58193969637271,False,< 100 m
41049,שדרות נהר הירקון/נחל לוז,Jerusalem,Periphery,31.708245,34.996115,,5,0.0001641389271879,5692.0,2,3,2846.0,2846.0,7.593143167228342e-05,0.0009702809171811,3271.3040810288026,True,77.09292881429981,False,< 100 m
37237,חאכורת אל עסלי ב,North,Periphery,32.504148,35.058045,,4,0.0001313111417503,180.0,2,2,90.0,90.0,1.1900412737049803e-05,0.0009698726613893,3332.5677957740936,True,59.74431021543832,False,< 100 m
26631,כלא נפחא,South,Periphery,30.725752,34.774853,,4,0.0001313111417503,318.0,2,2,160.0,158.0,4.6775815917821904e-05,0.0009683658345389,2935.68974425408,True,190.90615939967677,False,100-300 m
18712,בית המשפט/תל חי,North,Periphery,33.196282,35.569384,,4,0.0001313111417503,2036.0,2,2,1018.0,1018.0,8.803098109807119e-05,0.0009668912648191,2241.0508274730782,True,145.2162037647594,False,100-300 m
17595,הרצל/המייסדים,North,Periphery,33.009777,35.096852,,5,0.0001641389271879,874.0,4,1,437.0,437.0,4.750738460932893e-05,0.0009657408462388,2393.209260314805,True,156.26756625402442,False,100-300 m
29047,מרחבים/נתיב הצפרים,South,Periphery,31.074755,35.036,,4,0.0001313111417503,1754.0,2,2,877.0,877.0,6.351846441460407e-05,0.0009646173486286,2697.747378728431,True,32.012547497023576,False,< 100 m
27802,צומת רווחה,Center,Periphery,31.644169,34.731054,,8,0.0002626222835007,1088.0,4,4,544.0,544.0,7.495174146581767e-05,0.0009641601881026,3677.093764509541,True,94.59195155030386,False,< 100 m
