trans_id,lang,translation
א סאפא/אבו ח'שבה,HE,א סאפא/אבו ח'שבה
א סאפא/אל ג'מעיה אל תחתא,AR,الصفاء/الجمعية التحتى
א סאפא/אל ג'מעיה אל תחתא,EN,Al-Safa/Al-Jamiya al-Tahta
א סאפא/אל ג'מעיה אל תחתא,HE,א סאפא/אל ג'מעיה אל תחתא
א סאפה/אל בוטמה,AR,الصفا- البطمة
א סאפה/אל בוטמה,EN,A Saffa Al Butma
א סאפה/אל בוטמה,HE,א סאפה/אל בוטמה
א סולטאני/א נור,AR,السلطاني/النور
א סולטאני/א נור,EN,A Sultani/A Nur
א סולטאני/א נור,HE,א סולטאני/א נור
א סולטאני/סלאח א דין,AR,السلطاني/صلاح الدين
א סולטאני/סלאח א דין,EN,A Sultani/Salah a Din
א סולטאני/סלאח א דין,HE,א סולטאני/סלאח א דין
א סולטאני/עבד אל כרים קאסם,AR,السلطاني/عبد الكريم قاسم
א סולטאני/עבד אל כרים קאסם,EN,A Sultani/Abd al-Karim Qasim
א סולטאני/עבד אל כרים קאסם,HE,א סולטאני/עבד אל כרים קאסם
א סולטאני/עומר בן אל ח'טאב,AR,السلطاني/عمر بن الخطاب
א סולטאני/עומר בן אל ח'טאב,EN,A Sultani/Omar Bin Al-Khattab
א סולטאני/עומר בן אל ח'טאב,HE,א סולטאני/עומר בן אל ח'טאב
א סייד,AR,السيّد
א סייד,EN,Al Siyid
א סייד,HE,א סייד
א סייד שבט,AR,عشيرة السيّد
א סייד שבט,EN,Al-Sayyid tribe
א סייד שבט,HE,א סייד שבט
א קודס אגבריה,AR,القدس الغربية
א קודס אגבריה,EN,A Quds Agabariya
א קודס אגבריה,HE,א קודס אגבריה
א קודס/אל ביר,AR,القدس/البير
א קודס/אל ביר,EN,A Quds/El Bir
א קודס/אל ביר,HE,א קודס/אל ביר
א קודס/אל ח'נדק,AR,القدس/الخندق
א קודס/אל ח'נדק,EN,A Quds/Al-Handaq
א קודס/אל ח'נדק,HE,א קודס/אל ח'נדק
א קודס/אל מדינה,AR,القدس/المدينة
א קודס/אל מדינה,EN,A Quds/El Medina
א קודס/אל מדינה,HE,א קודס/אל מדינה
א רבאט,AR,الرباط
א רבאט,EN,A Rabat
א רבאט,HE,א רבאט
א שאפי/חובז'ן,AR,الشافي/حوڤجن
א שאפי/חובז'ן,EN,Ashafi/Hovzin
א שאפי/חובז'ן,HE,א שאפי/חובז'ן
א שוקפאן,HE,א שוקפאן
א שייח,HE,א שייח
א שייח',AR,الشيخ
א שייח',EN,A Sheikh
א שייח',HE,א שייח'
א שייח' אמין טריף/411,AR,الشيخ أمين طريف/411
א שייח' אמין טריף/411,EN,A Sheikh Amin Tarif/411
א שייח' אמין טריף/411,HE,א שייח' אמין טריף/411
א שייח' אמין טריף/מרשאן,AR,الشيخ أمين طريف/مرشان
א שייח' אמין טריף/מרשאן,EN,A Sheikh Amin Tarif/Marashan
א שייח' אמין טריף/מרשאן,HE,א שייח' אמין טריף/מרשאן
א שייח' אמין טריף/סלימאן אבו עביד,AR,الشيخ أمين طريف/سليمان أبو عبيد
א שייח' אמין טריף/סלימאן אבו עביד,EN,A Sheikh Amin Tarif/Saliman Abu Abid
א שייח' אמין טריף/סלימאן אבו עביד,HE,א שייח' אמין טריף/סלימאן אבו עביד
א שייח' אמין טריף/רחוב 411,AR,الشيخ أمين طريف/شارع 411
א שייח' אמין טריף/רחוב 411,EN,A Sheikh Amin Tarif/411 Street
א שייח' אמין טריף/רחוב 411,HE,א שייח' אמין טריף/רחוב 411
א שייח' אמין טריף/שייח' אחמד כניפס,AR,الشَّيْخ أمين طريف / شَيْخ أَحمَد خِنيفس
א שייח' אמין טריף/שייח' אחמד כניפס,EN,Sheikh Tarif/Sheikh Kanipas
א שייח' אמין טריף/שייח' אחמד כניפס,HE,א שייח' אמין טריף/שייח' אחמד כניפס
א שייח/דרך יריחו,HE,א שייח/דרך יריחו
א"ח 120,AR,آلِف حيت 120
א"ח 120,EN,Alef Het 120
א"ח 120,HE,א"ח 120
א"ח 347,AR,آلِف حيت 347
א"ח 347,EN,Alef Het 347
א"ח 347,HE,א"ח 347
א"ס ביתר/א"ס הפועל,AR,أ"س بيتار/أ"س هبوعيل
א"ס ביתר/א"ס הפועל,EN,Betar Sports Club/HaPo'el Sports Club
א"ס ביתר/א"ס הפועל,HE,א"ס ביתר/א"ס הפועל
א"ת ברוש מערב,AR,المنطقة الصناعية بروش غرب
א"ת ברוש מערב,EN,Brosh West Industrial Area
א"ת ברוש מערב,HE,א"ת ברוש מערב
א"ת הרטוב א,AR,م.ص. هرتوف أ
א"ת הרטוב א,EN,Hartuv Industrial Area A
א"ת הרטוב א,HE,א"ת הרטוב א
א"ת ישן,AR,م.ص. القديمة
א"ת ישן,EN,Old Industrial Area
א"ת ישן,HE,א"ת ישן
א"ת לב הארץ,AR,المنطقة الصناعية ليف هآرتس
א"ת לב הארץ,EN,Lev HaArets Indusdrial Area
א"ת לב הארץ,HE,א"ת לב הארץ
א"ת מישור אדומים,AR,م.ص. ميشور أدوميم
א"ת מישור אדומים,EN,Mishor Adumim Industrial Area
א"ת מישור אדומים,HE,א"ת מישור אדומים
א"ת מכתשים,AR,المنطقة الصناعية مكتيشيم
א"ת מכתשים,EN,Makhteshim Industrial Area
א"ת מכתשים,HE,א"ת מכתשים
א"ת מערבי,AR,منطقة صناعية غربية
א"ת מערבי,EN,Western Industrial Zone
א"ת מערבי,HE,א"ת מערבי
א"ת נווה נאמן,AR,المنطقة الصناعية نافي نئيمان
א"ת נווה נאמן,EN,Neve Ne'eman Industrial Area
א"ת נווה נאמן,HE,א"ת נווה נאמן
א"ת ספיר צפון,AR,المنطقة الصناعية سابير شمال
א"ת ספיר צפון,EN,Sapir North Industrial Area
א"ת ספיר צפון,HE,א"ת ספיר צפון
א"ת ספירים,AR,منطقة صناعية سبيريم
א"ת ספירים,EN,Sapirim Industrial Park
א"ת ספירים,HE,א"ת ספירים
א"ת עד הלום,AR,المنطقة الصناعية عاد هلوم
א"ת עד הלום,EN,Ad Halom Industrial Area
א"ת עד הלום,HE,א"ת עד הלום
א"ת עמק שרה,AR,المنطقة الصناعية سارا
א"ת עמק שרה,EN,Emek Sara Industrial Area
א"ת עמק שרה,HE,א"ת עמק שרה
א"ת פ.ספיר צפון,HE,א"ת פ.ספיר צפון
א"ת ציפורית,AR,منطقة صناعية تسيبوري
א"ת ציפורית,EN,Tziporit Industrial Zone
א"ת ציפורית,HE,א"ת ציפורית
א"ת צפוני,AR,م.ص. شمالية
א"ת צפוני,EN,Northern Industrial Area
א"ת צפוני,HE,א"ת צפוני
