fare_id,route_id,origin_id,destination_id,contains_id
201,,27059,20728,
201,,33178,33469,
201,,52106,54663,
201,,60330,60063,
202,,38591,35679,
202,,52617,53784,
202,,53560,51154,
201,,57150,58147,
201,,60828,60825,
202,,37779,32149,
204,,1084,20077,
204,,61215,11601,
201,,583,665,
201,,21502,21764,
201,,32939,25636,
201,,40874,55402,
202,,13879,31252,
205,,60787,53497,
201,,6214,3664,
201,,601,5319,
201,,15006,15157,
201,,26618,25632,
201,,39700,30814,
201,,58009,50990,
202,,13203,31327,
202,,12289,15909,
204,,55497,25937,
201,,34237,39910,
201,,54052,54093,
202,,27170,31951,
202,,61463,61239,
202,,22942,12299,
201,,21100,20749,
201,,32207,11152,
201,,41877,46957,
201,,39187,39606,
204,,16087,15899,
201,,60579,60894,
201,,61113,65430,
202,,12556,10511,
202,,33157,21371,
202,,32156,14691,
202,,51706,52218,
204,,22279,177,
204,,37105,52855,
201,,3847,3014,
201,,13679,13409,
201,,15265,14349,
201,,33370,33611,
201,,41205,42684,
201,,65287,63213,
202,,25394,32156,
202,,31731,61537,
202,,50877,50274,
202,,59077,42315,
221,,19587,10749,
201,,31093,37644,
201,,42223,47003,
201,,52684,54442,
201,,55413,59033,
202,,16240,14429,
204,,576,14223,
201,,31496,32479,
201,,37410,39455,
201,,40679,40222,
201,,52803,52938,
201,,51467,52279,
201,,58264,41478,
201,,58941,50177,
202,,5131,35027,
204,,1640,15996,
204,,4170,40197,
201,,15448,19377,
201,,31580,31100,
201,,33326,35275,
201,,37789,32693,
201,,43722,51532,
201,12588,,,
202,,31654,21712,
202,,50142,50707,
204,,27063,52269,
201,,32679,31296,
201,,41483,52081,
201,,57458,52737,
204,,14094,2000,
201,,13817,13869,
201,,15491,19822,
201,,31010,31737,
201,,35090,32041,
201,,58334,54126,
201,,61278,468,
202,,50059,42992,
201,,11360,11547,
201,,638,65163,
201,,30283,30780,
201,,31052,33034,
201,,33767,34643,
201,,32770,33674,
201,,40463,41452,
201,,54016,51374,
201,,58058,57123,
202,,13107,61238,
202,,21356,38701,
204,,19710,60415,
201,,16184,16153,
201,,21023,37996,
201,,36601,20699,
201,,63582,65284,
202,,26898,34855,
202,,35585,60314,
202,,43036,52468,
202,,52985,55001,
204,,13403,19290,
202,,60805,63604,
201,,32148,32170,
201,,51952,53348,
201,,63230,63264,
202,,20000,31931,
202,,13599,16274,
202,,54140,57066,
202,,41476,51621,
202,,58056,54152,
204,,43549,374,
201,,13172,11152,
201,,55068,55444,
202,,5444,60817,
202,,43006,50840,
201,,53576,47409,
202,,32154,14684,
201,,20707,20701,
201,,19345,15376,
201,,31912,34249,
201,,39234,39275,
201,,38175,31424,
201,,51057,54243,
202,,36176,5524,
204,,647,11367,
201,,53344,46953,
202,,165,60319,
202,,19315,14930,
202,,15861,16415,
202,,22942,60300,
202,,35628,60001,
202,,2644,51565,
202,,11430,15400,
202,,16476,10566,
202,,32267,63414,
201,,16506,11166,
201,,21734,31492,
201,,33118,33448,
201,,40413,41705,
201,,40576,42204,
201,,57380,57293,
202,,58058,54028,
201,,59448,54194,
202,,659,35588,
202,,284,60023,
202,,33077,5339,
202,,35552,39455,
202,,56545,57472,
201,,21197,26724,
201,,30851,39741,
201,,58469,50562,
202,,41480,53008,
202,,32137,11269,
202,,40852,43807,
201,,567,3228,
201,,15211,15899,
201,,33205,33207,
201,,54220,50078,
202,,16285,15603,
202,,15564,15932,
202,,22974,32003,
202,,57067,54322,
201,,157,168,
201,,59220,59219,
201,,58045,59035,
201,,13408,19980,
201,,31430,38311,
201,,34280,20697,
201,,50835,51567,
201,,51970,58025,
201,,56184,50263,
202,,30838,42154,
202,,54005,58165,
202,,51829,54014,
202,,55607,52797,
202,,59186,42409,
201,,20147,37336,
201,,33739,65411,
201,,33955,35056,
201,,40722,30590,
201,,47090,40969,
201,,50669,59155,
201,,53002,52565,
202,,21303,37064,
