stop_id,stop_name,region,metro,community_louvain,lat,lon,degree,stop_use_count,has_service_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_cluster,socio_cluster_group,socio_index_value,socio_population
38575,השמש/אור,מרכז,פריפריה,-1,32.487057,34.912631,10,66.0,True,False,within,0.0,11670001,קיסריה,9,high_8_10,1.99752161295104,5782.82845454897
38576,תלמי אליעזר/מרכז,מרכז,פריפריה,-1,32.444835,34.97341,0,84.0,True,False,within,0.0,20030001,תלמי אלעזר,9,high_8_10,1.53652345984085,950.529501921018
38577,הראשונים/ההדרים,מרכז,פריפריה,-1,32.446071,34.978856,1,84.0,True,False,within,0.0,20030001,תלמי אלעזר,9,high_8_10,1.53652345984085,950.529501921018
38578,הראשונים/דרך השדות,מרכז,פריפריה,-1,32.448093,34.983083,1,84.0,True,False,within,0.0,20030001,תלמי אלעזר,9,high_8_10,1.53652345984085,950.529501921018
38579,צומת אלון/תלמי אליעזר,מרכז,פריפריה,-1,32.450057,34.96304,5,0.0,False,False,within,0.0,78000004,פרדס חנה-כרכור,8,high_8_10,1.09799093394562,1546.35248800883
38580,העליה השניה/החי''ל,מרכז,תל אביב,-1,31.945009,34.775377,1,0.0,False,False,within,0.0,1740001,נטעים,9,high_8_10,1.93958956442319,636.454604857368
38581,כביש 4311/התגלית,מרכז,תל אביב,-1,31.948578,34.760882,5,0.0,False,True,nearest,18.334115085297988,83000611,ראשון לציון,8,high_8_10,1.35304700130619,2736.69106506596
38582,דרך המיסדים/צרכניה,מרכז,תל אביב,-1,31.935472,34.777295,7,0.0,False,False,within,0.0,1590001,בית חנן,9,high_8_10,1.53703287011466,522.524182508026
38586,גן שורק/הרחבה,מרכז,תל אביב,-1,31.946208,34.769133,2,14.0,True,False,within,0.0,3110001,גן שורק,9,high_8_10,1.80790874176897,701.487979402529
38588,רובע דרכי הבשמים,דרום,פריפריה,-1,30.621905,34.801494,7,160.0,True,False,within,0.0,990001,מצפה רמון,3,low_1_4,-0.922174759991749,5174.85337920963
38589,יעקב יהושע,ירושלים,ירושלים,-1,31.832539,35.247466,9,1006.0,True,False,within,0.0,30000125,ירושלים,4,low_1_4,-0.40064921168607,4465.97500329841
38590,מישאל מזרחי/אורי בן אורי,ירושלים,ירושלים,-1,31.833182,35.248172,7,1006.0,True,False,within,0.0,30000125,ירושלים,4,low_1_4,-0.40064921168607,4465.97500329841
38591,צומת אבו תור/דרך חברון,ירושלים,ירושלים,-1,31.767776,35.226428,18,299.0,True,False,within,0.0,30001337,ירושלים,5,middle_5_7,-0.207376736516963,3336.48122906433
38594,צומת אבו תור/דרך חברון,ירושלים,ירושלים,-1,31.769,35.225974,20,315.0,True,False,within,0.0,30001337,ירושלים,5,middle_5_7,-0.207376736516963,3336.48122906433
38595,מח''ל,ירושלים,ירושלים,-1,31.796568,35.227027,46,0.0,False,False,within,0.0,30000531,ירושלים,2,low_1_4,-1.49430538240404,3272.60708807162
38614,כביש 446/דרך קרית ספר,מרכז,תל אביב,-1,31.937315,35.034686,39,168.0,True,False,nearest,76.41641776133994,37970006,מודיעין עילית,2,low_1_4,-1.88459112881516,4063.0475173334
38615,נס עמים/מרכז,צפון,חיפה,-1,32.965239,35.121172,0,49.0,True,False,within,0.0,11430001,נס עמים,8,high_8_10,1.0469411548014,466.676699597314
38616,העלייה/השחר,מרכז,פריפריה,-1,32.47774,34.999566,11,186.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38617,המייסדים/נעורים,מרכז,פריפריה,-1,32.468956,34.990003,14,531.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38618,העלייה/כוכב,מרכז,פריפריה,-1,32.476565,34.999541,13,191.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38619,העלייה/ברקאי,מרכז,פריפריה,-1,32.475279,34.999312,15,186.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38620,העלייה/ברקאי,מרכז,פריפריה,-1,32.475194,34.99941,15,191.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38621,המייסדים/ימאים,מרכז,פריפריה,-1,32.476004,34.990779,15,357.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38623,קדמה/הבנים,מרכז,פריפריה,-1,32.476189,34.997431,17,210.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38624,קדמה/הבנים,מרכז,פריפריה,-1,32.475569,34.997584,17,202.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38625,העלייה/אחוזה,מרכז,פריפריה,-1,32.472416,34.999293,11,191.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38626,העלייה/אחוזה,מרכז,פריפריה,-1,32.473171,34.999259,11,186.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38627,אחוזה/ירושלים,מרכז,פריפריה,-1,32.47228,34.99542,22,186.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38628,אחוזה/המושב,מרכז,פריפריה,-1,32.472192,34.993561,17,0.0,False,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38629,המושב/אחוזה,מרכז,פריפריה,-1,32.47184,34.993099,16,186.0,True,False,within,0.0,78000002,פרדס חנה-כרכור,8,high_8_10,1.16574683535328,4146.85254644665
38630,הבנים/המושב,מרכז,פריפריה,-1,32.47536,34.992643,14,207.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38631,הבנים/המושב,מרכז,פריפריה,-1,32.475154,34.993635,14,202.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38632,השופטים/דגניה,מרכז,פריפריה,-1,32.47845,34.98695,13,150.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38633,דגניה/השופטים,מרכז,פריפריה,-1,32.477877,34.987004,13,147.0,True,False,within,0.0,78000003,פרדס חנה-כרכור,8,high_8_10,1.12003073091549,5842.4370939678
38634,השופטים/נטע,מרכז,פריפריה,-1,32.479898,34.986919,12,147.0,True,False,within,0.0,78000001,פרדס חנה-כרכור,8,high_8_10,1.44372094530257,4955.60378099057
