socio_unit_id,socio_locality,socio_locality_code,socio_stat_area_code,socio_cluster,stops,active_stops,total_stop_use_count,avg_stop_use_count,median_stop_use_count,avg_proximity_degree,critical_stops,dominant_region,dominant_metro,louvain_communities,socio_population,socio_index_value,active_stop_share,stops_per_1000_residents,stop_use_count_per_1000_residents,stop_use_count_per_stop,critical_stop_share
37970003,מודיעין עילית,3797.0,3.0,1,24,24,38186.0,1591.0833333333333,1401.5,48.583333333333336,1,מרכז,פריפריה,0,4577.51263898297,-2.46969164188044,1.0,5.2430221154631935,8342.085104211563,1591.0833333333333,0.041666666666666664
37970004,מודיעין עילית,3797.0,4.0,1,23,23,18601.0,808.7391304347826,1162.0,63.608695652173914,0,מרכז,פריפריה,0,8098.3858122721,-2.35880336389054,1.0,2.840072149334544,2296.8774804248633,808.7391304347826,0.0
37970007,מודיעין עילית,3797.0,7.0,1,24,24,39254.0,1635.5833333333333,1780.0,46.333333333333336,0,מרכז,תל אביב,0,13333.7556874188,-2.26210589239778,1.0,1.7999429840045325,2943.9567455880797,1635.5833333333333,0.0
37970008,מודיעין עילית,3797.0,8.0,1,16,16,24949.0,1559.3125,1466.0,31.125,0,מרכז,תל אביב,0,9507.22483414873,-2.41146694367529,1.0,1.6829306426550528,2624.214787725057,1559.3125,0.0
37970009,מודיעין עילית,3797.0,9.0,1,25,24,27250.0,1090.0,1556.0,66.96,0,מרכז,פריפריה,0,14470.0371445472,-2.32630884009307,0.96,1.727708073605108,1883.2018002295679,1090.0,0.0
37970010,מודיעין עילית,3797.0,10.0,1,20,20,30295.0,1514.75,1535.5,42.0,0,מרכז,פריפריה,0,8183.72245789731,-2.23067603808894,1.0,2.4438756449639807,3701.8606332091895,1514.75,0.0
13430001,מכחול,1343.0,1.0,1,14,14,1560.0,111.42857142857143,49.0,2.357142857142857,2,דרום,פריפריה,0,1123.00231369396,-2.53541737430616,1.0,12.466581617226543,1389.1333802052434,111.42857142857143,0.14285714285714285
13600001,סעוה,1360.0,1.0,1,13,13,1570.0,120.76923076923077,26.0,2.1538461538461537,0,דרום,באר שבע,0,2145.03914296298,-2.81519824277664,1.0,6.060495465850975,731.921375491233,120.76923076923077,0.0
77000014,עפולה,7700.0,14.0,1,10,7,3469.0,346.9,308.5,13.7,0,צפון,פריפריה,0,193.133222615305,-3.10002028490536,0.7,51.77773075282151,17961.69479815378,346.9,0.0
13350001,ערב אל נעים,1335.0,1.0,1,2,2,66.0,33.0,33.0,1.0,0,צפון,פריפריה,0,847.542567676112,-2.27144881876953,1.0,2.359763481241805,77.87219488097956,33.0,0.0
80000006,צפת,8000.0,6.0,1,23,21,13363.0,581.0,759.0,22.52173913043478,0,צפון,פריפריה,0,6395.37259024519,-2.78772924755715,0.9130434782608695,3.5963502791192674,2089.479512168294,581.0,0.0
7660001,קוממיות,766.0,1.0,1,5,5,748.0,149.6,157.0,2.8,0,מרכז,פריפריה,0,554.797648569003,-2.15019665882083,1.0,9.01229486623919,1348.239311989383,149.6,0.0
13470001,קצר א-סר,1347.0,1.0,1,10,8,1308.0,130.8,35.0,4.2,0,דרום,פריפריה,0,2727.21491380577,-2.40980001533241,0.8,3.6667443953088448,479.61016690639684,130.8,0.0
11610002,רהט,1161.0,2.0,1,30,27,4432.0,147.73333333333332,75.0,23.733333333333334,0,דרום,באר שבע,0,6656.92088040682,-2.41444633069334,0.9,4.506588036564832,665.7732726018444,147.73333333333332,0.0
11610007,רהט,1161.0,7.0,1,23,12,1950.0,84.78260869565217,55.0,24.043478260869566,0,דרום,באר שבע,0,8246.93305911442,-2.2973182634851,0.5217391304347826,2.788915568385832,236.45153731966835,84.78260869565217,0.0
11610009,רהט,1161.0,9.0,1,16,8,1562.0,97.625,49.5,24.75,0,דרום,באר שבע,0,6398.45992658746,-2.35535230197609,0.5,2.500601735976395,244.12124447469554,97.625,0.0
11610010,רהט,1161.0,10.0,1,95,64,4880.0,51.36842105263158,61.0,16.210526315789473,0,דרום,באר שבע,0,6604.45085165659,-1.999898111405,0.6736842105263158,14.384239073589473,738.8956492538593,51.36842105263158,0.0
12860001,שגב-שלום,1286.0,1.0,1,18,16,2835.0,157.5,96.5,3.0,2,דרום,באר שבע,0,11819.0418456596,-2.24171508440283,0.8888888888888888,1.5229660944647794,239.86715987820278,157.5,0.1111111111111111
7090001,תפרח,709.0,1.0,1,27,27,6848.0,253.62962962962962,190.0,6.888888888888889,2,דרום,באר שבע,0,2231.46146941598,-2.22216975166326,1.0,12.099693573049443,3068.8407995645402,253.62962962962962,0.07407407407407407
13460001,תרבין א-צאנע (יישוב)*,1346.0,1.0,1,3,2,16.0,5.333333333333333,8.0,2.0,0,דרום,באר שבע,0,1233.60609282299,-3.5064561554563,0.6666666666666666,2.431894603515443,12.970104552082363,5.333333333333333,0.0
6520001,אבטין,652.0,1.0,2,26,21,2546.0,97.92307692307692,88.0,10.23076923076923,1,צפון,חיפה,0,2893.88974549769,-1.36329919454768,0.8076923076923077,8.984447330949898,879.78472709994,97.92307692307692,0.038461538461538464
310003,אופקים,31.0,3.0,2,11,11,6393.0,581.1818181818181,605.0,24.181818181818183,0,דרום,באר שבע,0,2972.96619741897,-1.13318885809205,1.0,3.7000084325041547,2150.3776280908237,581.1818181818181,0.0
310006,אופקים,31.0,6.0,2,74,52,23402.0,316.2432432432432,202.0,13.41891891891892,1,דרום,באר שבע,0,6704.06189888167,-1.57556268627621,0.7027027027027027,11.038084241487123,3490.7195597200225,316.2432432432432,0.013513513513513514
13390001,אל -עזי,1339.0,1.0,2,2,2,78.0,39.0,39.0,0.0,0,מרכז,פריפריה,0,196.903160505888,-1.68551489731965,1.0,10.15727728727947,396.1338142038993,39.0,0.0
8680001,אלוני יצחק,868.0,1.0,2,1,1,84.0,84.0,84.0,3.0,0,צפון,פריפריה,0,304.51312993937,-1.13321832297651,1.0,3.283930647585228,275.85017439715915,84.0,0.0
13090001,אלעד,1309.0,1.0,2,29,28,12787.0,440.9310344827586,198.0,32.3448275862069,0,מרכז,תל אביב,0,8314.28587913365,-1.47861107768183,0.9655172413793104,3.4879724394347873,1537.955295967332,440.9310344827586,0.0
13090002,אלעד,1309.0,2.0,2,19,16,7021.0,369.5263157894737,211.0,23.789473684210527,0,מרכז,תל אביב,0,7042.21187089761,-1.22991095848418,0.8421052631578947,2.698015956963566,996.9878965179577,369.5263157894737,0.0
13090003,אלעד,1309.0,3.0,2,17,17,4588.0,269.88235294117646,110.0,21.11764705882353,0,מרכז,תל אביב,0,5312.9123259244,-1.30101732352185,1.0,3.199751653541949,863.5565050853212,269.88235294117646,0.0
13090004,אלעד,1309.0,4.0,2,12,12,5173.0,431.0833333333333,262.5,38.75,0,מרכז,תל אביב,0,6780.45641871614,-1.70916026974341,1.0,1.7697923648438056,762.9279919447506,431.0833333333333,0.0
