mode_label,from_stop,to_stop,trip_frequency
bus,8824,8825,1899
bus,8825,9814,517
bus,9814,8827,2059
bus,8827,10069,2059
bus,10069,10716,1050
bus,10716,47982,3357
bus,47982,37251,4858
bus,37251,10644,3707
bus,10644,8961,2193
bus,10721,9445,1482
bus,9445,44963,2677
bus,44963,44960,2981
bus,44960,8703,1725
bus,8703,8706,4790
bus,8706,8708,4416
bus,8708,8710,4440
bus,8710,8756,3665
bus,8756,8757,5550
bus,8757,49466,5187
bus,8704,10757,1131
bus,10757,8617,3203
bus,8617,10414,871
bus,10414,10784,577
bus,8636,10264,1278
bus,10264,10225,2036
bus,10225,8797,1541
bus,8797,10370,1935
bus,10370,10371,1910
bus,10371,8799,1910
bus,8799,10372,2416
bus,10372,8807,2410
bus,8807,8808,2410
bus,8808,8809,2410
bus,8809,10228,2410
bus,10228,8811,2416
bus,8811,8812,2416
bus,8812,8813,2410
bus,8813,8814,2420
bus,8814,8802,2410
bus,8802,8803,2410
bus,8803,8804,2410
bus,8804,10229,2416
bus,10229,8805,2416
bus,8805,43794,2361
bus,11478,8733,1574
bus,8733,9564,1495
bus,9564,10274,664
bus,10274,9295,1218
bus,9295,9592,1218
bus,9592,9331,1218
bus,9331,9332,1218
bus,9332,9564,666
bus,9564,11910,1461
bus,11910,9322,514
bus,9322,10017,514
bus,10017,9323,514
bus,9323,9368,514
bus,9368,9369,869
bus,9369,9728,869
bus,9728,9381,867
bus,9381,9382,2441
bus,9382,9458,795
bus,9458,51368,1096
bus,51368,9399,2467
bus,9399,9603,1098
bus,9603,9402,1694
bus,9402,9405,1112
bus,9405,9396,1112
bus,9396,9401,517
bus,9401,9665,858
bus,9665,9410,522
bus,9410,9606,522
bus,9606,11596,522
bus,11596,9418,522
bus,9418,46206,514
bus,46206,9423,514
bus,9423,9636,2097
bus,9636,10165,1666
bus,10165,10263,3203
bus,10263,9884,3116
bus,9884,10136,3615
bus,10136,9586,1647
bus,9586,11799,1828
bus,11799,11510,1828
bus,11510,42300,1086
bus,42300,9181,1324
bus,9502,8857,1386
bus,8857,9681,587
bus,9681,50932,725
bus,50932,11742,1584
bus,11742,10123,1673
bus,10123,10124,1675
bus,10124,9711,529
bus,9711,9884,487
bus,10136,11793,633
bus,11793,10588,1722
bus,10588,9560,1847
bus,9560,9561,930
bus,9561,9558,937
bus,9558,9556,937
bus,9556,9427,640
bus,9427,9424,640
bus,9424,9421,1448
bus,9421,9544,1197
bus,9539,9552,2005
bus,9552,9894,1077
bus,9894,9741,828
bus,9741,9297,750
bus,9297,9298,750
bus,9298,10704,750
bus,10704,11228,1164
bus,11228,9296,910
bus,9296,11226,910
bus,11226,9866,1116
bus,9866,10224,1207
bus,10224,9867,1127
bus,9709,9710,1013
bus,9710,11702,1013
bus,11702,10629,1100
bus,10629,9674,1030
bus,9674,10773,953
bus,10773,10322,825
bus,10322,10514,804
bus,10514,10775,3400
bus,10775,10757,2544
bus,8617,45042,663
bus,10785,49354,1695
bus,49354,10786,2256
bus,10786,9589,2247
bus,9589,9485,2238
bus,9485,9623,3341
bus,9623,9489,598
bus,9489,9490,883
bus,9490,11512,883
bus,11512,34267,879
bus,34267,9609,1259
bus,9609,9494,1542
bus,9494,8854,1261
bus,8854,8855,1351
bus,8855,9503,1351
bus,9503,9504,2748
bus,9504,9505,2748
bus,9505,43847,2516
bus,43847,43850,2695
bus,43850,43851,2695
bus,43851,43848,2695
bus,3974,2381,2103
bus,2381,1267,1945
bus,1267,3860,2254
bus,3860,3898,6
bus,3898,1296,286
bus,1296,3999,1304
bus,3999,2394,1108
bus,2394,42806,1058
bus,42806,1479,1058
bus,1479,3891,1046
bus,3891,3885,1444
bus,3885,18793,1258
bus,18793,17888,1374
bus,17888,18913,1118
bus,18913,18914,1224
bus,18914,18915,1158
bus,18915,21298,1138
bus,21298,19488,1139
bus,19488,4205,894
bus,4205,18972,937
bus,18972,21276,6
bus,21276,19372,1065
bus,19372,20945,1071
bus,20945,20946,1037
bus,20946,20957,1039
bus,20957,20981,1073
bus,20981,18238,1155
bus,18238,18239,1358
bus,18239,4859,645
bus,4859,21009,1408
bus,21009,19396,1113
bus,19396,19616,1549
bus,19616,18195,982
bus,18195,21062,2143
bus,21062,4806,2143
bus,4806,4203,2143
bus,4203,4161,1146
bus,4161,21097,1146
bus,21097,18199,1533
bus,18199,21080,1562
bus,21080,4160,870
bus,14021,14040,2274
bus,14040,14032,1041
bus,14032,14029,1781
bus,14029,13339,1383
bus,13339,14344,840
bus,14344,14027,1927
bus,14027,29477,731
bus,29477,14045,2505
bus,14045,33862,735
bus,33862,29432,1786
bus,29432,13334,654
bus,13334,29347,1046
bus,29347,29348,518
bus,29348,13956,781
bus,13956,13364,966
bus,13364,13952,518
bus,13952,13931,652
bus,13931,13929,1487
bus,13929,13842,652
bus,13842,13927,1274
bus,13927,13923,1274
bus,13923,13918,1274
bus,13918,50332,1274
bus,50332,12889,1238
bus,12889,13725,1275
bus,13725,12841,1053
bus,12841,13706,423
bus,13706,13678,423
bus,13678,13667,423
bus,13667,50608,600
bus,50608,44473,592
bus,44473,44472,1694
bus,44472,13649,1694
bus,13649,44469,1694
bus,44469,44465,1968
bus,44465,44466,4767
bus,44466,14319,2510
bus,14205,13029,1945
bus,13029,13028,3403
bus,13028,13245,2190
bus,13245,14081,2190
bus,14081,14008,2399
bus,14008,12973,1132
bus,12973,13053,2201
bus,13053,13090,2102
bus,13090,13203,1318
bus,13203,13240,1643
bus,13240,13247,2692
bus,13247,14477,696
bus,14477,13101,1937
bus,13101,38940,3468
bus,38940,13026,1873
bus,13026,13933,587
bus,13933,13931,835
bus,13929,13841,656
bus,13841,13839,211
bus,13839,13886,1455
bus,13886,13888,515
bus,13888,13876,578
bus,13876,13875,578
bus,13875,43231,578
bus,43231,14548,211
bus,14548,12840,211
bus,12840,13807,459
bus,13807,13805,600
bus,13805,13200,211
bus,13200,13173,315
bus,13173,12988,968
bus,12988,13083,1683
bus,13083,12968,836
bus,12968,13328,981
bus,13328,12975,981
bus,12975,13319,448
bus,37534,13321,363
bus,13321,13632,2253
bus,13632,13322,3012
bus,13322,29483,3720
bus,29483,48363,5103
bus,48363,13320,3276
bus,13320,12890,1453
bus,12890,38945,1155
bus,38945,12880,870
bus,12880,12854,727
bus,12854,13260,1328
bus,13260,13834,1471
