stop_id,largest_component_share_surviving,pairs_disconnected_share,components_after,route_type,mode_label,stop_name,metro,degree,weighted_degree,exact_betweenness,is_articulation_point
49432,0.2555,0.0408,5,0,tram/light rail,משה דיין - צפון,Jerusalem,2,464,0.009983,True
49463,0.2555,0.0408,5,0,tram/light rail,קריית מנחם,Jerusalem,2,500,0.009983,True
49130,0.2555,0.0395,5,0,tram/light rail,דנקנר,Tel Aviv,2,1216,0.009661,True
49147,0.2555,0.0395,5,0,tram/light rail,יוספטל,Tel Aviv,2,1216,0.009661,True
49112,0.2555,0.0395,5,0,tram/light rail,יוספטל,Tel Aviv,2,1276,0.009661,True
49142,0.2555,0.0395,5,0,tram/light rail,דנקנר,Tel Aviv,2,1214,0.009661,True
49434,0.2555,0.0281,5,0,tram/light rail,צומת אורה,Jerusalem,2,464,0.00687,True
49430,0.2555,0.0281,5,0,tram/light rail,מזל קשת,Jerusalem,2,464,0.00687,True
49444,0.2555,0.0281,5,0,tram/light rail,מזל קשת,Jerusalem,2,464,0.00687,True
49461,0.2555,0.0281,5,0,tram/light rail,צומת אורה,Jerusalem,2,500,0.00687,True
49098,0.2555,0.0272,5,0,tram/light rail,קרול,Tel Aviv,2,1216,0.006655,True
49111,0.2555,0.0272,5,0,tram/light rail,כ''ט בנובמבר,Tel Aviv,2,1216,0.006655,True
49138,0.2555,0.0272,5,0,tram/light rail,כ''ט בנובמבר,Tel Aviv,2,1276,0.006655,True
49120,0.2555,0.0272,5,0,tram/light rail,קרול,Tel Aviv,2,1214,0.006655,True
49447,0.2555,0.0145,5,0,tram/light rail,בית הספר לרפואה,Jerusalem,2,464,0.003542,True
49428,0.2555,0.0145,5,0,tram/light rail,יצחק טבנקין,Jerusalem,2,464,0.003542,True
49453,0.2555,0.0145,5,0,tram/light rail,יצחק טבנקין,Jerusalem,2,464,0.003542,True
49467,0.2555,0.0145,5,0,tram/light rail,בית הספר לרפואה,Jerusalem,2,500,0.003542,True
49143,0.2555,0.014,5,0,tram/light rail,פינסקר,Tel Aviv,2,1216,0.003435,True
49153,0.2555,0.014,5,0,tram/light rail,העמל,Tel Aviv,2,1216,0.003435,True
49126,0.2555,0.014,5,0,tram/light rail,העמל,Tel Aviv,2,1276,0.003435,True
49102,0.2555,0.014,5,0,tram/light rail,גשר אם המושבות,Tel Aviv,2,1222,0.003435,True
49131,0.2555,0.014,5,0,tram/light rail,פינסקר,Tel Aviv,2,1214,0.003435,True
49152,0.2555,0.014,5,0,tram/light rail,גשר אם המושבות,Tel Aviv,2,1164,0.003435,True
49423,0.2555,0.0,4,0,tram/light rail,הדסה עין כרם,Jerusalem,1,232,0.0,False
49469,0.2555,0.0,4,0,tram/light rail,נווה יעקב - צפון,Jerusalem,1,232,0.0,False
49433,0.2555,0.0,4,0,tram/light rail,נווה יעקב - צפון,Jerusalem,1,232,0.0,False
49451,0.2555,0.0,4,0,tram/light rail,הדסה עין כרם,Jerusalem,1,250,0.0,False
49132,0.2555,0.0,4,0,tram/light rail,תחנה מרכזית פתח תקווה,Tel Aviv,1,608,0.0,False
49125,0.2555,0.0,4,0,tram/light rail,הקוממיות,Tel Aviv,1,608,0.0,False
49096,0.2555,0.0,4,0,tram/light rail,הקוממיות,Tel Aviv,1,638,0.0,False
49157,0.2555,0.0,4,0,tram/light rail,תחנה מרכזית פתח תקווה,Tel Aviv,1,607,0.0,False
49106,0.2555,0.0,4,0,tram/light rail,קרית אריה,Tel Aviv,1,582,0.0,False
49127,0.2555,0.0,4,0,tram/light rail,קרית אריה,Tel Aviv,1,611,0.0,False
41080,0.375,0.4615,3,5,cable tram,הנביאים,Haifa,2,1208,0.214286,True
41079,0.375,0.4615,3,5,cable tram,מסדה,Haifa,2,1208,0.214286,True
41081,0.5,0.3077,3,5,cable tram,הדר העירייה,Haifa,2,1208,0.142857,True
41078,0.5,0.3077,3,5,cable tram,ביה''ח בני ציון,Haifa,2,1208,0.142857,True
44795,0.75,0.0625,3,5,cable tram,טכניון מרכז,Haifa,2,4804,0.035714,True
41082,0.625,0.0,2,5,cable tram,עיר תחתית,Haifa,1,604,0.0,False
41077,0.625,0.0,2,5,cable tram,מרכז הכרמל,Haifa,1,604,0.0,False
44793,0.75,0.0,2,5,cable tram,אוניברסיטת חיפה,Haifa,1,2402,0.0,False
44798,0.75,0.0,2,5,cable tram,מרכזית המפרץ,Haifa,1,2402,0.0,False
37897,0.2857,0.6,5,8,trolleybus,תחנת מוניות תל אביב תחנה מרכזית,Tel Aviv,3,13,0.142857,True
38016,0.4286,0.0,3,8,trolleybus,תחנת מוניות תל אביב מסוף רדינג,Tel Aviv,1,4,0.0,False
38010,0.4286,0.0,3,8,trolleybus,תחנת מוניות תל אביב שכונת בבלי,Tel Aviv,1,4,0.0,False
38015,0.5714,0.0,3,8,trolleybus,תחנת מוניות תל אביב מסוף רדינג,Tel Aviv,1,4,0.0,False
43267,0.5714,0.0,3,8,trolleybus,תחנת מוניות תל אביב רכבת ההגנה,Tel Aviv,1,4,0.0,False
38009,0.4286,0.0,3,8,trolleybus,תחנת מוניות תל אביב שכונת בבלי,Tel Aviv,1,5,0.0,False
38076,0.5714,0.0,3,8,trolleybus,תחנת מוניות רמת גן דרך הטייסים,Tel Aviv,1,12,0.0,False
37904,0.5714,0.0,3,8,trolleybus,תחנת מוניות תל אביב הכובשים,Tel Aviv,1,12,0.0,False
10893,0.7632,0.1656,3,715,demand/other bus,מגרש ספורט,Periphery,5,218,0.266439,True
10892,0.7697,0.1531,3,715,demand/other bus,תירוש א,Periphery,2,244,0.112147,True
10814,0.7763,0.1404,3,715,demand/other bus,הכרמים,Periphery,4,182,0.104,True
10889,0.7763,0.1404,3,715,demand/other bus,בית העם,Periphery,3,244,0.102823,True
11095,0.7829,0.1274,3,715,demand/other bus,צרכניה,Jerusalem,4,96,0.103383,True
10858,0.8026,0.0871,3,715,demand/other bus,מזכירות,Periphery,4,106,0.064966,True
10809,0.8224,0.0446,3,715,demand/other bus,דואר,Periphery,3,86,0.032677,True
10815,0.8289,0.03,3,715,demand/other bus,צומת ליאון שריגים,Periphery,4,86,0.029482,True
10811,0.8289,0.03,3,715,demand/other bus,צומת ליאון שריגים,Periphery,2,40,0.021959,True
10803,0.8289,0.03,3,715,demand/other bus,עגור מרכז א,Periphery,3,96,0.032503,True
10802,0.8289,0.03,3,715,demand/other bus,עגור/מרכז ד,Periphery,3,96,0.032503,True
42225,0.8487,0.0155,3,715,demand/other bus,נווה חריף,Periphery,4,140,0.01172,True
10794,0.8355,0.0151,3,715,demand/other bus,מסעף נחושה,Periphery,2,46,0.011067,True
10793,0.8355,0.0151,3,715,demand/other bus,מסעף נחושה,Periphery,2,40,0.011067,True
10796,0.8355,0.0151,3,715,demand/other bus,מסעף לוזית,Periphery,2,48,0.011067,True
10799,0.8355,0.0151,3,715,demand/other bus,מסעף עגור,Periphery,2,48,0.011067,True
42224,0.8487,0.0141,3,715,demand/other bus,נאות סמדר,Periphery,4,140,0.010674,True
42226,0.8487,0.0132,3,715,demand/other bus,לוטן,Periphery,3,140,0.009934,True
42227,0.8487,0.012,3,715,demand/other bus,קטורה,Periphery,3,140,0.008932,True
42216,0.8487,0.0071,3,715,demand/other bus,גרופית,Periphery,4,140,0.005272,True
34172,0.8487,0.0071,3,715,demand/other bus,בסיס עובדה/ש''ג,Periphery,4,140,0.005446,True
11255,0.8421,0.0,2,715,demand/other bus,מזכירות,Periphery,1,23,0.0,False
10808,0.8421,0.0,2,715,demand/other bus,צפרירים/הגת,Periphery,3,86,0.001452,False
10817,0.8421,0.0,2,715,demand/other bus,בית העם,Periphery,4,86,0.047955,False
10812,0.8421,0.0,2,715,demand/other bus,צומת ליאון שריגים,Periphery,3,134,0.107282,False
10810,0.8421,0.0,2,715,demand/other bus,מסעף ליאון שריגים,Periphery,3,134,0.088344,False
10813,0.8421,0.0,2,715,demand/other bus,מסעף ליאון שריגים,Periphery,2,48,0.041739,False
10816,0.8421,0.0,2,715,demand/other bus,צומת ליאון שריגים,Periphery,3,94,0.13269,False
10820,0.8421,0.0,2,715,demand/other bus,צומת האלה,Periphery,2,46,0.073959,False
10819,0.8421,0.0,2,715,demand/other bus,צומת האלה,Periphery,2,48,0.095801,False
10830,0.8421,0.0,2,715,demand/other bus,צומת עדולם,Periphery,3,86,0.071512,False
10828,0.8421,0.0,2,715,demand/other bus,צרכניה,Periphery,3,86,0.077844,False
10831,0.8421,0.0,2,715,demand/other bus,צומת עדולם,Periphery,2,46,0.07467,False
10634,0.8421,0.0,2,715,demand/other bus,צומת עדולם,Periphery,2,40,0.080349,False
10835,0.8421,0.0,2,715,demand/other bus,חדר אוכל,Periphery,4,86,0.150472,False
10833,0.8421,0.0,2,715,demand/other bus,מסעף נתיב הל''ה,Periphery,2,46,0.058847,False
10832,0.8421,0.0,2,715,demand/other bus,מסעף נתיב הל''ה,Periphery,2,40,0.068396,False
10834,0.8421,0.0,2,715,demand/other bus,צומת עציונה,Periphery,3,98,0.082067,False
35682,0.8421,0.0,2,715,demand/other bus,כביש 3855/כביש 375,Periphery,2,98,0.047255,False
35683,0.8421,0.0,2,715,demand/other bus,כביש 3855/הירקון,Periphery,3,98,0.047545,False
11065,0.8421,0.0,2,715,demand/other bus,כביש 3855/הרצוג,Periphery,3,98,0.047404,False
11058,0.8421,0.0,2,715,demand/other bus,גן שרון,Periphery,3,106,0.005775,False
11073,0.8421,0.0,2,715,demand/other bus,כביש 3855/רבי יוסף קארו,Periphery,3,98,0.049277,False
41168,0.8421,0.0,2,715,demand/other bus,שדרות יגאל אלון/3855,Periphery,3,98,0.070043,False
11077,0.8421,0.0,2,715,demand/other bus,מחסיה/דרום,Jerusalem,3,106,0.007681,False
37273,0.8421,0.0,2,715,demand/other bus,שדרות יגאל אלון/הצבע,Periphery,2,98,0.071226,False
11288,0.8421,0.0,2,715,demand/other bus,שד.יגאל אלון/הבנאי,Periphery,2,98,0.075235,False
11030,0.8421,0.0,2,715,demand/other bus,שד.יגאל אלון/החרש,Periphery,5,194,0.109573,False
41663,0.8421,0.0,2,715,demand/other bus,כביש 3855/כביש 38,Periphery,4,120,0.021589,False
11022,0.8421,0.0,2,715,demand/other bus,מסעף צרעה,Periphery,2,48,0.051713,False
11021,0.8421,0.0,2,715,demand/other bus,כיכר,Periphery,4,106,0.013325,False
11082,0.8421,0.0,2,715,demand/other bus,מועצה אזורית,Periphery,5,182,0.020275,False
11039,0.8421,0.0,2,715,demand/other bus,איזור התעשיה נשר,Periphery,4,123,0.029953,False
11083,0.8421,0.0,2,715,demand/other bus,נחם ב,Jerusalem,2,162,0.000602,False
41660,0.8421,0.0,2,715,demand/other bus,כביש 38/דולמיט,Periphery,6,142,0.186037,False
11084,0.8421,0.0,2,715,demand/other bus,נחם ג,Jerusalem,2,182,0.000566,False
11085,0.8421,0.0,2,715,demand/other bus,נחם א,Periphery,4,159,0.12702,False
11081,0.8421,0.0,2,715,demand/other bus,מחלף הרטוב,Periphery,2,48,0.108887,False
11028,0.8421,0.0,2,715,demand/other bus,שדרות יגאל אלון/קניון שער העיר,Periphery,3,94,0.074919,False
