stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
10893,מגרש ספורט,31.719412,34.920276,5,218,demand/other bus,715,0.266439,170,6,True,0,Center,Periphery
41660,כביש 38/דולמיט,31.760419,34.987449,6,142,demand/other bus,715,0.186037,71,4,False,0,Jerusalem,Periphery
48699,ישעי ח,31.751376,34.970619,3,96,demand/other bus,715,0.164216,48,4,False,0,Jerusalem,Periphery
48474,מרכז ביג/שדרות יגאל אלון,31.756903,34.985676,3,96,demand/other bus,715,0.156882,48,4,False,0,Jerusalem,Periphery
10835,חדר אוכל,31.687814,34.982513,4,86,demand/other bus,715,0.150472,43,2,False,0,Center,Periphery
10818,צומת האלה,31.686561,34.946639,3,88,demand/other bus,715,0.149711,44,3,False,0,Center,Periphery
10827,זכריה/מרכז א,31.70864,34.948439,3,96,demand/other bus,715,0.14614,48,4,False,0,Center,Periphery
10823,צומת עזקה,31.702636,34.943607,2,48,demand/other bus,715,0.142136,24,2,False,0,Center,Periphery
10912,מחלף בית שמש,31.720202,34.964246,2,48,demand/other bus,715,0.140781,24,2,False,0,Jerusalem,Periphery
10932,מסעף ישעי,31.747428,34.974089,2,48,demand/other bus,715,0.140709,24,2,False,0,Jerusalem,Periphery
38904,כביש 375/3855,31.695839,35.011051,3,94,demand/other bus,715,0.140441,47,2,False,0,Center,Periphery
10816,צומת ליאון שריגים,31.672442,34.936043,3,94,demand/other bus,715,0.13269,47,3,False,0,Center,Periphery
11085,נחם א,31.767142,35.001499,4,159,demand/other bus,715,0.12702,91,6,False,0,Jerusalem,Periphery
10892,תירוש א,31.749469,34.886631,2,244,demand/other bus,715,0.112147,122,2,True,0,Center,Periphery
11030,שד.יגאל אלון/החרש,31.756224,34.987672,5,194,demand/other bus,715,0.109573,97,6,False,0,Jerusalem,Periphery
11081,מחלף הרטוב,31.767124,34.99773,2,48,demand/other bus,715,0.108887,24,2,False,0,Jerusalem,Periphery
