stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
4871,מחלף אליקים לצפון,North,0.01296718547292113,0.014482248708026585,338,100,-238,-247,238
10818,צומת האלה,Center,0.008177282266372316,0.005730582894638686,696,458,-238,-157,238
21589,מחלף מסובים,Center,0.009950903665751692,0.00802966844462887,516,279,-237,-411,237
25419,רבי יהודה הנשיא/חוני המעגל,Center,0.015269468671093488,0.02542329662858349,268,32,-236,-234,236
49720,כפר הנוער עדנים,South,0.04244535410409549,0.008358709728973488,32,267,235,1443,235
20504,מעון נווה רם/הרב עובדיה יוסף,North,0.010032999184075832,0.00801002893631954,511,280,-231,-236,231
14600,ת. מרכזית יבנה,Center,0.01273798218035484,0.01325544070841821,349,123,-226,-146,226
27776,צומת שובל,South,0.034212937157709164,0.007924895266421943,62,288,226,1620,226
21588,מחלף גנות/כביש 4,Center,0.11083768743162485,0.009140290221150841,4,229,225,227,225
49717,צומת א-זיאדנה רהט,South,0.03411898453121107,0.00793743751603261,63,287,224,1595,224
16105,מחלף גדרה לדרום,Center,0.017618147411192997,0.005905575087907748,211,433,222,2161,222
8146,קרית ארבע/60,South,0.01050910301612456,0.00860691774184921,479,258,-221,709,221
17972,צומת שבע,North,0.009322526555398322,0.006756386181334891,568,352,-216,122,216
36134,מחלף גולני/מקדונלדס למערב,North,0.018599918357245393,0.006163506924895032,194,409,215,1313,215
20301,צומת יהודיה,North,0.008548768494032405,0.00570529085025673,663,465,-198,1830,198
20108,עוקף כפר יאסיף 1,North,0.018408897890987975,0.0063414457036293755,195,387,192,1609,192
20625,חניון יהודיה/87,North,0.008517340678830579,0.005636192559979455,668,478,-190,1950,190
11160,מחלף שורש,Jerusalem,0.011009770166896823,0.008665871682982296,440,253,-187,-283,187
26740,בורנשטיין/האופק,South,0.012118560028172643,0.005342778013366657,374,556,182,82,182
12975,מחלף לה גווארדייה,Center,0.018196141427878367,0.030326511477544556,201,21,-180,-172,180
3265,צומת כפר חסידים/כביש 762,North,0.026813991384127073,0.00806670985398437,100,278,178,50,178
