source,target,hop_path_hops,time_path_hops,hop_path_seconds,time_path_seconds,same_path,extra_seconds_if_hop_routed,extra_hops_if_time_routed,time_penalty_ratio
11028,21998,4,11,3216.0,1884.5,False,1331.5,7,1.7065534624568852
19554,43403,10,16,2114.0,1685.0,False,429.0,6,1.25459940652819
41096,8317,13,19,6998.0,5545.0,False,1453.0,6,1.2620378719567178
43611,4968,18,39,8880.0,7774.0,False,1106.0,21,1.1422691021353228
17570,40037,17,44,8675.0,5885.0,False,2790.0,27,1.474086661002549
26562,23002,12,19,7510.0,6488.0,False,1022.0,7,1.157521578298397
20287,48486,23,56,17737.0,7924.0,False,9813.0,33,2.238389702170621
39164,43665,21,33,11065.0,8581.0,False,2484.0,12,1.2894767509614264
36802,40261,6,14,3265.0,2519.0,False,746.0,8,1.29614926558158
17458,8783,14,25,9995.0,6966.0,False,3029.0,11,1.4348262991673844
25939,51275,11,21,9566.0,4732.0,False,4834.0,10,2.021555367709214
17669,23953,21,44,13813.5,6976.0,False,6837.5,23,1.9801462155963303
41620,49561,23,57,13853.0,4611.0,False,9242.0,34,3.004337453914552
35571,39876,19,49,5217.0,3681.0,False,1536.0,30,1.4172779136104319
17989,40607,18,37,5569.0,2594.0,False,2975.0,19,2.146877409406322
29039,46997,31,42,11300.0,8391.0,False,2909.0,11,1.3466809677034919
13226,1500,14,21,6740.0,3816.0,False,2924.0,7,1.7662473794549267
19775,10132,8,12,6716.0,5466.0,False,1250.0,4,1.2286864251738017
24173,23293,7,12,4229.0,1837.0,False,2392.0,5,2.3021230266739248
27776,45027,10,21,6590.0,4846.0,False,1744.0,11,1.3598844407758977
19625,40752,17,32,4085.0,2921.0,False,1164.0,15,1.3984936665525505
10435,18792,13,26,7103.0,6358.0,False,745.0,13,1.1171752123309218
20830,12854,12,27,8673.0,5566.0,False,3107.0,15,1.558210564139418
44823,8394,11,35,11965.0,4117.0,False,7848.0,24,2.906242409521496
43795,13930,13,25,5390.0,3272.0,False,2118.0,12,1.6473105134474328
40523,38326,15,21,7151.5,4469.5,False,2682.0,6,1.6000671216019688
18961,27889,15,30,13522.5,10066.5,False,3456.0,15,1.3433169423334823
5171,21727,13,34,7564.0,5787.0,False,1777.0,21,1.3070675652324175
41025,24381,20,32,9022.0,6806.0,False,2216.0,12,1.3255950631795475
22785,4016,17,39,8556.0,4704.0,False,3852.0,22,1.8188775510204083
39920,48300,21,45,10242.0,8288.0,False,1954.0,24,1.2357625482625483
548,48328,11,22,4405.5,3533.5,False,872.0,11,1.2467808122258384
49696,1252,11,22,8774.0,3980.0,False,4794.0,11,2.204522613065327
44745,35647,20,41,13376.0,7262.0,False,6114.0,21,1.8419168273202975
