model,degree,nodes,probability,cumulative_probability,ccdf
erdos_renyi_gnm,12,4,0.00013130683123789515,0.9999343465843811,0.00019696024685689206
erdos_renyi_gnm,14,2,6.565341561894757e-05,1.0,6.565341561892701e-05
configuration_degree_sequence,1,518,0.017004234645307422,0.017004234645307422,1.0
configuration_degree_sequence,2,13092,0.42976725864163084,0.44677149328693827,0.9829957653546926
configuration_degree_sequence,3,6768,0.2221711584545186,0.6689426517414568,0.5532285067130618
configuration_degree_sequence,4,4259,0.13980894856054887,0.8087516003020057,0.33105734825854316
configuration_degree_sequence,5,2335,0.0766503627351213,0.885401963037127,0.19124839969799434
configuration_degree_sequence,6,1386,0.04549781702393067,0.9308997800610577,0.11459803696287296
configuration_degree_sequence,7,749,0.02458720414929587,0.9554869842103535,0.06910021993894233
configuration_degree_sequence,8,462,0.01516593900797689,0.9706529232183304,0.044513015789646504
configuration_degree_sequence,9,280,0.00919147818665266,0.9798444014049831,0.02934707678166959
configuration_degree_sequence,10,190,0.00623707448380002,0.9860814758887831,0.02015559859501692
configuration_degree_sequence,11,105,0.0034468043199947476,0.9895282802087778,0.013918524111216857
configuration_degree_sequence,12,85,0.002790270163805272,0.9923185503725831,0.01047171979122219
configuration_degree_sequence,13,60,0.001969602468568427,0.9942881528411516,0.007681449627416903
configuration_degree_sequence,14,40,0.0013130683123789516,0.9956012211535306,0.0057118471588484265
configuration_degree_sequence,15,33,0.001083281357712635,0.9966845025112432,0.004398778846469442
configuration_degree_sequence,16,23,0.0007550142796178971,0.9974395167908611,0.0033154974887568134
configuration_degree_sequence,17,13,0.0004267472015231592,0.9978662639923842,0.0025604832091389307
configuration_degree_sequence,18,9,0.0002954403702852641,0.9981617043626695,0.002133736007615794
configuration_degree_sequence,19,17,0.0005580540327610544,0.9987197583954305,0.0018382956373305115
configuration_degree_sequence,20,7,0.0002297869546663165,0.9989495453500968,0.0012802416045695209
configuration_degree_sequence,21,3,9.848012342842137e-05,0.9990480254735252,0.0010504546499031653
configuration_degree_sequence,22,5,0.00016413353904736895,0.9992121590125727,0.0009519745264747748
configuration_degree_sequence,23,1,3.2826707809473786e-05,0.9992449857203821,0.0007878409874273462
configuration_degree_sequence,24,5,0.00016413353904736895,0.9994091192594294,0.0007550142796178827
configuration_degree_sequence,25,1,3.2826707809473786e-05,0.9994419459672389,0.0005908807405705652
configuration_degree_sequence,26,1,3.2826707809473786e-05,0.9994747726750485,0.0005580540327611017
configuration_degree_sequence,27,4,0.00013130683123789515,0.9996060795062863,0.0005252273249515271
configuration_degree_sequence,29,2,6.565341561894757e-05,0.9996717329219053,0.0003939204937136731
configuration_degree_sequence,31,3,9.848012342842137e-05,0.9997702130453336,0.0003282670780947461
configuration_degree_sequence,34,1,3.2826707809473786e-05,0.9998030397531431,0.00022978695466635557
configuration_degree_sequence,36,1,3.2826707809473786e-05,0.9998358664609527,0.00019696024685689206
configuration_degree_sequence,37,1,3.2826707809473786e-05,0.9998686931687621,0.00016413353904731753
configuration_degree_sequence,40,1,3.2826707809473786e-05,0.9999015198765716,0.00013130683123785403
configuration_degree_sequence,41,1,3.2826707809473786e-05,0.9999343465843811,9.848012342839052e-05
configuration_degree_sequence,44,1,3.2826707809473786e-05,0.9999671732921905,6.565341561892701e-05
configuration_degree_sequence,62,1,3.2826707809473786e-05,1.0,3.282670780946351e-05
barabasi_albert_matched,1,7841,0.25739421593408396,0.25739421593408396,1.0
barabasi_albert_matched,2,10684,0.35072054623641796,0.6081147621705019,0.742605784065916
barabasi_albert_matched,3,4470,0.14673538390834784,0.7548501460788497,0.39188523782949813
barabasi_albert_matched,4,2362,0.07753668384597709,0.8323868299248268,0.2451498539211503
barabasi_albert_matched,5,1429,0.04690936545973804,0.8792961953845648,0.16761317007517318
barabasi_albert_matched,6,915,0.030036437645668514,0.9093326330302334,0.12070380461543517
