station_id,station_name,main_stop_id,main_stop_code,station_lat,station_lon,stop_count,active_stop_count,stop_use_count,member_stop_ids
26104,הרבנות והמועצה הדתית/סנהדרין,26104,13089,31.270983,34.791682,2,2,1873,26104;26261
26106,אברהם אבינו/האיסיים,26106,13091,31.2672305,34.792971,2,2,1229,26106;26263
26109,תחנת משטרת אשדוד/הנביאים,26110,13095,31.7799255,34.649914499999994,2,2,406,26109;26110
26111,קק''ל/עזרא הסופר,26112,13097,31.7806365,34.6519325,2,2,1196,26111;26112
26114,הפרחים,26114,13099,31.784925,34.650162,1,1,725,26114
26116,מרכז אורן,26126,13111,31.269776,34.797184,2,2,644,26116;26126
26117,המייסדים,26117,13102,31.784246,34.650909,1,1,698,26117
26120,אוניברסיטת בן גוריון/יצחק רגר,26120,13105,31.2639335,34.798157,2,2,1173,26120;26130
26121,מרכז רפואי סורוקה/יצחק רגר,28915,19429,31.2577305,34.798297500000004,2,2,4986,26121;28915
26125,הכלנית/הנורית,26125,13110,31.784876,34.6554805,2,2,680,26125;26258
26131,רכבת/מסוף ביג - הורדה,26131,13116,31.77479128571428,34.66466692857143,14,12,5094,26131;48908;48914;48942;48943;48944;48945;48946;48947;48948;48949;48950;48951;49654
26133,רחובות/אדוננו ברוך,26133,13118,31.782741,34.663833499999996,2,2,1088,26133;26134
26138,העצמאות/הרצל,26138,13124,31.240376,34.789471,1,1,1404,26138
26142,חוף הקשתות,26142,13132,31.798004,34.632962,1,1,334,26142
26143,מפקורה/משה דיין,26143,13133,31.799816,34.636311,1,1,340,26143
26145,הציונות / מבוא,26145,13136,31.786781,34.640005,1,1,333,26145
26147,הציונות/התקווה,26147,13139,31.785225,34.640778,1,1,332,26147
26148,מרכז מסחרי/הציונות,26149,13141,31.7856425,34.643290500000006,2,2,268,26148;26149
26150,העצמאות/הציונות,26150,13142,31.787916,34.642769,1,1,654,26150
26151,העצמאות/הציונות,26151,13143,31.788609,34.643073,1,1,1119,26151
26152,העצמאות/הגשמה,26152,13144,31.7887105,34.6447125,2,2,689,26152;26169
26154,דרך המשחררים/תל חי,26165,13159,31.251908999999998,34.789061000000004,2,2,1183,26154;26165
26156,גולדה מאיר/שאול המלך,26156,13149,31.260159,34.770545,1,1,713,26156
26157,קניון שאול המלך/משה שרת,26157,13150,31.258099,34.767698,1,1,226,26157
26158,רוגוזין/האלמוגים,26158,13151,31.800609,34.638929,1,1,340,26158
26160,ירושלים/קרן היסוד,26160,13154,31.794994,34.641078,1,1,878,26160
26161,שדרות גולדה מאיר/פנחס רוזן,26516,13542,31.262756,34.765364500000004,2,2,1324,26161;26516
26167,חיים משה שפירא/זלמן ארן,26167,13161,31.799755,34.643742,1,1,493,26167
26170,בני ברית,26170,13164,31.786142,34.647017,1,1,716,26170
26171,בני ברית,26171,13165,31.786898,34.645991,1,1,723,26171
26172,בית ספר הקריה/העצמאות,26173,13167,31.7897375,34.646295,2,2,689,26172;26173
26174,העצמאות/התקומה,26175,13169,31.791966000000002,34.644850000000005,2,2,689,26174;26175
26177,שדרות ירושלים/שדרות בני ברית,26177,13171,31.792037,34.648483,1,1,866,26177
26178,הכלנית/מבוא האתרוג,26178,13172,31.7865215,34.6500335,2,2,2593,26178;26179
26180,חוה/רבקה,26180,13174,31.2686245,34.7629965,2,2,381,26180;40127
26182,החשמונאים/חוה,44486,12592,31.267196,34.761193750000004,4,4,801,26182;40128;44485;44486
26183,פיינברג / לוזון,26183,13177,31.265725,34.759513999999996,2,2,381,26183;40129
26186,בה''ס היובל/המלכים,26186,13180,31.2644805,34.757913,2,2,1058,26186;40131
26188,דקר/רבקה,26188,13182,31.267584999999997,34.765133500000005,2,2,909,26188;40085
26190,דב גור/נתן אלבז,26190,13184,31.793612,34.652403,3,3,770,26190;26201;26287
26191,אבן עזרא/שדרות ירושלים,26191,13185,31.793684,34.645546,1,1,161,26191
26192,אבן עזרא/ביאליק,26192,13186,31.794519,34.6462,1,1,163,26192
26193,יהודה הלוי/אבן עזרא,26194,13188,31.7960245,34.648030500000004,2,2,498,26193;26194
26195,קניון לב אשדוד/יהודה הלוי,26195,13189,31.79694,34.647782,1,1,508,26195
26196,חיים משה שפירא/ארן,26196,13190,31.799222,34.64507066666666,3,3,1098,26196;28848;39626
26197,יהודה הלוי/דב גאפונוב,26197,13191,31.798595,34.64604,1,1,493,26197
26199,קניון לב אשדוד/אבן עזרא,26199,13193,31.796820500000003,34.6489445,2,2,652,26199;26200
26202,אבן עזרא/הרב ניסים,26203,13197,31.799173,34.6500615,2,2,861,26202;26203
26204,ש'ד יעלים / ש''י עגנון,26204,13198,31.251969,34.778403,1,1,480,26204
26205,המייסדים/בן עמי,26205,13199,31.780916,34.645396,1,1,969,26205
26207,אברבנאל/החיד''א,26207,13201,31.254499,34.769521,1,1,1131,26207
26209,רוגוזין/אריה בן אליעזר,26209,13203,31.804191,34.642714,1,1,947,26209
26210,יצחק הנשיא/הרצל,26210,13204,31.803377,34.645789,1,1,276,26210
