from_stop,to_stop,trip_frequency
28985,28982,75
28982,28980,75
42785,47880,257
42785,48172,38
2294,17157,9
2201,2675,350
20997,20982,4
5754,6079,258
50912,46701,122
20739,41936,225
20739,41934,359
4634,42541,64
3703,38558,98
2968,17125,96
12289,12519,21
4761,40871,343
42807,42809,39
41810,44080,422
12495,52017,56
12226,51996,32
12226,52019,54
12226,51995,30
40345,42901,111
42901,44388,111
41786,35611,35
20556,40936,73
51800,51802,872
51759,51760,251
19729,19730,109
19730,19573,109
1810,17013,6
19697,6943,123
6943,19727,123
19727,6988,123
17040,3836,3
42809,43776,39
17097,17185,164
17097,44640,162
17185,17095,164
17095,6968,164
6968,7187,164
19458,6910,40
6910,19460,40
19460,19466,40
19466,19465,40
19465,19462,40
19462,19870,40
19870,6912,40
6912,6914,40
17127,17293,96
17064,17128,96
17128,17065,96
17065,17067,96
17067,17125,96
6963,6964,98
6964,38565,98
38565,38556,98
38556,38558,98
38559,38557,102
38557,38555,102
38555,38554,102
38554,6984,102
6984,6965,102
6965,6175,102
23143,1004,3
10532,48933,1575
8599,8601,13
8601,8615,13
8615,8616,13
8616,8610,13
8610,8600,13
8600,8598,13
8598,8597,13
8597,8596,13
8596,8595,13
8595,8594,13
8594,11314,13
11314,8588,13
8907,38739,46
8881,44575,82
8881,44578,152
8881,44581,120
8881,44580,73
8881,44579,66
48822,8925,50
8925,8924,50
8924,8959,50
8959,44855,50
44855,44856,50
44856,9225,50
44857,44854,96
44854,44853,96
44853,8956,96
8833,8906,89
8906,8897,89
8897,8894,89
8894,8892,89
8892,8890,89
8890,8888,89
8888,8887,89
8887,8885,89
8885,10782,89
8882,10744,90
10744,8884,90
8884,8886,90
8886,44958,90
44958,8889,90
8889,8891,90
8891,8893,90
8893,8895,90
8895,8896,90
8896,8898,90
8898,37733,90
5017,48184,175
5107,5106,61
35353,35385,56
4839,40228,41
40228,40229,41
40229,40231,41
40231,40237,41
35361,35387,44
35387,35396,44
25463,28334,61
28334,25468,61
25468,28331,61
28331,25462,61
25461,25466,61
25466,28597,61
28597,35195,61
40666,24604,12
11079,11044,4
10591,11064,353
11070,48465,20
43699,49672,551
8862,49675,505
44260,51674,727
49757,49759,232
11556,9883,207
11204,11199,56
11205,11203,42
11203,11200,42
11200,11197,42
11245,11199,56
23491,40031,264
41937,50037,142
34299,34300,9
34298,34303,9
5247,5505,37
35,43296,16
39779,47751,39
48439,49228,54
49228,42173,54
7360,7468,5
52006,52004,247
52004,52010,247
52010,52013,247
52013,52005,247
52005,52014,247
7074,37188,37
9282,8744,14
28153,28837,813
27493,27496,132
42497,42496,294
42499,42498,297
42727,28835,813
28835,28836,813
28836,28837,813
28840,28146,867
26985,41181,77
27928,29308,128
25467,49279,1145
27023,27005,53
47884,28884,1154
39642,48348,259
27927,27064,69
41107,41108,75
41108,27926,75
39784,48059,195
39784,48050,84
40443,35297,16
40875,41222,116
26757,49373,84
48974,43586,207
41913,41914,21
26875,49365,81
28717,28716,97
28716,28715,97
28715,28713,97
28713,28712,97
28712,28711,97
28711,28710,97
28740,28739,80
28739,28738,80
28738,28736,75
41140,19646,116
19646,19647,116
19647,41142,116
41141,40319,128
40319,19645,128
43126,262,24
25712,50730,1210
25712,26456,10
20963,41683,132
41683,41682,126
50768,25709,254
25709,50728,226
25709,50732,341
25709,50729,312
40976,40963,72
49050,50824,621
42452,50821,616
19645,41139,128
38204,38208,53
38208,38212,53
38212,38213,53
38213,38215,53
41082,41081,604
41081,41080,604
41080,41079,604
41079,41078,604
41078,41077,604
38214,38211,48
38211,38210,48
38210,4443,48
4443,38206,48
38206,38205,48
10811,10793,20
9569,40020,309
40020,39291,309
39291,35847,309
35847,35957,309
11720,9537,312
9537,39290,312
39290,9570,312
9570,9571,312
40963,42563,72
42563,40958,72
28723,28706,119
28706,28722,119
28722,28719,119
28719,28718,119
28324,26504,3
35585,35564,48
10793,10807,20
49730,41321,549
41321,41340,549
41769,49713,513
19229,19202,2
39634,19221,4
41682,41681,126
43962,48994,137
48994,48954,137
41122,48986,131
39344,39373,10
40956,40957,73
40957,40959,73
40959,40936,73
7413,34313,244
34313,34311,244
19910,19909,34
19909,20210,34
23248,15779,24
188,190,628
188,50382,611
34493,34499,208
42979,44390,52
44390,42978,46
12404,47904,1
44388,43636,111
37897,38016,4
37897,38010,4
37897,38009,5
38015,43267,4
27485,27495,98
27495,27492,98
27492,27489,98
27489,43038,98
43038,27487,98
27487,27486,98
34492,34498,144
34498,34500,144
50069,50286,179
39652,43715,39
25788,25791,93
25791,26432,93
26432,26431,93
41540,40075,92
40075,42244,92
42244,40074,92
40074,40073,92
38076,37904,12
11044,11089,4
11089,11086,4
7873,8049,22
51758,51760,251
6966,6967,162
6967,17184,162
17184,44641,162
44641,44640,162
49786,49781,219
44793,44795,2402
44795,44798,2402
42065,42068,92
42068,42067,92
42067,42072,92
35514,42071,91
42071,42074,91
42074,42077,91
42077,42066,91
42066,42076,91
46270,22827,34
22827,47148,34
47148,46997,34
46997,47168,34
47168,46427,34
46427,46782,34
46782,46600,34
46600,46371,34
46371,46528,34
46528,46873,34
46873,46773,34
46773,22873,34
22873,46702,34
46702,46204,34
46344,46710,34
46710,47288,34
47288,33948,34
33948,47120,34
47120,47070,34
47070,47194,34
47194,46917,34
46917,46215,34
46215,46824,34
46824,22961,34
22961,46864,34
46864,47117,34
47117,46753,34
5836,40006,23
40006,40010,23
40010,40008,23
40008,40004,23
40004,40013,23
40013,40017,23
40017,40016,23
40016,40014,23
40014,19590,23
19590,19281,23
40003,40015,23
40015,40018,23
40018,40012,23
40012,40005,23
40005,40007,23
40007,40011,23
40011,40009,23
39888,39886,80
39886,39884,80
39884,39882,80
35343,20874,44
49132,49143,608
49143,49098,608
49098,49130,608
49130,49107,608
49107,49129,608
49129,49097,608
49097,49095,608
49095,49151,1190
49095,49152,582
49151,49094,1190
49094,49101,1190
49101,49110,1190
49110,49137,1190
49137,49136,1190
49136,49124,1190
49124,49123,1190
49123,49092,1190
49092,49099,608
49099,49091,608
49091,49148,608
49148,49133,608
49133,49115,608
49115,49108,608
49108,49105,608
49105,49156,608
49156,49155,608
49155,49118,608
49118,49139,608
49139,49147,608
49147,49111,608
49111,49153,608
49153,49125,608
49096,49126,638
49126,49138,638
49138,49112,638
49112,49154,638
49154,49113,638
49113,49103,638
49103,49104,638
49104,49119,638
49119,49114,638
49114,49144,638
49144,49090,638
49090,49121,638
49121,49116,638
49116,49122,638
49122,49134,638
49134,49135,1218
49135,49100,1218
49100,49109,1218
49109,49149,1218
49149,49093,1218
49093,49150,1218
49150,49145,1218
49145,49146,1218
49146,49117,1218
49117,49128,607
49117,49102,611
49128,49140,607
49102,49127,611
49140,49141,607
49141,49142,607
49142,49120,607
49120,49131,607
49131,49157,607
49106,49152,582
18827,37164,34
37164,37161,34
37194,35611,35
50914,50902,489
50902,6080,489
50874,50881,100
50881,50882,100
50882,50877,100
50880,50883,100
48428,48429,93
48429,48430,93
48426,48427,157
50377,50376,936
43317,43315,699
27316,28687,37
28687,27946,37
48988,48975,137
34796,34834,76
43315,44537,699
7401,34314,244
44536,44535,686
44535,43316,686
43316,44006,686
34312,34314,244
12757,51375,745
35018,34501,208
34501,34499,208
34500,34659,144
34659,34503,144
