stop_id,stop_name,lat,lon,region,metro,degree,community_louvain,community_lp
10205,רחמילביץ'/גבירצמן,31.823394,35.254057,Jerusalem,Jerusalem,3,39,4142
10209,רחמילביץ/טיילת ג,31.822829,35.245055,Jerusalem,Jerusalem,3,39,4144
10129,חיל האויר/גדוד חרמש,31.829856,35.239848,Jerusalem,Jerusalem,3,39,4133
43209,פארק ארץ ישראל/משה רחמילביץ,31.82234,35.241031,Jerusalem,Jerusalem,3,39,4166
10210,רחמילביץ/דב סדן,31.822764,35.243851,Jerusalem,Jerusalem,3,39,2518
37786,רחמילביץ'/גבירצמן,31.823187,35.254249,Jerusalem,Jerusalem,3,39,1565
11549,מאיר גרשון/יוסף נדבה,31.81986,35.250116,Jerusalem,Jerusalem,3,39,4309
10219,מאיר גרשון/מאיר יושע,31.81976,35.248794,Jerusalem,Jerusalem,3,39,838
10161,מאיר גרשון/דב סדן,31.819525,35.246827,Jerusalem,Jerusalem,3,39,838
10289,מרידור/יוסף נדבה,31.814097,35.251423,Jerusalem,Jerusalem,3,39,4153
11894,רחמילביץ'/ברנדווין,31.816866,35.252069,Jerusalem,Jerusalem,3,39,1651
10299,יוסף נדבה ב,31.817831,35.249326,Jerusalem,Jerusalem,3,39,838
11617,דב סדן/רחמילביץ',31.821256,35.244755,Jerusalem,Jerusalem,3,39,2518
10291,מרידור/יוסף נדבה,31.814337,35.250956,Jerusalem,Jerusalem,3,39,1154
43791,שדרות חיים ברלב/דרך שכם,31.798328,35.231822,Jerusalem,Jerusalem,3,39,45
10301,יוסף נדבה ב,31.817233,35.249376,Jerusalem,Jerusalem,3,39,1154
10300,יוסף נדבה/מרידור,31.814412,35.252194,Jerusalem,Jerusalem,3,39,1154
11529,אלי תבין א',31.817726,35.241574,Jerusalem,Jerusalem,3,39,1147
41930,הרב אברהם רביץ/אהרון שעשוע עזרא,31.83695,35.241886,Jerusalem,Jerusalem,3,39,644
38590,מישאל מזרחי/אורי בן אורי,31.833182,35.248172,Jerusalem,Jerusalem,3,39,134
42972,צומת גבעת אסף/ כביש 60,31.911904,35.250008,Center,Jerusalem,3,39,64
36084,מינהל אזרחי,31.924743,35.223149,Center,Jerusalem,3,39,2271
8240,ספיר/משעול פטדה,32.077832,35.273014,Center,Periphery,3,39,2338
8157,אהבת ישראל/מעלות החוכמה,31.880582,35.240649,Jerusalem,Jerusalem,3,39,7083
42696,אהבת ישראל א,31.877615,35.237389,Jerusalem,Jerusalem,3,39,7083
34713,מקור ברוך 3,31.876844,35.239815,Jerusalem,Jerusalem,3,39,1084
34727,אהבת ישראל ד,31.88139,35.238113,Jerusalem,Jerusalem,3,39,1086
47937,אהבת שלום,31.879789,35.237718,Jerusalem,Jerusalem,3,39,1086
47940,אהבת שלום/מעלות משה,31.87953,35.236675,Jerusalem,Jerusalem,3,39,1086
34724,אהבת ישראל ב,31.880972,35.238262,Jerusalem,Jerusalem,3,39,1086
34750,שילה ג,32.051934,35.297949,Center,Periphery,3,39,3572
38353,כיכר יוסף,32.05439,35.311703,Center,Periphery,3,39,6557
8036,שבות רחל,32.051073,35.308721,Center,Periphery,3,39,6635
7745,אזור תעשיה,32.04866,35.301678,Center,Periphery,3,39,3695
7873,מעלה מכמש,31.878271,35.306602,Center,Jerusalem,3,39,64
43872,מדבר פארן,31.824836,35.288809,Jerusalem,Jerusalem,3,39,1083
43788,מורד נחל פרת,31.829731,35.295109,Jerusalem,Jerusalem,3,39,1083
34710,עלמון/מועצה,31.828705,35.292549,Jerusalem,Jerusalem,3,39,1083
34722,פסגות מרכז,31.897729,35.223322,Jerusalem,Jerusalem,3,39,6254
39049,גבעת העיי,31.895309,35.231852,Jerusalem,Jerusalem,3,39,64
8241,האורן/שד. עלי הכהן,32.07148,35.269374,Center,Periphery,3,39,2338
8331,האורן/האלה,32.070848,35.266863,Center,Periphery,3,39,105
47122,עבד אלחמיד שומאן/ אל איאם,31.829666,35.222483,Jerusalem,Jerusalem,3,39,12
9699,שד' נווה יעקב/אחימאיר,31.838043,35.236988,Jerusalem,Jerusalem,2,39,45
9529,הרב פרדס/אשר גולאק,31.843385,35.243836,Jerusalem,Jerusalem,2,39,325
10654,זווין/ניימן א',31.840792,35.247988,Jerusalem,Jerusalem,2,39,325
10317,זווין/ניימן ב',31.842606,35.249184,Jerusalem,Jerusalem,2,39,4156
10655,הרב ש''י זווין/הרב שלמה יוסף אליאך,31.840495,35.249144,Jerusalem,Jerusalem,2,39,4156
11449,וינוגרד/זווין,31.838543,35.247129,Jerusalem,Jerusalem,2,39,644
42698,שדרות אדם/בשמת,31.851867,35.270551,Jerusalem,Jerusalem,2,39,3854
35430,שדרות אדם,31.851426,35.276435,Jerusalem,Jerusalem,2,39,6349
8379,שדרות אדם/לבונה,31.850489,35.279677,Jerusalem,Jerusalem,2,39,6349
8375,לבונה/שד. אדם,31.849731,35.281565,Jerusalem,Jerusalem,2,39,7897
8367,שדרות אדם/יסמין,31.85058,35.279696,Jerusalem,Jerusalem,2,39,2318
8374,לבונה,31.847893,35.279875,Jerusalem,Jerusalem,2,39,7897
35947,לבונה/ורד,31.847827,35.278584,Jerusalem,Jerusalem,2,39,6433
8384,יסמין/כלנית,31.848744,35.27812,Jerusalem,Jerusalem,2,39,6433
8385,כלנית/חבצלת,31.850323,35.277283,Jerusalem,Jerusalem,2,39,6350
35431,פרג/אירוס,31.847901,35.276323,Jerusalem,Jerusalem,2,39,6350
35427,יסמין/פרג,31.84731,35.273636,Jerusalem,Jerusalem,2,39,6347
35432,הרדוף הנחלים/יסמין,31.847873,35.27166,Jerusalem,Jerusalem,2,39,6347
8377,הרדוף הנחלים/כרכום,31.849749,35.273026,Jerusalem,Jerusalem,2,39,4077
42697,שדרות אדם/בשמת,31.85215,35.269522,Jerusalem,Jerusalem,2,39,3837
10035,הסיירת הירושלמית,31.828506,35.245024,Jerusalem,Jerusalem,2,39,134
50622,גל/דוכיפת,31.826774,35.245487,Jerusalem,Jerusalem,2,39,1646
10002,השישה עשר,31.827816,35.242313,Jerusalem,Jerusalem,2,39,134
10117,משה דיין/רחמילביץ,31.821645,35.239126,Jerusalem,Jerusalem,2,39,4128
10409,רחמילביץ'/משה דיין,31.822316,35.239328,Jerusalem,Jerusalem,2,39,4166
38135,חיים תורן,31.821661,35.243021,Jerusalem,Jerusalem,2,39,2516
10149,שדרות משה דיין/מזל טלה,31.835187,35.233899,Jerusalem,Jerusalem,2,39,1146
10127,פארק ארכיאולוגי/חיל האויר,31.83169,35.239798,Jerusalem,Jerusalem,2,39,4131
10410,חיל האויר/לסקוב,31.83324,35.241852,Jerusalem,Jerusalem,2,39,4131
10053,חיל האויר/הסיירת הירושלמית,31.832948,35.244197,Jerusalem,Jerusalem,2,39,4116
10658,חיל האויר/השישה עשר,31.831209,35.24573,Jerusalem,Jerusalem,2,39,4116
10221,זווין/אליאך,31.841043,35.249404,Jerusalem,Jerusalem,2,39,4147
10222,זווין/ניימן ב',31.8432,35.248817,Jerusalem,Jerusalem,2,39,4147
10653,זווין/ניימן א',31.840255,35.247962,Jerusalem,Jerusalem,2,39,1156
49997,הרב פרדס/אשר גולאק,31.84319,35.244296,Jerusalem,Jerusalem,2,39,1705
11546,בסיס פיקוד מרכז/דוד אלעזר,31.840218,35.234128,Jerusalem,Jerusalem,2,39,50
11714,מאיר גרשון/אלי תבין,31.819726,35.24072,Jerusalem,Jerusalem,2,39,1147
10000,השישה עשר/משה דיין,31.827554,35.240983,Jerusalem,Jerusalem,2,39,2499
10244,שדרות משה דיין/הולצברג,31.831605,35.235507,Jerusalem,Jerusalem,2,39,2515
42149,מסוף שער בנימין/איסוף,31.864886,35.261684,Jerusalem,Jerusalem,2,39,64
8371,הרדוף הנחלים/רקפת,31.848971,35.272528,Jerusalem,Jerusalem,2,39,6346
35426,הרדוף הנחלים/יסמין,31.847961,35.27162,Jerusalem,Jerusalem,2,39,6346
35428,יסמין/פרג,31.84722,35.273255,Jerusalem,Jerusalem,2,39,6348
35429,פרג/אירוס,31.848154,35.276121,Jerusalem,Jerusalem,2,39,6348
8382,כלנית/נורית,31.850102,35.277551,Jerusalem,Jerusalem,2,39,7898
8383,בית כנסת/הלילך,31.848898,35.278106,Jerusalem,Jerusalem,2,39,7898
8378,לבונה/ורד,31.847745,35.278392,Jerusalem,Jerusalem,2,39,7896
8372,לבונה,31.848482,35.281023,Jerusalem,Jerusalem,2,39,7896
8373,לבונה/שד. אדם,31.849723,35.281671,Jerusalem,Jerusalem,2,39,7086
35946,שדרות אדם,31.851035,35.278518,Jerusalem,Jerusalem,2,39,2318
42699,שדרות אדם/יסמין,31.851837,35.275409,Jerusalem,Jerusalem,2,39,2318
10157,דב סדן/מאיר גרשון,31.819891,35.246987,Jerusalem,Jerusalem,2,39,1147
10217,מאיר גרשון/רחמילביץ',31.818946,35.251429,Jerusalem,Jerusalem,2,39,838
10204,רחמילביץ/טוניק,31.820636,35.255452,Jerusalem,Jerusalem,2,39,1651
10652,רחמילביץ'/רפול הררי,31.822173,35.254836,Jerusalem,Jerusalem,2,39,4142
10206,רחמילביץ'/שמואל יפה,31.82227,35.251247,Jerusalem,Jerusalem,2,39,4143
10207,רחמילביץ/טיילת א,31.821853,35.249326,Jerusalem,Jerusalem,2,39,4143
10208,רחמילביץ/טיילת ב,31.821566,35.246703,Jerusalem,Jerusalem,2,39,4144
10407,רחמילביץ/דב סדן,31.822766,35.242661,Jerusalem,Jerusalem,2,39,4165
10408,רחמילביץ'/משה דיין,31.822387,35.239499,Jerusalem,Jerusalem,2,39,4165
10003,השישה עשר,31.827839,35.243073,Jerusalem,Jerusalem,2,39,134
10054,חיל האויר/השישה עשר,31.831163,35.245921,Jerusalem,Jerusalem,2,39,134
10055,חיל האויר/הסיירת הירושלמית,31.833043,35.244189,Jerusalem,Jerusalem,2,39,4117
10057,חיל האויר/לסקוב,31.833353,35.241762,Jerusalem,Jerusalem,2,39,4117
10128,חיל האויר/הארבעה,31.832887,35.240239,Jerusalem,Jerusalem,2,39,4132
42749,פארק ארכיאולוגי/חיל האויר,31.831467,35.23964,Jerusalem,Jerusalem,2,39,4132
9660,הרב פרדס/צ'רלס לוץ,31.838896,35.24383,Jerusalem,Jerusalem,2,39,325
37256,הרב פרדס/ליבנה,31.839617,35.243021,Jerusalem,Jerusalem,2,39,2327
9725,הרב פרדס/שדרות נווה יעקב,31.840649,35.24107,Jerusalem,Jerusalem,2,39,2327
10211,רחמילביץ/טיילת ב,31.821221,35.246836,Jerusalem,Jerusalem,2,39,2518
10212,רחמילביץ/טיילת א,31.8214,35.248994,Jerusalem,Jerusalem,2,39,4145
10214,רחמילביץ'/שמואל יפה,31.822597,35.252058,Jerusalem,Jerusalem,2,39,4145
11584,רחמילביץ'/רפול הררי,31.821843,35.254734,Jerusalem,Jerusalem,2,39,4146
10215,רחמילביץ/טוניק,31.819859,35.255508,Jerusalem,Jerusalem,2,39,4146
10218,מאיר גרשון/רחמילביץ',31.819088,35.251427,Jerusalem,Jerusalem,2,39,1652
10292,מרידור/נתנזון,31.816437,35.252741,Jerusalem,Jerusalem,2,39,1652
11527,אלי תבין א',31.81763,35.241345,Jerusalem,Jerusalem,2,39,2516
10288,מסוף פסגת זאב/יוספטל,31.817462,35.24691,Jerusalem,Jerusalem,2,39,1655
37263,מרידור/יוספטל,31.817497,35.247341,Jerusalem,Jerusalem,2,39,1655
10657,מרידור א,31.81556,35.248566,Jerusalem,Jerusalem,2,39,1655
10290,מרידור/גירינגר,31.815823,35.253831,Jerusalem,Jerusalem,2,39,1651
10298,יוסף נדבה/מרידור,31.814261,35.252232,Jerusalem,Jerusalem,2,39,4153
38127,יורי שטרן/איתן לבני,31.818133,35.253156,Jerusalem,Jerusalem,2,39,6511
10159,דב סדן/מאיר גרשון,31.820547,35.245011,Jerusalem,Jerusalem,2,39,1646
10741,יוסף נדבה א,31.816272,35.250817,Jerusalem,Jerusalem,2,39,838
51555,גל/רחמילביץ,31.823295,35.242623,Jerusalem,Jerusalem,2,39,134
10293,מרידור/גירינגר,31.815905,35.253628,Jerusalem,Jerusalem,2,39,4154
10294,מרידור/פרידלר,31.813953,35.252795,Jerusalem,Jerusalem,2,39,4154
10296,מרידור א,31.815989,35.24828,Jerusalem,Jerusalem,2,39,1154
11676,מרידור/יוספטל,31.817502,35.247484,Jerusalem,Jerusalem,2,39,1655
51961,יוסף נדבה א,31.816031,35.251195,Jerusalem,Jerusalem,2,39,1154
41929,הרב אברהם רביץ,31.836241,35.240007,Jerusalem,Jerusalem,2,39,1150
50648,הרב אברהם רביץ,31.837489,35.24362,Jerusalem,Jerusalem,2,39,1150
11528,אלי תבין ב',31.817569,35.242328,Jerusalem,Jerusalem,2,39,4306
37398,אלי תבין ג,31.815793,35.242419,Jerusalem,Jerusalem,2,39,4306
50649,הרב אברהם רביץ,31.83748,35.243103,Jerusalem,Jerusalem,2,39,644
41928,הרב אברהם רביץ,31.836228,35.239545,Jerusalem,Jerusalem,2,39,644
38134,מחנה יצחק/זלמן צורף,31.822535,35.257225,Jerusalem,Jerusalem,2,39,1565
38132,מחנה יצחק/הרב שלום משאש,31.820488,35.259713,Jerusalem,Jerusalem,2,39,6512
38130,הרב שלום משאש/שאול ליברמן,31.81897,35.257025,Jerusalem,Jerusalem,2,39,6512
38128,יורי שטרן/משה שמיר,31.817744,35.254688,Jerusalem,Jerusalem,2,39,1652
38129,הרב שלום משאש/משה שמיר,31.818104,35.25527,Jerusalem,Jerusalem,2,39,6511
38131,הרב שלום משאש/מחנה יצחק,31.819844,35.259754,Jerusalem,Jerusalem,2,39,1565
38133,מחנה יצחק/זלמן צורף,31.822474,35.257463,Jerusalem,Jerusalem,2,39,1565
34685,מצפה דני/כביש 458,31.885266,35.314304,Center,Jerusalem,2,39,64
34756,דרך החלוצים/שבות סיני,31.937392,35.222598,Center,Jerusalem,2,39,6260
34786,דרך החלוצים/מבוא ליבנה,31.940855,35.221625,Center,Jerusalem,2,39,2270
7865,פסגות/אשקוביות,31.901116,35.222624,Center,Jerusalem,2,39,64
