stop_id,stop_name,own_community,own_community_label,connected_communities,crossing_edges,crossing_weight,degree,weighted_degree,crossing_weight_share,lat,lon,region,metro
13056,יגאל אלון/דרך השלום,24,Tel Aviv / Center,3,4,62,14,3214,0.0193,32.073136,34.794982,Center,Tel Aviv
27865,צומת ניר עם,13,Periphery / South,3,3,62,10,870,0.0713,31.517158,34.586272,South,Periphery
8693,דרוק/קהילות יעקב,69,Jerusalem,3,5,56,9,5427,0.0103,31.813029,35.219342,Jerusalem,Jerusalem
23478,צומת עינת לצפון/כביש 444,35,Tel Aviv / Center,3,4,56,8,456,0.1228,32.090468,34.943421,Center,Tel Aviv
49677,ביר באקה/כביש 61,56,Periphery / Center,3,3,56,6,398,0.1407,32.413196,35.028604,Center,Periphery
8806,אגרות משה/חזון איש,69,Jerusalem,3,6,52,10,5410,0.0096,31.80829,35.225149,Jerusalem,Jerusalem
19581,צומת אחיהוד,29,Haifa / North,3,5,52,12,1890,0.0275,32.911913,35.167244,North,Haifa
8851,המ''ג/ירמיהו,15,Jerusalem,3,4,49,12,4876,0.01,31.790655,35.199964,Jerusalem,Jerusalem
44799,הרב מנחם בצרי/שדרות גולדה מאיר,41,Jerusalem,3,6,48,10,120,0.4,31.798707,35.211442,Jerusalem,Jerusalem
42876,ת. רכבת תל אביב- סבידור/רציפים A,24,Tel Aviv / Center,3,3,48,5,623,0.077,32.083157,34.796089,Center,Tel Aviv
19576,צומת אבליים,27,Haifa / North,3,6,48,11,470,0.1021,32.825162,35.152451,North,Haifa
27792,צומת אשקלון,22,Periphery / Center,3,3,46,12,936,0.0491,31.658183,34.601906,Center,Periphery
50802,דרך מנחם בגין/דרך ירושלים,26,Tel Aviv / Center,3,3,46,9,466,0.0987,31.890955,34.832069,Center,Tel Aviv
18829,מסעף אחיהוד,29,Haifa / North,3,3,40,6,440,0.0909,32.907594,35.168249,North,Haifa
28114,אלומה/מרכז,6,Periphery / Center,3,4,40,19,382,0.1047,31.651214,34.743265,Center,Periphery
36134,מחלף גולני/מקדונלדס למערב,5,Periphery / North,3,4,40,7,750,0.0533,32.774995,35.406577,North,Periphery
49229,דרך מנחם בגין/דרך ירושלים,26,Tel Aviv / Center,3,4,39,10,286,0.1364,31.891538,34.830916,Center,Tel Aviv
10792,שדרות גולדה מאיר/יצחק מירסקי,41,Jerusalem,3,5,38,15,9502,0.004,31.822289,35.189471,Jerusalem,Jerusalem
18826,מסעף אחיהוד,29,Haifa / North,3,3,33,5,422,0.0782,32.906283,35.168572,North,Haifa
2444,רופין/קניאל,32,Haifa / North,3,5,30,14,2456,0.0122,32.799437,35.002022,North,Haifa
10084,גבעת שאול/עקיבא אזולאי,15,Jerusalem,3,3,30,12,3780,0.0079,31.793166,35.188768,Jerusalem,Jerusalem
25975,שדרות הפלמח/חטיבת כרמלי,20,Periphery / Center,3,3,28,12,4724,0.0059,31.804129,34.660742,Center,Periphery
25549,בני ברית/הפלמח,20,Periphery / Center,3,3,28,8,2982,0.0094,31.805193,34.661045,Center,Periphery
15177,צומת ניצני עוז,3,Tel Aviv / Center,3,3,24,4,48,0.5,32.31182,34.999902,Center,Periphery
18803,מסעף נעמה,27,Haifa / North,3,3,23,6,588,0.0391,32.822373,35.149849,North,Haifa
8667,המ''ג/ירמיהו,15,Jerusalem,3,3,22,13,4781,0.0046,31.790711,35.200059,Jerusalem,Jerusalem
19672,צומת פוריה,16,Periphery / North,3,3,22,8,522,0.0421,32.785352,35.495108,North,Periphery
4219,צומת פוריה,16,Periphery / North,3,3,22,11,1986,0.0111,32.786112,35.494281,North,Periphery
20370,צומת כפר תבור,4,Periphery / North,3,3,21,9,972,0.0216,32.690638,35.418975,North,Periphery
27522,מלכי ישראל/יציאה צפונית,6,Periphery / Center,3,3,16,18,3846,0.0042,31.619029,34.767723,Center,Periphery
10123,תחנת רקל''ה שמעון הצדיק/שדרות בר לב,11,Jerusalem,3,4,14,6,3362,0.0042,31.794137,35.226814,Jerusalem,Jerusalem
20792,מירון מרכז,48,Periphery / North,3,3,14,12,312,0.0449,32.984122,35.441198,North,Periphery
28329,צומת לקיה,0,Beer Sheva / South,3,3,14,10,98,0.1429,31.328702,34.878238,South,Beer Sheva
20504,מעון נווה רם/הרב עובדיה יוסף,34,Haifa / North,3,3,13,6,1134,0.0115,32.756128,35.094914,North,Haifa
18918,מושב מירון,48,Periphery / North,3,3,12,8,442,0.0271,32.983535,35.443474,North,Periphery
24779,מחלף גהה/ז'בוטינסקי,37,Tel Aviv / Center,2,4,3994,8,7792,0.5126,32.092697,34.848252,Center,Tel Aviv
10136,הנביאים/הרב קוק,11,Jerusalem,2,3,3648,5,7296,0.5,31.783873,35.220946,Jerusalem,Jerusalem
9574,ככר הדוידקה/הנביאים,11,Jerusalem,2,3,3207,5,8039,0.3989,31.784994,35.215658,Jerusalem,Jerusalem
9652,שד' אשכול/ברלב,41,Jerusalem,2,5,3012,6,6024,0.5,31.800208,35.231787,Jerusalem,Jerusalem
10785,בית המדרש גור/ירמיהו,15,Jerusalem,2,2,2784,3,5564,0.5004,31.792403,35.212878,Jerusalem,Jerusalem
12890,ת. רכבת תל אביב סבידור/על פרשת דרכים,37,Tel Aviv / Center,2,7,2782,12,8164,0.3408,32.08224,34.795351,Center,Tel Aviv
10721,ירמיהו/מנחת יצחק,41,Jerusalem,2,8,2772,10,5529,0.5014,31.792289,35.211015,Jerusalem,Jerusalem
3931,דרך הדשנים/צומת קרית אתא,57,Haifa / North,2,4,2648,6,4849,0.5461,32.810123,35.070699,North,Haifa
1249,הסתדרות/צומת קרית אתא,34,Haifa / North,2,8,2602,11,4710,0.5524,32.810104,35.06881,North,Haifa
