stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic,nearest_alt_m
13428,ת. רכבת צומת חולון/לוי אשכול,מרכז,תל אביב,32.037502,34.777816,5,0.000164,2,3,4.066e-05,0.00096387,3469.9638,52.21212277487777
44201,שדרות דוד טוביהו/חיים נחמן ביאליק,דרום,באר שבע,31.245897,34.785982,3,9.8e-05,1,2,3.02e-05,0.00096199,2997.0944,113.09992971368904
2835,רופין/שמחה גולן,צפון,חיפה,32.790837,35.0034,4,0.000131,2,2,2.912e-05,0.00096161,3349.3516,129.00365760270014
14325,סינמה סיטי/כביש 2,מרכז,תל אביב,32.147632,34.803351,11,0.000361,6,5,0.00011394,0.00096047,3797.4395,67.82371707440223
1381,צומת עדה,צפון,פריפריה,32.511005,34.957873,4,0.000131,2,2,1.219e-05,0.00096036,2538.232,98.49958362768277
2263,בן עמי/הרצוג,צפון,חיפה,32.808889,35.129126,3,9.8e-05,2,1,4.47e-05,0.00095947,1464.2033,45.00199612979735
14612,צומת אודים,מרכז,תל אביב,32.269883,34.846061,12,0.000394,6,6,4.8e-05,0.00095764,3744.0458,93.76514753637576
1404,בית אריזה/דרך פיק''א,מרכז,פריפריה,32.452703,34.962711,3,9.8e-05,1,2,3.398e-05,0.00095645,2959.3729,101.9699264580056
36912,הפרדס/משמר הגבול,מרכז,פריפריה,32.427662,34.941325,4,0.000131,2,2,1.986e-05,0.00095591,2633.0888,91.95767881571687
11119,מחלף מסילת ציון,ירושלים,ירושלים,31.798378,35.014456,10,0.000328,7,3,4.517e-05,0.00095494,4214.7124,44.11890158049921
11208,צומת חמד,ירושלים,ירושלים,31.800399,35.124366,6,0.000197,4,2,8.885e-05,0.00095464,4143.603,69.03741491051251
16930,צומת כרכור,מרכז,פריפריה,32.465582,34.993333,3,9.8e-05,2,1,1.086e-05,0.00095298,3392.5339,117.32991481234876
21176,בריאות המשפחה,צפון,פריפריה,32.740207,35.335819,2,6.6e-05,1,1,6.01e-06,0.00094944,2461.8793,10.236027532404275
48190,ת.מרכזית באר שבע/רציפים בינעירוני,דרום,באר שבע,31.243017,34.796743,3,9.8e-05,0,3,5.11e-06,0.00094794,3253.0715,0.0
9697,מלכי ישראל/תחכמוני,ירושלים,ירושלים,31.789941,35.213136,8,0.000263,6,2,3.428e-05,0.00094776,3772.0414,153.98990969546762
18925,צומת שורשים,צפון,פריפריה,32.889431,35.25786,4,0.000131,2,2,5.879e-05,0.00094716,2644.8688,114.6372860660368
18568,צומת א.תעשיה תרדיון,צפון,פריפריה,32.864774,35.279949,4,0.000131,2,2,8.307e-05,0.00094692,2056.5296,124.12812810907045
49168,עבד אלחמיד שומאן/ אום כולתום,ירושלים,ירושלים,31.829433,35.224337,5,0.000164,3,2,2.621e-05,0.00094682,3762.9836,177.05970543572957
37112,מחלף דרור,מרכז,תל אביב,32.255691,34.892981,5,0.000164,3,2,4.36e-05,0.00094638,3348.0949,99.36304319492362
21308,צומת נהלל,צפון,חיפה,32.700889,35.207125,6,0.000197,3,3,8.373e-05,0.00094604,2455.04,121.0421044330053
11071,שדרות לוי אשכול/הגלעד,ירושלים,פריפריה,31.747767,34.998841,10,0.000328,6,4,7.414e-05,0.00094386,3797.8351,23.845069353389338
34348,מחסום,מרכז,תל אביב,32.184185,34.99786,5,0.000164,3,2,3.73e-05,0.00094352,3378.2759,84.95070941569854
27550,דרך יוסף ג'ו אלון/שמעון אגרנט,דרום,באר שבע,31.240903,34.762846,5,0.000164,2,3,2.799e-05,0.00094343,2078.7461,142.91283839156472
1294,יגור/כפר חסידים,צפון,חיפה,32.74678,35.078856,5,0.000164,2,3,7.275e-05,0.00094329,3584.193,35.0326802994462
50041,אורט אחווה גלבוע/כביש 716,צפון,פריפריה,32.623815,35.400291,3,9.8e-05,2,1,1.595e-05,0.00094247,2598.121,114.94539218934513
1469,אורט ביאליק/שדרות ההסתדרות,צפון,חיפה,32.815284,35.074972,4,0.000131,1,3,6.312e-05,0.00094208,3009.2913,11.26036130062269
28918,ששת הימים/שמואל רודנסקי,דרום,באר שבע,31.271247,34.765025,4,0.000131,2,2,2.228e-05,0.00094202,2850.9244,72.62776227395862
1328,המסילה/מלאכי,מרכז,פריפריה,32.477792,34.953572,4,0.000131,2,2,2.893e-05,0.000942,2374.0629,27.146228190274496
28268,מסגד אלאחסאן,דרום,באר שבע,31.393227,34.763004,8,0.000263,4,4,9.154e-05,0.00094173,2376.0076,35.402884434403546
16403,צומת סירקין/עין גנים,מרכז,תל אביב,32.082223,34.90137,4,0.000131,2,2,6.833e-05,0.00094125,3320.8932,96.91107825440591
27560,דרך יוסף ג'ו אלון/תבורי,דרום,באר שבע,31.24411,34.780935,5,0.000164,3,2,2.704e-05,0.00094111,2715.0979,111.72714849030474
34431,קרני שומרון/יציאה,מרכז,פריפריה,32.175448,35.093034,8,0.000263,2,6,2.618e-05,0.00094082,3550.2163,22.42760972278624
3705,בית ספר אורט,צפון,חיפה,32.682991,35.067217,4,0.000131,2,2,3.4e-05,0.00094021,3183.2224,25.06314562830952
49054,הרב עובדיה יוסף/הרב אלעזר אבוחצירה,דרום,פריפריה,31.070932,35.047762,2,6.6e-05,1,1,1.224e-05,0.00093824,1976.67,69.33687913478208
385,הרב מיימון/מוריה,מרכז,תל אביב,32.345629,34.860975,4,0.000131,2,2,4.706e-05,0.00093782,3211.3524,21.0663769256963
12145,מלון קלאב הוטל/דרך מצריים,דרום,פריפריה,29.548888,34.952467,4,0.000131,2,2,3.602e-05,0.0009371,2704.5956,21.364866842188015
5282,מסעף שער הגולן,צפון,פריפריה,32.683344,35.581801,3,9.8e-05,2,1,4.671e-05,0.00093647,1657.2067,96.84809206364292
22041,בן ציון פוגל/בית ספר קציר,מרכז,תל אביב,31.89249,34.798339,5,0.000164,2,3,1.885e-05,0.00093635,2987.4571,20.77241102665906
5807,צ. פארק תעשייה/שד. הנשיא הרצוג,צפון,פריפריה,33.018381,35.269121,4,0.000131,2,2,2.985e-05,0.00093612,2070.2927,104.19314160859194
39146,כביש 8510/שדרות מנוף,צפון,חיפה,32.943451,35.086608,6,0.000197,3,3,3.153e-05,0.0009359,2517.9275,142.62779144964202
16203,דרך זאב ז'בוטינסקי/הסיבים,מרכז,תל אביב,32.092078,34.85802,9,0.000295,4,5,7.773e-05,0.00093443,3428.4625,98.24106739639599
180,שקד/האורנים,מרכז,תל אביב,31.922468,35.01438,2,6.6e-05,1,1,2.23e-05,0.00093431,2777.4297,265.3500598994953
49798,מסוף מודיעין עילית,מרכז,תל אביב,31.935834,35.03744,4,0.000131,0,4,5.11e-06,0.00093421,3937.0191,0.0
38659,צומת יער חדרה,מרכז,פריפריה,32.40895,34.903447,6,0.000197,3,3,4.733e-05,0.00093268,3379.4806,119.05179416865157
40349,בית ספר ב',צפון,חיפה,32.849124,35.19246,2,6.6e-05,1,1,2.613e-05,0.00093237,2056.9819,37.85848987550827
47810,מסוף חצור הגלילית/רציפים,צפון,פריפריה,32.98083,35.556268,6,0.000197,1,5,1.146e-05,0.00093233,3201.0367,0.0
714,פנחס לבון/גולדה מאיר,מרכז,תל אביב,32.278938,34.851073,8,0.000263,3,5,5.516e-05,0.00093228,3827.6752,22.789269055066963
50485,מכון וינגייט/כביש 2 לדרום,מרכז,תל אביב,32.261481,34.838143,7,0.00023,3,4,8.234e-05,0.00093023,3620.8033,108.81442131628042
17468,מינץ/הרצוג,צפון,חיפה,32.809005,35.130165,4,0.000131,2,2,5.529e-05,0.00092794,1397.7504,97.95512103751737
11153,מסעף גבעת יערים,ירושלים,ירושלים,31.782508,35.10867,2,6.6e-05,1,1,2.341e-05,0.00092608,2467.5545,108.0778116512603
4088,צומת ברטעה,מרכז,פריפריה,32.499661,35.067229,7,0.00023,4,3,9.427e-05,0.00092532,3755.6108,107.38937972997962
38617,המייסדים/נעורים,מרכז,פריפריה,32.468956,34.990003,6,0.000197,4,2,6.931e-05,0.00092478,3034.0137,191.28601776676732
1412,גבעת נאה,מרכז,פריפריה,32.458415,34.964968,2,6.6e-05,1,1,3.341e-05,0.00092358,2680.2428,11.314826633687161
44145,קניון חוצות/התחייה,מרכז,פריפריה,31.660111,34.588686,3,9.8e-05,2,1,3.177e-05,0.00092146,2430.3686,64.75868865975502
15582,שד. הסנהדרין/שד. ירושלים,מרכז,תל אביב,31.887865,34.734514,7,0.00023,5,2,2.465e-05,0.00092125,3658.2782,92.38485665751367
21061,ביג פאשן/עיריית נצרת,צפון,פריפריה,32.695857,35.299744,6,0.000197,2,4,3.135e-05,0.00092066,2696.7308,92.05073817652966
24035,קניון בת ים/יוספטל,מרכז,תל אביב,32.015565,34.755262,7,0.00023,5,2,2.432e-05,0.00092037,3085.7657,107.19749609670565
15435,הרצל/רוטרי,מרכז,תל אביב,31.893195,34.812065,8,0.000263,4,4,0.00011363,0.00092005,3386.2224,96.47810436293874
20207,צומת זרזיר,צפון,חיפה,32.734726,35.210763,5,0.000164,2,3,3.752e-05,0.00091878,3613.7639,83.97904446696165
5518,מסעף מוסד אחווה,צפון,חיפה,32.933775,35.082198,8,0.000263,4,4,5.966e-05,0.00091679,2682.2061,72.31827410287072
2136,גאולה/רבי עקיבא,צפון,חיפה,32.802606,35.000393,5,0.000164,3,2,3.067e-05,0.00091673,3371.9717,67.26944875975651
2410,תחנת רכבת חיפה מרכז השמונה,צפון,חיפה,32.820918,34.99685,9,0.000295,5,4,2.47e-05,0.0009161,3115.1936,42.039492812216054
10784,ירמיהו/מנחת יצחק,ירושלים,ירושלים,31.792098,35.210971,10,0.000328,7,3,4.558e-05,0.00091595,3539.8039,21.641527554354603
50042,צומת נאעורה/כביש 716,צפון,פריפריה,32.61728,35.398769,3,9.8e-05,1,2,1.875e-05,0.00091414,2387.177,127.33279776045369
20372,בית ספר מאר אליאס,צפון,חיפה,32.818811,35.192301,7,0.00023,1,6,4.072e-05,0.00091286,2808.0466,100.61278365948853
23642,מזכרת בתיה/כניסה מזרחית,מרכז,תל אביב,31.846297,34.838447,6,0.000197,4,2,5.364e-05,0.00091139,3344.1663,172.47321245337181
19798,תל חי/רש''י,צפון,פריפריה,33.219877,35.572785,7,0.00023,4,3,4.529e-05,0.00091108,2074.3518,165.590221757974
27817,צומת מחנה שדה תימן,דרום,באר שבע,31.296162,34.713571,7,0.00023,3,4,7.59e-05,0.00091093,2990.1681,147.03351873000835
15351,עמק האלה/דרך שיבא,מרכז,תל אביב,32.050546,34.843001,8,0.000263,5,3,4.361e-05,0.0009109,3741.4109,69.9765112115461
26631,כלא נפחא,דרום,פריפריה,30.725752,34.774853,4,0.000131,2,2,4.678e-05,0.00090953,2914.9602,190.90615939967677
