station_id,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
7926,21622,21623,3,21605,0.9991675530684919,32,0,6644.46875,0.3073013019147166,2412.3315939678173,15,0.0006937057762567145,5.347562667651351e-05,-0.11758036230821745,שדרות לוז/מבצע שלמה,60679,4,646,4.942406501135368e-05,0.06307246584472218,True
41291,21622,21623,5,21613,0.9995375294824955,32,0,6644.5,0.3073027472019241,2412.4300550537105,7,0.0003237293622531112,5.203033946904467e-05,-0.019119276415040076,אחיהוד,17116,9,544,4.310995052761753e-05,0.0005146412523658285,True
5238,21622,21623,3,21618,0.9997687647412478,32,0,6644.53125,0.3073041924891316,2412.8269401323023,2,9.249410350087306e-05,5.0585052261520325e-05,0.377765802176782,דוד אלעזר/לח''י,58009,12,3920,0.0001542541354350254,0.003767289617037497,True
13269,21622,21623,2,21619,0.9998150117929981,32,0,6644.5625,0.307305637776339,2412.414904732364,1,4.624705175049204e-05,4.9139765054107e-05,-0.034269597761522164,מסוף כרמלית/הורדה,26956,17,18927,0.00018067280513229164,0.044597423133387104,False
13322,21622,21623,2,21619,0.9998150117929981,32,0,6644.625,0.3073085283507539,2412.545117415895,1,4.624705175049204e-05,4.6249190639224835e-05,0.09594308576970434,המסגר/הרכב,23017,20,24602,0.00016342054118264877,0.010026830692161197,False
27498,21622,21623,3,21618,0.9997687647412478,32,0,6644.65625,0.30730997363796136,2412.371497259334,2,9.249410350087306e-05,4.4803903431756e-05,-0.0776770707916512,שד. מלכי ישראל/שד. צה''ל,15180,16,5456,0.00015986021585126384,0.0003585141308615884,True
48531,21622,21623,3,21618,0.9997687647412478,32,0,6644.6875,0.3073114189251688,2412.4460070471546,2,9.249410350087306e-05,4.335861622434267e-05,-0.003167282970935048,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,20801,14,16648,0.0001345213384586492,0.005077022691878623,True
7604,21622,21623,3,21618,0.9997687647412478,32,0,6644.71875,0.30731286421237625,2412.451074395566,2,9.249410350087306e-05,4.1913329016873835e-05,0.0019000654406227113,צומת חטיבה שבע,60337,10,2209,4.431037276669195e-05,0.00026310311216455276,True
16909,21622,21623,2,21619,0.9998150117929981,32,0,6644.71875,0.3073128642123764,2412.9143428101643,1,4.624705175049204e-05,4.19133290167073e-05,0.46516848003875566,שוק עירוני/שדרות הרצל,34040,13,6438,0.00022345051268836665,0.004735856018961949,False
2358,21622,21623,2,21619,0.9998150117929981,32,0,6644.75,0.3073143094995838,2412.493368761099,1,4.624705175049204e-05,4.0468041809293975e-05,0.04419443097367548,דרך עכו/המייסדים,42667,17,17212,0.0003166278107687629,0.004845723252613081,False
