stop_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
23956,0.3398586,-1.1856546,-0.25917745,0.13015868,-0.3617789,-0.8905691,0.27105927,-0.52473104,-0.24654959,-0.2414798,0.9223946,-0.30995855,-0.4310506,-1.0533923,-0.30707392,-0.6762495,-0.5738318,0.04080216,-0.4579609,0.6188588,0.13096505,0.39588094,0.23700385,-0.7728945,-0.26787636,-0.014462913,-1.1163113,0.6352786,-0.23018155,-0.1341599,-0.44673055,0.42198607,-0.2696943,-0.5330637,0.071153365,0.30570555,-0.10018631,-0.27720556,-0.00022626795,-0.30704898,0.7401347,0.35483593,-0.79629815,0.112150215,-0.2108978,-0.35731232,0.46430346,0.12293985,0.07666666,-0.10619214,0.7455167,0.04850545,-0.09160064,0.10114792,0.10126406,0.27016228,-0.4328976,-0.3535243,-0.4179879,0.037184034,-0.46872935,0.70440966,-0.019790625,-0.23909089
22086,-0.7112046,-0.10744205,0.7026021,-0.14647916,0.55637217,0.5109895,0.47703984,-0.31389347,-0.08688578,-0.17341612,0.4770392,-0.5992282,-0.13213015,-0.34367904,-0.57215184,-0.4612823,-0.81651455,0.23919603,-0.32441983,0.9049577,-0.14574295,0.43297428,0.09702539,-1.4444895,-0.012573459,-0.03526863,-0.2766497,-0.5123604,0.31164682,-0.07642199,0.58218914,0.8632282,-1.1309463,0.8874829,0.6059751,0.40254787,0.026083494,0.10503469,0.03959034,0.35787493,0.21868297,0.41946286,-0.27337736,0.12295291,0.4959382,0.15545365,0.31910124,-0.3710442,-0.14637263,1.1222717,0.4155222,0.069540694,0.09040383,0.54523027,0.052335694,-0.3792158,0.6606903,-0.27402592,-0.6256685,0.04979499,-0.86869687,0.059055142,0.32352737,-0.5854529
43294,0.63143724,0.3917296,1.1892378,0.55406356,-0.08073389,-0.6649283,0.21675749,-0.03569133,-0.5052672,0.025381966,0.61866295,-0.4138396,0.16715324,-0.16603474,0.21603857,-0.27371448,-0.86031646,-0.22487234,0.16630188,0.5241769,-0.87196875,0.1763499,-0.48031414,-0.9011876,-0.33830073,0.3099425,-0.04160425,0.22939573,-0.059040952,0.35466924,0.0021205817,0.42675698,-0.62008697,-0.43934873,0.36445084,-0.24599992,-0.13898298,-0.009457187,0.14154758,0.18516807,0.38057214,-0.46964073,-0.3992569,0.26181066,0.6690292,-0.51469135,0.018139653,0.15124439,0.08134227,0.43778852,0.23760825,0.31049815,0.37179616,0.09733724,-0.2673136,-0.5338673,-1.0053357,-0.9687095,-0.30305013,0.21673614,-0.7314722,0.729721,-0.7641497,-0.09222134
15365,0.5838794,0.0953945,0.44453788,0.16173731,0.57873285,-0.5083482,-0.78699297,0.5125346,-0.038056646,0.14163469,0.21866424,-0.3252357,0.25571224,-0.5599035,0.19106759,-0.26685247,-0.56716377,-0.3923878,0.2969574,0.29574248,0.86110216,0.65995085,0.4669141,-1.0084038,0.409475,0.24709499,-0.56049025,-0.053141817,0.33107984,0.46592128,-0.08823074,0.40636516,-0.5617231,-0.023465155,0.4241243,0.22344002,-0.012188201,0.055791307,0.76600415,0.43577957,-0.13147102,-0.21708745,-0.6611138,0.5467709,0.63217115,0.047337923,0.46700677,-0.072455175,-0.33159512,-0.33615473,0.52224344,-0.18280593,0.14134453,0.194844,-0.33553752,-0.4439798,-0.28551787,0.07536752,0.23443964,-0.15874362,0.16965543,-0.10644447,-0.061701484,-0.05569135
13968,0.4841632,0.54067874,-0.13578948,-0.32439914,-0.8201879,-0.88045645,0.14834286,0.2515561,-0.05711225,-0.037014917,1.086865,0.4614185,0.6929269,0.041302893,0.044922404,-0.6408631,-0.87402546,-0.34689686,0.49326912,0.18986246,0.6531361,0.30037206,0.0659821,-0.86804026,-0.043865267,0.5820168,-0.16197734,-0.24452808,-0.06944934,-0.21982534,0.14640771,0.04631152,-0.4878279,0.18984814,0.9476101,0.2848873,-0.27215314,0.038176678,0.17634556,0.4756491,0.06909504,0.22069329,-0.24263692,-0.32349283,0.52187824,-0.6959214,-0.23276545,-0.3018802,-0.5033803,0.3371655,0.831453,0.10648753,0.63174874,0.03491419,0.004513935,-0.24079803,0.05873067,-0.29135877,-0.13216335,0.07021792,-0.40700006,0.6574878,0.56042194,0.20759735
21433,0.15497854,-0.27049255,-0.056741383,0.00428976,0.11099488,-0.013299109,-0.23223595,-0.072500765,-0.098702244,-0.5405964,1.2265304,0.34875792,-0.40001842,-0.48308745,-0.9535627,-0.6341325,-0.26142564,0.13865498,-0.33332682,0.6574316,0.10814463,-0.12230801,-0.37502408,-0.33745438,0.2275585,0.69225335,-0.17056437,0.49104598,-0.20849617,0.29310462,0.44124115,0.6931424,-0.28701293,-0.35307539,0.057228446,0.5276637,-0.4575655,-0.1703691,-0.2594976,0.5783572,0.89640534,-0.39423636,-0.23103088,0.05198107,0.72815585,-0.06562102,0.39059672,-0.2607731,-0.37131453,0.80093896,0.9721174,-0.775792,0.17855057,0.13063411,0.42238727,0.20723975,-0.58479726,-0.67562175,0.4537504,0.16060843,-0.4490213,-0.093949266,-0.12833953,-0.07104852
13234,0.2907556,0.09532212,0.66506594,0.44626117,-0.30708453,-0.2672404,0.03192479,0.10738025,-0.17980148,-0.17511705,-0.041302316,0.17299421,-0.21529794,-0.74626666,0.38984162,-0.46040177,-0.8448455,0.54626113,0.22374135,0.58062845,0.6503113,0.27065775,0.120230764,-0.21298891,-0.053966165,0.2109558,-0.13004799,-0.091010824,0.23285429,0.05619781,0.05743054,0.70359105,-0.6409233,0.50211936,0.25090262,-0.394264,-0.866325,-0.07057131,0.4914451,0.12547372,0.5450232,0.41549316,0.072765596,-0.36286047,0.21277106,0.42124268,0.10076001,-0.18607974,0.13695379,-0.44937763,0.8465323,-0.20935704,0.24366029,0.87110966,-0.028537882,-0.22294669,0.5320115,-0.66061956,0.43421635,0.17526183,-0.4113552,0.12136849,0.07509392,-0.38565573
40690,0.3029125,0.31623322,0.85192174,0.33279774,-0.9010091,-0.06725581,0.37178794,-0.82080287,0.12571535,0.42039022,1.1127136,-0.40907302,-0.722486,-1.0768994,0.06245786,-0.20309794,-0.17827164,-0.048122868,0.19158088,0.7376906,0.29178426,0.09853075,0.003743236,-0.9608798,-0.3745915,0.430924,-0.6567805,0.93027854,0.70735747,0.97814375,0.31453308,0.06772299,-0.6489939,-0.011986679,0.25521958,0.48030466,-0.12551226,0.09171773,-0.1069484,0.49660006,0.47312707,0.0516865,-0.06737416,-0.37641495,0.35778704,-0.28528357,0.21651375,-0.7593297,-0.26177326,-0.13579798,1.097966,0.015189107,-0.7599302,0.58509195,-0.17072542,0.53240573,0.4743317,-0.08704843,-0.41808116,-0.6318982,-0.124279864,0.33730203,-0.63793063,-0.18235748
13675,0.20282486,0.009267073,0.2696994,0.8946472,0.25191215,-0.9796056,0.4503593,0.6481767,-0.50173855,0.74436504,1.5272362,-0.19157903,-0.4403419,-0.056381967,-0.008603336,-0.008640326,-0.5943198,0.25977692,0.27079195,0.79109925,0.8708567,0.7541592,-0.041794393,-0.28187996,0.07254524,-0.024635395,-0.28748542,0.238019,-0.24668813,0.15264031,-0.4093949,0.37671062,0.31455153,-0.37014452,-0.26466462,0.43555552,0.5646643,-0.387096,0.13356103,0.26738158,0.06797095,0.2681449,-0.5576534,0.29503804,0.2228288,0.32595566,0.034570325,0.19525924,0.07935369,0.52641034,0.7418018,-0.3011311,0.27569306,0.4782933,0.33345366,-0.057975184,0.2760331,-1.0810068,-0.10126686,0.44960508,-0.42697653,0.21356495,0.22068533,0.076903395
50468,0.100813575,-0.4207322,-0.14521588,0.2269709,0.6450859,-0.37879142,0.31999078,-0.18789725,0.016296942,-0.81614035,0.6719851,0.46228376,0.70925695,-0.18183698,-0.37766835,-0.034811985,-0.5318571,0.44179183,0.77115434,0.45298553,0.73156524,0.13759391,-0.09720204,-0.6341209,-0.18124253,0.051406663,0.10829392,0.28703856,0.56478596,0.33451054,0.23682766,0.4444513,-0.35103932,0.12994666,0.010270334,0.2813531,0.22460517,-0.36800337,0.37084404,-0.15066619,0.6109585,0.2941416,-0.16984184,-0.128434,0.733418,-0.55042624,0.1734129,-0.26904687,-0.4522991,0.056864295,0.5327907,0.36448213,0.6391022,0.7727852,0.07199489,-0.17845295,-0.65450823,0.28007135,-0.0686016,0.106287345,-0.7221086,-0.081734724,-0.34999242,0.09273458
