source_station_id,target_station_id,source_station_name,target_station_name,frequency,mean_travel_seconds,is_bridge,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase
52005,52007,שמעון מישורי,שמעון מישורי/פרופ' יעקב נאמן,487,103.84188911704312,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.239583333333,0.3504411980082016,2398.3379350660402,2,9.249410350087306e-05,2.216107051461469e-05,0.007702629522100324
38450,35894,ברטעה,ברטעה/כניסה,419,34.53937947494033,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.25,0.35044167977060403,2398.3272474933697,1,4.624705175049204e-05,2.167930811219909e-05,-0.0029849431484763045
15295,15294,ארבע עונות/נירים,נירים/צמרות,451,58.0,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.25,0.3504416797706041,2398.3277022063235,1,4.624705175049204e-05,2.167930811214358e-05,-0.0025302301946794614
47448,47404,אריאל שרון,אריאל שרון/אריק איינשטיין,767,60.95045632333768,True,21623,21623,3,21617,0.9997225176894973,96,0,7577.260416666667,0.3504421615330066,2398.317411386462,3,0.0001387411552513651,2.119754570961696e-05,-0.01282105005611811
51759,50272,קופות חולים/איילת השחר,בתי כנסת/איילת השחר,1757,34.75867956744451,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.260416666667,0.3504421615330066,2398.328982208446,1,4.624705175049204e-05,2.119754570961696e-05,-0.0012502280719672854
42815,44524,גילה/מוריה,מחנה בית ליד,600,112.31,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.270833333333,0.35044264329540903,2398.328248624465,1,4.624705175049204e-05,2.0715783307201363e-05,-0.0019838120533677284
48554,48877,קרית אריה,גשר אם המושבות,1193,192.05699916177704,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.270833333333,0.3504426432954091,2398.327748373829,1,4.624705175049204e-05,2.0715783307145852e-05,-0.0024840626892910223
7495,7496,משך חכמה ו,משך חוכמה ז,1035,53.28115942028985,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.270833333333,0.3504426432954091,2398.330938039659,1,4.624705175049204e-05,2.0715783307145852e-05,0.0007056031408865238
27498,42868,שד. מלכי ישראל/שד. צה''ל,כיכר המעפיל,864,83.2800925925926,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.270833333333,0.3504426432954091,2398.299097642191,1,4.624705175049204e-05,2.0715783307145852e-05,-0.0311347943270448
21697,21343,בית חולים שמואל הרופא,הבנים/נצר סירני,1347,116.73199703043801,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.28125,0.35044312505781156,2398.3242985975025,1,4.624705175049204e-05,2.0234020904674743e-05,-0.0059338390155971865
41810,44080,חיים הרצוג/נתן אלתרמן,חבקוק/שדרות בן גוריון,422,50.55924170616114,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.28125,0.35044312505781156,2398.322964918417,1,4.624705175049204e-05,2.0234020904674743e-05,-0.0072675181013437395
41537,41539,האילן/החרוב,האילן/התדהר,421,53.62945368171022,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.291666666667,0.35044360682021397,2398.322997252581,1,4.624705175049204e-05,1.9752258502259146e-05,-0.007235183937154943
35904,35891,עין אלסהלה/ביה''ס,אל עריאן/מסגד,332,113.2078313253012,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.302083333333,0.3504440885826165,2398.320638149196,1,4.624705175049204e-05,1.9270496099732526e-05,-0.009594287322215678
9969,44493,מסוף גילה/המרגלית,אבנר חי שאקי ב,366,222.0,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.302083333333,0.35044408858261655,2398.3438833083505,2,9.249410350087306e-05,1.9270496099677015e-05,0.01365087183239666
7221,18348,בריכה,אזור תעשיה צפת א,352,71.81818181818181,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.302083333333,0.35044408858261655,2398.3283348945483,2,9.249410350087306e-05,1.9270496099677015e-05,-0.0018975419698108453
1833,3531,ההסתדרות/דרך הטכניון,ציון/העמק,668,60.884730538922156,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.3125,0.35044457034501897,2398.336396261638,1,4.624705175049204e-05,1.8788733697261417e-05,0.006163825119983812
48302,48303,קרית ספורט/דרך עראבייה,דרך עראבייה,368,128.25,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.3125,0.35044457034501897,2398.323023954143,1,4.624705175049204e-05,1.8788733697261417e-05,-0.007208482375062886
35571,41075,חוואלד ג,מסגד חוואלד,332,85.54518072289157,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.3125,0.35044457034501897,2398.3228628982633,1,4.624705175049204e-05,1.8788733697261417e-05,-0.0073695382548066846
2096,3311,לייב שמעוני/נחמיאס יוסף,בית אבות ספרדי/גדליהו,2208,48.70018115942029,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742144,2398.330165334591,1,4.624705175049204e-05,1.830697129479031e-05,-6.710192701575579e-05
17452,16987,הארי השואג/נתן שפריצר,נתן שפריצר/הארי השואג,707,60.00990099009901,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742144,2398.3242112580215,1,4.624705175049204e-05,1.830697129479031e-05,-0.006021178496666835
44681,44695,חונים נוסעים ראשון לציון/דרך ההצלחה,יוסף טומי לפיד/דרך ההצלחה,945,53.80952380952381,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742155,2398.325632386592,1,4.624705175049204e-05,1.8306971294679286e-05,-0.004600049926011707
41171,43705,ישעיהו הנביא/שמואל הנביא,שמואל הנביא,656,98.60213414634147,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742155,2398.3290506683966,1,4.624705175049204e-05,1.8306971294679286e-05,-0.0011817681215688935
42497,42496,שדרות אריק שרון/שדרות קרן הידידות,שדרות אריק שרון,591,102.06598984771574,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742155,2398.3071099418535,1,4.624705175049204e-05,1.8306971294679286e-05,-0.023122494664676196
11169,11162,נווה אילן ב,מלון נווה אילן,347,151.87319884726224,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.322916666667,0.35044505210742155,2398.334879253278,1,4.624705175049204e-05,1.8306971294679286e-05,0.004646816759759531
3695,3788,זינגר/הזז,הכשרת הישוב/זינגר,398,83.32412060301507,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.333333333333,0.35044553386982397,2398.327070229711,1,4.624705175049204e-05,1.782520889226369e-05,-0.003162206807246548
41714,35362,התעשייה,שדרות שאול עמור/התעשייה,370,152.22702702702702,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.333333333333,0.35044553386982397,2398.330137822066,1,4.624705175049204e-05,1.782520889226369e-05,-9.461445233682753e-05
10082,11648,הר תמיר/גבעת שאול,הר המנוחות/גבעת שאול,1120,88.33482142857143,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.333333333333,0.350445533869824,2398.333775270748,1,4.624705175049204e-05,1.7825208892208178e-05,0.003542834229847358
11801,11802,שחראי/חקלאי,מלון רימונים/שחראי,433,90.44341801385681,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.333333333333,0.350445533869824,2398.3308866178972,1,4.624705175049204e-05,1.7825208892208178e-05,0.000654181379104557
38883,8077,דרך נחל פרת/דרך החיים,דרך נחל פרת/נחל ערוגות,338,37.66863905325444,True,21623,21623,3,21618,0.9997687647412478,96,0,7577.354166666667,0.350446497394629,2398.325282022573,2,9.249410350087306e-05,1.686168408721045e-05,-0.004950413945152832
11554,10437,מכללה להנדסה ירושלים,משה קול/שרייבוים,1915,141.8715404699739,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.354166666667,0.350446497394629,2398.3242907625404,1,4.624705175049204e-05,1.686168408721045e-05,-0.00594167397775891
41141,41146,עוזייר שכונה דרומית 3,עוזייר שכונה דרומית 2,488,57.47540983606557,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.364583333333,0.35044697915703144,2398.3199803542484,1,4.624705175049204e-05,1.637992168479485e-05,-0.010252082269744278
39139,11748,הזיכרון/שדרות הרצל,יד ושם,544,147.86029411764707,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.364583333333,0.3504469791570315,2398.3240594904946,1,4.624705175049204e-05,1.637992168473934e-05,-0.006172946023525583
50858,42618,הכינור,התן/השופר,613,125.77650897226754,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.375,0.35044746091943396,2398.3212749256377,1,4.624705175049204e-05,1.589815928226823e-05,-0.008957510880463815
188,50382,החוף הירוק,תחנה תפעולית מסוף החוף הירוק,611,39.0671031096563,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.375,0.35044746091943396,2398.331350242981,1,4.624705175049204e-05,1.589815928226823e-05,0.0011178064628438733
37608,37607,חניון אגד/הנפח,הנפח/מעלה כמון,2074,142.52266152362586,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.385416666667,0.3504479426818364,2398.3259086525063,1,4.624705175049204e-05,1.5416396879852634e-05,-0.004323784011830867
38035,50901,שלום הגליל/טניס,הפארק האתגרי,957,53.10344827586207,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.385416666667,0.3504479426818364,2398.342458359593,1,4.624705175049204e-05,1.5416396879852634e-05,0.012225923074765888
6967,6966,מכון המים,אלמקאזח,326,45.969325153374236,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.385416666667,0.3504479426818364,2398.3273835714112,1,4.624705175049204e-05,1.5416396879852634e-05,-0.0028488651068983017
3876,3414,חזן א,ברלב/חזן,420,40.5,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.395833333333,0.3504484244442389,2398.3351023019995,1,4.624705175049204e-05,1.4934634477326014e-05,0.004869865481396118
10288,10296,מסוף פסגת זאב/יוספטל,מרידור א,2206,51.31504986400725,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.395833333333,0.35044842444423896,2398.3282483857533,1,4.624705175049204e-05,1.4934634477270503e-05,-0.001984050764804124
7353,7354,מעזריטש/הר''ן,מעזריטש/חיי יצחק,6246,34.80067243035543,False,21623,21623,2,21620,0.9998612588447486,96,0,7577.395833333333,0.350448424444239,2398.3201430793088,0,0.0,1.4934634477214992e-05,-0.010089357209380978
395,25438,הגפן/השקד,בית גיל הזהב/השקד,721,109.59361997226075,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.40625,0.35044890620664143,2398.3243770325785,1,4.624705175049204e-05,1.4452872074799394e-05,-0.005855403939676762
34313,34311,הרב שלום שבזי/אזור תעשייה ערבה,חושן משפט/אזור תעשייה ערבה,488,73.0,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.427083333333,0.35044986973144643,2398.333770256513,1,4.624705175049204e-05,1.3489347269801666e-05,0.003537819995017344
34719,34720,מגיני הגוש/כ''ח באייר,מגיני הגוש/השיירות,632,84.69145569620254,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.4375,0.3504503514938489,2398.3327494669925,1,4.624705175049204e-05,1.3007584867330557e-05,0.0025170304743369343
9569,9570,בית ספר פולינסקי/ד''ר רינגלבלום,רינגלבלום ב',621,71.47665056360708,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.4375,0.3504503514938489,2398.333753821734,1,4.624705175049204e-05,1.3007584867330557e-05,0.003521385215663031
10690,11505,אביגור/ליפצין,אביגור,450,105.08444444444444,True,21623,21623,3,21619,0.9998150117929981,96,0,7577.4375,0.3504503514938489,2398.335714125303,1,4.624705175049204e-05,1.3007584867330557e-05,0.005481688785039296
2205,1469,צומת קרית חיים,משטרת קרית חיים/ההסתדרות,6425,42.009649805447474,False,21623,21623,2,21620,0.9998612588447486,96,0,7577.458333333333,0.35045131501865384,2398.3521004717427,0,0.0,1.204406006238834e-05,0.021868035224542837
