stop_id,stop_name,lat,lon,region,metro,degree,weighted_degree,approx_betweenness
34581,'איתמר א,32.175204,35.308726,Center,Periphery,6,302,0.0004988217065093949
41810,חיים הרצוג/נתן אלתרמן,32.081286,34.980857,Center,Tel Aviv,6,1832,6.360993874397395e-05
3367,סחרוב,32.790898,34.958675,North,Haifa,6,10076,5.934726359569678e-05
35529,כפר הנשיא,32.974481,35.60356,North,Periphery,6,194,0.0005879489126488748
8070,פני קדם,31.589904,35.195049,Center,Jerusalem,6,278,6.607880822624003e-05
15604,החרושת/מעלה המגדל,32.021376,34.863737,Center,Tel Aviv,6,1614,6.882385256355913e-05
11962,גילת/בטחה,31.332982,34.643427,South,Beer Sheva,6,1122,0.0005699250365396683
15860,רוז'נסקי/משה לוי,31.986113,34.772754,Center,Tel Aviv,6,3897,7.450007862998456e-05
35772,רפא''ל,32.860432,35.0872,North,Haifa,6,2790,0.0005519970792995376
35356,שער הגלבוע/אתר הסקי,32.552202,35.333503,North,Periphery,6,362,0.0012902144261776837
153,יהודה שטיין/קרן היסוד,31.926545,34.855866,Center,Tel Aviv,6,807,8.241880286173224e-05
39097,ביה''ס ראשונים,32.277594,34.894311,Center,Tel Aviv,6,60,5.8985727127418354e-05
5623,צומת צפת דרום/אזור התעשיה,32.96144,35.488363,North,Periphery,6,558,8.805849418082624e-05
50065,תרמ''ג/דרך יצחק רבין,31.923357,34.79499,Center,Tel Aviv,6,1112,0.0007740981963675245
7360,מתנ''ס עירוני/רבי נחמן מברסלב,31.69608,35.117525,Center,Jerusalem,6,4726,0.0004424887991266719
10238,שדרות משה דיין/שדרות נווה יעקב,31.836708,35.233878,Jerusalem,Jerusalem,6,3982,9.60132741227261e-05
49772,מנחם בגין/דרך ארץ,31.678681,34.595365,Center,Periphery,6,1092,0.0006412867335075628
18429,מרכז מסחרי/שדרות מעלה יצחק,32.716644,35.337651,North,Periphery,6,4918,5.2627706277300265e-05
11865,ירמיהו/הצבי,31.790679,35.202098,Jerusalem,Jerusalem,6,2351,3.7231130130476574e-05
21186,מרכז מסחרי/שדרות מעלה יצחק,32.718034,35.337673,North,Periphery,6,4770,3.5495915071691054e-05
3549,מחלף עתלית,32.710025,34.950357,North,Haifa,6,704,0.0021914510126064156
7935,טורקיז/ענבר,31.962056,35.065781,Center,Periphery,6,280,0.0011184447252727716
42807,מחלף העמקים/אלרואי,32.7235,35.101536,North,Haifa,6,2754,0.002335072145122676
43699,אליהו הנביא/שדרות נהר הירקון,31.70661,35.000262,Jerusalem,Periphery,6,3500,0.0023442354660073586
35195,מסגד אל רחמה,31.387257,34.758249,South,Beer Sheva,5,362,0.00016510915813885922
28734,מועצה מקומית,31.199631,34.838426,South,Beer Sheva,5,228,0.0001629582975596888
25353,תחנת רכבת קוממיות,32.001109,34.760742,Center,Tel Aviv,5,3946,0.00016041418349483703
20680,צומת כפר יהושע,32.682793,35.121891,North,Haifa,5,858,0.00016321803736786411
2753,מרכז דאליית אל כרמל,32.693534,35.046956,North,Haifa,5,1946,0.000163302302167665
41913,עמק חפר/עין שוקק,31.647569,34.567825,Center,Periphery,5,74,3.359190250966048e-05
7344,קדושת לוי/הר''ן,31.706087,35.118011,Jerusalem,Jerusalem,5,4578,0.0001672159671682375
19277,שעב/כביש ראשי,32.891716,35.235377,North,Periphery,5,66,0.003949286824194643
49372,דבורה הנביאה/ראול ולנברג,32.114229,34.841026,Center,Tel Aviv,5,5880,6.031527558159174e-05
39840,טבעת דרומית,32.257872,35.004816,Center,Tel Aviv,5,582,0.003914073831195998
44055,שדרות דרך ארץ/שדרות ההגשמה,32.458515,35.05648,Center,Periphery,5,432,6.0458108196784055e-05
17046,גן ציבורי/הגפן,32.748731,35.099494,North,Haifa,5,646,0.00018223117793459125
15836,מסעף צפריה,32.013734,34.846019,Center,Tel Aviv,5,614,0.00019544648129529097
28799,משה סנה/מנחם בגין,31.778962,34.663846,Center,Periphery,5,962,0.00020490115446062345
24706,מכבים/בזלת,31.990975,34.947277,Center,Tel Aviv,5,62,5.6441799214179385e-05
16867,מחנה תל נוף,31.822281,34.8195,Center,Tel Aviv,5,35,0.00013412725898808632
43324,בר כוכבא/ת.מרכזית פתח תקווה,32.095071,34.885777,Center,Tel Aviv,5,744,5.3188254925341524e-05
7392,קדושת לוי/שלום רב,31.705942,35.118101,Jerusalem,Jerusalem,5,4778,0.00014926868652733035
12289,מסעף קבוץ עין גדי,31.447822,35.389684,South,Periphery,5,296,3.407597904123392e-05
34238,מוזיאון המדע/שד' המוזיאונים,31.777826,35.200204,Jerusalem,Jerusalem,5,3166,3.47391746293861e-05
39784,גני טל/כיכר,31.413891,34.570046,South,Periphery,5,1254,9.9062962499706e-05
18210,חיילים משוחררים ג,33.016006,35.33616,North,Periphery,5,128,0.00011496130069162383
17225,מרכז רפואי שהם/דרך הנדיב,32.48604,34.9704,Center,Periphery,5,1834,0.00011671519924430456
21512,בן גוריון/כצנלסון,31.966323,34.789799,Center,Tel Aviv,5,898,9.28666201114375e-05
25059,איקאה/היוזמה,31.951151,34.770731,Center,Tel Aviv,5,568,0.00011825962088278409
