from_stop,to_stop,from_name,to_name,trip_frequency
17505,48045,שדרות ההסתדרות/צומת הקריות,ת. מרכזית המפרץ/רציפים בינעירוני,290
41133,36204,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,285
43629,50863,התן/הלביא,השופר/התן,284
50863,50866,השופר/התן,הכינור,284
11865,36335,ירמיהו/הצבי,ת. מרכזית ירושלים קומה 3/רציפים,284
25938,48118,בן גוריון/נאות אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,283
41133,36243,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,281
43374,48945,המשנה,רכבת/מסוף ביג - רציפים,280
41133,36484,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,273
13239,51814,ביה''ח איכילוב/ויצמן,חנה וסע שפיים/הורדה שאטלים,272
2356,47898,קניון לב המפרץ/ההסתדרות,ת. מרכזית המפרץ/רציפים בינעירוני,272
13219,51815,שד' רוקח/בכור שטרית,חנה וסע שפיים/הורדה שאטלים,272
29325,51917,זיסמן/דרך בגין,חנה וסע שפיים/הורדה שאטלים,272
49329,51816,הרכבת/ראש פינה,חנה וסע שפיים/הורדה שאטלים,272
13328,51964,לה גווארדייה/המעפילים,חנה וסע שפיים/הורדה שאטלים,272
49031,46320,שדרות ששת הימים/שדרות הבאבא סאלי,שדרות ששת הימים/חיים לבב,271
41133,36451,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,270
41133,36144,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,267
23491,40031,רבי יהודה הנשיא/רבי שמעון בן שטח,מסוף/רבי יהודה הנשיא,264
13321,41666,המסגר/לה גווארדייה,ת.מרכזית תל אביב קומה 7/רציפים,263
39642,48348,קיבוץ גלויות/הרצל,אפיקים בנגב/הכשרת היישוב,259
5754,6079,ראס אל חביה 2,שכונת ראס אלח'אביה/כביש 807,258
42785,47880,הרצל/משה הס,ת. מרכזית נתניה/רציפים,257
25059,51920,איקאה/היוזמה,תחנה תפעולית/חניון מעוין שורק,256
50768,25709,ת.מרכזית/עירוניים לדרום,שוק עירוני/בית אשל,254
19486,47877,תל חי/סיני,ת. מרכזית ק''ש/רציפים,254
10238,38838,שדרות משה דיין/שדרות נווה יעקב,שדרות נווה יעקב/משה סנה,251
51759,51760,צומת איילת השחר,קרית חינוך/איילת השחר,251
17225,51638,מרכז רפואי שהם/דרך הנדיב,מתחם ביג/תדהר,251
51758,51760,תחנת שיטור/איילת השחר,קרית חינוך/איילת השחר,251
11292,9052,שפע חיים/דורש טוב,מסוף הר חוצבים/המרפא,250
44001,50724,קניון הנגב/יצחק בן צבי,ת.מרכזית/עירוניים לדרום,248
52004,52010,הרב אברהם זקן/יצחק ארנסט נבנצל,פרופ' יעקב נאמן/הרב אברהם זקן,247
52005,52014,שמעון מישורי,שמעון מישורי/גרשון אבנר,247
52013,52005,שמעון מישורי/פרופ' יעקב נאמן,שמעון מישורי,247
52010,52013,פרופ' יעקב נאמן/הרב אברהם זקן,שמעון מישורי/פרופ' יעקב נאמן,247
11441,52006,אשר וינר/דרך חברון,יצחק ארנסט נבנצל/אשר וינר,247
52006,52004,יצחק ארנסט נבנצל/אשר וינר,הרב אברהם זקן/יצחק ארנסט נבנצל,247
34312,34314,חושן משפט/אזור תעשייה ערבה,הרב שלום שבזי/אזור תעשייה ערבה,244
7401,34314,חזון איש/ חתם סופר,הרב שלום שבזי/אזור תעשייה ערבה,244
