from_stop,to_stop,from_name,to_name,trip_frequency
39703,6513,המחצבה/תחילת המגרשים,בית ספר א,130
13339,48995,עזרא/דמשק אליעזר,מסוף אלוף שדה,130
6513,6514,בית ספר א,רחוב 6/רחוב 1,130
6514,6518,רחוב 6/רחוב 1,נחף מסגד,130
6517,18864,נחף מרכז,מועצה מקומית,130
39706,39704,גנים מזרח 1,מסגד אלרחמן 1,130
39708,39706,פארק 1,גנים מזרח 1,130
27928,29308,מחנה צאלים,בא''פ/מל''י,128
750,50693,צומת רכבת ראש העין צפון,תחנת רכבת ראש העין צפון/רציפים,128
19645,41139,מרפאת שיניים,עוזייר שכונה צפונית,128
41141,40319,עוזייר שכונה דרומית 3,מועצה אזורית,128
40319,19645,מועצה אזורית,מרפאת שיניים,128
41682,41681,בי''ס אל-קסטל,בלאל/כאוכב א-שמאלי,126
41683,41682,שכונת בלאל,בי''ס אל-קסטל,126
41133,36360,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,124
23259,43301,בר כוכבא/ליברכט,מסוף משה ארנס/רציפים,124
24237,42509,מרכז מסחרי מול הפארק/דרך ירושלים,ת. רכבת רעננה מערב/איסוף,123
20437,46932,מרכז מסחרי/שפירא,דוכיפת/מעלה הכרמים,123
19697,6943,כיכר מרכז האזרחי,גני ילדים מרכז,123
19727,6988,תיכון,דרך יצחק רבין / אל ג'בל,123
6943,19727,גני ילדים מרכז,תיכון,123
46932,50910,דוכיפת/מעלה הכרמים,חוף הלגונה/כנרית,123
20848,46701,חיים משה שפירא/דוכיפת,דוכיפת/מעלה הכרמים,122
50912,46701,חוף הלגונה/כנרית,דוכיפת/מעלה הכרמים,122
44055,44057,שדרות דרך ארץ/שדרות ההגשמה,שדרות דרך ארץ/התחדשות,121
