from_stop,to_stop,trip_frequency
12243,43711,7
28310,28209,588
28310,44092,761
28310,28292,11
28209,28292,922
28292,28307,599
28292,12081,3
28292,29053,327
28307,12080,97
28307,28294,491
28307,12293,11
12080,28294,97
28294,12310,355
28294,28296,67
28294,28295,112
28294,27918,86
28294,29243,77
28294,43571,10
28294,27805,40
28294,28865,4
28294,9046,4
12310,12126,355
12126,29190,211
12126,28744,144
29190,12128,233
12128,28728,59
12128,28744,121
12128,50390,53
28728,38984,59
28728,49379,96
28728,26787,21
28728,28765,31
38984,37221,59
38984,35608,7
37221,35608,59
37221,26769,22
37221,35609,59
37221,27918,18
35608,39227,59
35608,44594,7
39227,28217,131
28217,28563,313
28217,26787,61
28563,26782,313
26782,26787,297
26782,26792,72
26787,12247,343
26787,28198,436
26787,48204,21
12247,28198,59
12247,28273,86
12247,26817,167
12247,47844,82
12247,48112,3
28198,26803,632
26803,26904,495
26803,26797,137
26904,12736,495
26904,26798,168
12736,26810,62
12736,12771,757
26810,26815,61
26810,26817,403
26810,28567,149
26810,26826,36
26815,26827,198
26815,28201,86
26815,28566,1
26827,43140,148
26827,26926,136
43140,12386,497
43140,26929,86
43140,26836,1
12386,26841,495
12386,26838,167
12386,26940,2
12386,26938,2
12386,26842,1
26841,26844,658
26841,35958,2
15295,15294,451
15294,15290,922
15290,15289,922
15289,15349,451
15289,15380,471
15349,15350,538
15350,15292,451
15350,15370,87
15292,15297,1044
15297,15300,1044
15300,47829,94
15300,15294,471
15300,15380,471
15300,48133,8
47829,38143,231
47829,21629,269
47829,15372,162
47829,22072,6
38143,22072,588
38143,49171,337
38143,15306,99
38143,48133,122
38143,6,21
22072,22073,996
22073,22074,996
22074,22089,699
22074,22075,769
22074,33876,134
22089,15271,458
22089,15269,329
15271,15275,868
15275,15360,868
15360,22076,706
15360,23121,281
22076,22078,1909
22078,15255,1813
22078,15287,93
22078,16891,3
15255,16891,1279
15255,42981,601
15255,51805,160
15255,22080,2
16891,22079,1279
16891,22080,3
22079,16892,1318
22079,48758,101
16892,22080,865
16892,21394,453
22080,21591,304
22080,22081,142
22080,21404,757
22080,23114,119
22080,23897,3
22080,175,6
21591,21469,620
21591,21470,454
21469,21470,592
21469,21771,67
21470,21471,1050
21470,23897,12
21470,21637,13
21470,21472,75
21470,24787,82
21471,21472,970
21471,24787,80
21472,24787,1045
24787,50788,589
24787,25137,73
24787,21594,411
24787,24740,34
24787,24726,20
24787,25006,176
24787,23897,67
24787,21595,33
24787,50126,244
24787,24185,15
50788,21594,589
21594,21473,694
21594,21595,179
21594,16200,173
21594,25137,112
21473,21595,644
21473,25137,50
21595,21474,1736
21595,15563,289
21595,12975,26
21595,21589,20
21595,29342,61
21595,21818,33
21474,15563,1235
21474,21818,210
21474,21588,252
21474,22966,39
15563,15564,2184
15563,24738,51
15563,21475,131
15564,21475,2073
15564,24738,447
15564,21880,77
15564,21987,6
15564,25398,170
21475,24738,1963
21475,24165,219
21475,34085,170
24738,21476,1121
24738,21880,650
24738,12959,832
21476,21880,1121
21880,13170,790
21880,12959,1058
13170,13163,1378
13170,13431,235
13163,44003,898
13163,13427,346
13163,13420,188
13163,13422,1373
44003,29506,750
44003,13423,148
44003,13425,291
29506,13119,1743
13119,44459,428
13119,50502,993
13119,13107,322
44459,13178,428
44459,13519,447
13178,14595,1636
13178,13601,2855
13178,13602,240
24430,24431,241
24430,24418,186
24430,24439,374
24430,24584,128
24430,835,6
24430,24412,19
24431,24438,507
24431,835,147
24431,837,134
24438,24443,107
24438,24482,505
24438,24480,5
24443,24441,640
24441,24436,120
24441,24430,377
24441,826,143
24436,24434,122
24436,757,147
24434,47203,435
24434,24361,68
24434,24411,3
47203,46420,427
47203,24410,8
46420,48862,237
46420,830,125
46420,24407,154
48862,858,1128
48862,24406,263
858,24404,1348
24404,24401,1931
24404,24400,102
24401,24400,1931
24400,24398,1416
24400,1003,143
24400,999,338
24400,16720,46
24400,1013,68
24400,24391,3
24400,24394,19
24398,24395,1189
24398,16720,243
24398,24394,18
24395,24394,754
24395,868,435
24394,24458,386
24394,50938,147
24394,48423,397
24394,48342,321
24394,50576,8
24394,24928,6
24394,42465,135
24394,49653,18
24394,50578,5
24394,50575,113
24394,49655,18
24394,50605,18
24394,14787,3
24458,23769,294
24458,14228,2
24458,14325,23
24458,29407,19
24458,14355,30
23769,14228,153
23769,14355,149
14228,29503,155
29503,29383,158
29503,14161,122
29503,14165,20
29503,14591,6
29503,29521,2
29383,29378,1600
29383,29349,3
29378,29373,950
29378,29349,517
29378,29336,1390
29378,14111,108
29378,12974,10
29373,29349,897
29373,14111,53
29349,29336,1398
29349,29681,22
29336,13358,3570
29336,13259,3
13358,12910,6955
13358,13259,436
13358,13700,160
13358,13136,117
13358,13306,10
13358,29479,46
13358,44660,4
13358,14564,55
13358,13751,101
13358,13730,4
13358,29480,2
12910,13136,4420
12910,12918,404
12910,13734,2042
12910,29480,1078
12910,48920,22
12910,29479,134
12910,13730,308
13136,29479,3650
13136,13730,722
13136,29480,147
13136,13726,375
13136,42858,212
13136,42877,26
29479,29480,3610
29479,13725,64
29479,12890,30
29479,12834,3
29479,13127,6
29479,13060,25
29479,24763,12
29479,29482,56
29479,13319,24
29480,13636,380
29480,51284,1241
29480,13103,1861
29480,50480,1097
29480,51635,369
29480,48415,3
29480,13319,2
13636,13143,1839
13636,12946,1001
13143,12893,2069
13143,13634,578
13143,49930,149
12893,48083,738
12893,48601,770
12893,13129,561
12893,47406,197
48083,13226,110
48083,13575,733
48083,48082,320
48083,13591,24
13226,48438,2182
13226,48363,1530
13226,48640,17
48438,48640,516
48438,49236,1352
48438,13186,903
48438,49210,2851
48438,13092,28
48438,12987,42
48640,51270,425
48640,49236,2999
48640,49329,871
48640,13319,192
48640,49210,358
48640,49226,41
48640,14370,98
48640,13362,344
51270,14595,425
51270,37040,1312
51270,13319,557
51270,29482,228
26371,26370,859
26371,46930,234
26370,36091,859
36091,28605,859
28605,28607,859
28607,26342,859
26342,12031,463
26342,46803,396
12031,25918,463
12031,47160,240
25918,27585,497
25918,25919,967
25918,25975,475
25918,25982,34
27585,48396,710
27585,48013,218
48396,28750,712
28750,26237,422
28750,28850,288
28750,25923,2
26237,26246,422
26246,26244,566
26244,26224,209
26244,26215,357
26224,39628,370
26224,26248,6
26224,26251,2
26224,25925,2
26224,25543,6
26224,25545,6
39628,26218,568
26218,27109,407
26218,12063,161
27109,26215,637
26215,25543,1157
25543,25544,1235
25543,26230,693
25543,26226,6
25544,25545,1928
25544,26236,32
25545,25546,1239
25545,26236,695
25546,26202,428
25546,25547,667
25546,26227,144
26202,26195,209
26202,26200,219
26195,26196,508
26196,25928,345
