stop_id,stop_name,region,status,degree_bus,degree_all_modes,is_articulation_point_bus,is_articulation_point_all_modes
28799,משה סנה/מנחם בגין,Center,both,5,5,True,True
34238,מוזיאון המדע/שד' המוזיאונים,Jerusalem,both,5,5,True,True
35195,מסגד אל רחמה,South,both,5,5,True,True
38161,מחנה ענתות,Jerusalem,both,5,5,True,True
39156,ש.ג בסיס פלמחים,Center,both,5,5,True,True
39624,שדרות מנחם בגין/הגדוד העיברי,Center,both,5,5,True,True
39784,גני טל/כיכר,South,both,5,5,True,True
39840,טבעת דרומית,Center,both,5,5,True,True
41913,עמק חפר/עין שוקק,Center,both,5,5,True,True
42472,קדר,Center,both,5,5,True,True
42908,דרך ארץ/אשל,Center,both,5,5,True,True
43324,בר כוכבא/ת.מרכזית פתח תקווה,Center,both,5,5,True,True
4339,תל חי/הירדן,North,both,5,5,True,True
44055,שדרות דרך ארץ/שדרות ההגשמה,Center,both,5,5,True,True
48974,דרך ארץ/מנחם בגין,Center,both,5,5,True,True
49372,דבורה הנביאה/ראול ולנברג,Center,both,5,5,True,True
50250,אברהם בר/דוד סחרוב,Center,both,5,5,True,True
7221,בריכה,North,both,5,5,True,True
7344,קדושת לוי/הר''ן,Jerusalem,both,5,5,True,True
7392,קדושת לוי/שלום רב,Jerusalem,both,5,5,True,True
10169,גן החיות התנ''כי,Jerusalem,both,4,4,True,True
10532,רב החובל/אדם,Jerusalem,both,4,4,True,True
11079,מחלף הרטוב,Jerusalem,both,4,4,True,True
11147,בית חולים,Jerusalem,both,4,4,True,True
11156,קיבוץ צובה,Jerusalem,both,4,4,True,True
11204,הדקלים/הרימון,Jerusalem,both,4,4,True,True
11205,הדקלים/המעיין,Jerusalem,both,4,4,True,True
11221,קיבוץ מעלה החמישה,Jerusalem,both,4,4,True,True
11441,אשר וינר/דרך חברון,Jerusalem,both,4,4,True,True
11448,מסוף חומת שמואל/אליהו קורן,Jerusalem,both,4,4,True,True
11556,כביש 395/כביש 386,Jerusalem,both,4,4,True,True
11623,שער יפו/יפו,Jerusalem,both,4,4,True,True
1248,דרך העצמאות/הנביאים,North,both,4,4,True,True
12936,קמפוס ברושים/שלום רוזנפלד,Center,both,4,4,True,True
13328,לה גווארדייה/המעפילים,Center,both,4,4,True,True
13734,יהודה המכבי/דרך נמיר,Center,both,4,4,True,True
17047,הרב שמעונוביץ/הרב קוק,North,both,4,4,True,True
17097,כיכר מזרחית,North,both,4,4,True,True
17861,אדמית מרכז,North,both,4,4,True,True
18225,מסעף נבי סבלאן,North,both,4,4,True,True
18580,המעוף/הר וגיא,North,both,4,4,True,True
18970,כפר גלעדי,North,both,4,4,True,True
19202,כנסייה קתולית ב,North,both,4,4,True,True
19221,העיר הוותיקה ג,North,both,4,4,True,True
19573,גני ילדים מרכז,North,both,4,4,True,True
20128,איבטין טחנת קמח,North,both,4,4,True,True
20556,מועצה מקומית,North,both,4,4,True,True
20848,חיים משה שפירא/דוכיפת,North,both,4,4,True,True
20963,כיכר אל-משארף/ספוריה,North,both,4,4,True,True
21343,הבנים/נצר סירני,Center,both,4,4,True,True
23143,ד''ר משה סנה/ברקן,Center,both,4,4,True,True
23676,אופנהיימר/ברגמן,Center,both,4,4,True,True
2412,הגפן/האלונים,North,both,4,4,True,True
2471,איינשטיין/אסף שמחוני,North,both,4,4,True,True
