stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
2091,טרומפלדור/מרכז זיו,182.0,167.0,15.0
2359,דרך עכו/צומת צבר,345.0,168.0,177.0
26179,הכלנית/מבוא האתרוג,300.0,169.0,131.0
8936,דרך חברון/אשר וינר,468.0,170.0,298.0
10400,שדרות הרב הרצוג/שדרות לוי אשכול,1375.0,171.0,1204.0
3265,צומת כפר חסידים/כביש 762,150.0,172.0,-22.0
25948,צומת עד הלום,183.0,173.0,10.0
24035,קניון בת ים/יוספטל,499.0,174.0,325.0
47879,מסוף חצור הגלילית/רציפים,22.0,175.0,-153.0
47911,ת. מרכזית ק''ש/רציפים,23.0,176.0,-153.0
19486,תל חי/סיני,24.0,177.0,-153.0
3996,מחלף יגור,152.0,178.0,-26.0
17610,צומת נהריה,82.0,179.0,-97.0
4179,צומת כרמיאל,15.0,180.0,-165.0
13358,סמינר הקיבוצים/דרך נמיר,1274.0,181.0,1093.0
7561,צומת חשמונאים דרום,1560.0,182.0,1378.0
14227,כביש 4/מחלף מורשה,315.0,183.0,132.0
10309,ינובסקי/דרך חברון,1275.0,184.0,1091.0
11824,צומת גבעת מרדכי/בייט,184.0,185.0,-1.0
33943,ת. רכבת משה דיין,258.0,186.0,72.0
40136,שדרות הערים התאומות/ליאו פיקרד,308.0,187.0,121.0
11294,שפע חיים/שדרות גולדה מאיר,628.0,188.0,440.0
662,הרצוג/עובדיה מברטנורא,1209.0,189.0,1020.0
41223,הר הזיתים,1916.0,190.0,1726.0
25369,דרך יצחק רבין/אבי אורן,1701.0,191.0,1510.0
2358,דרך עכו/המייסדים,333.0,192.0,141.0
700,שד. בן גוריון/זלמן שניאור,302.0,193.0,109.0
19809,הנרייטה סאלד/אליעזר פרי,45.0,194.0,-149.0
23660,שדרות ירושלים/מפרץ שלמה,436.0,195.0,241.0
2093,חניתה/טרומפלדור,317.0,196.0,121.0
10287,עמיחי גידי פאגלין/שדרות משה דיין,195.0,197.0,-2.0
3959,חסן שוקרי/הנביאים,191.0,198.0,-7.0
10659,שדרות נווה יעקב/אחימאיר,2355.0,199.0,2156.0
14600,ת. מרכזית יבנה,203.0,200.0,3.0
2345,צומת סומך,343.0,201.0,142.0
24121,אלופי צה''ל/משה שרת,516.0,202.0,314.0
16205,בי''ח בלינסון/גשר מבצע ארנון,1884.0,203.0,1681.0
48346,דרך ג'ו יוסף אלון/שדרות יוהנה ז'בוטינסקי,2416.0,204.0,2212.0
24217,מחלף גהה/ז'בוטינסקי,1481.0,205.0,1276.0
11562,דרך חברון/גבעת המטוס,293.0,206.0,87.0
4677,מכללת עמק יזרעאל,478.0,207.0,271.0
9524,שדרות נווה יעקב/הרב פרדס,2476.0,208.0,2268.0
5167,מחלף איכסאל,498.0,209.0,289.0
29503,מחלף הכפר הירוק,695.0,210.0,485.0
44250,מחלף אונו/דרך יצחק רבין,504.0,211.0,293.0
24201,צומת גבעת שמואל,1470.0,212.0,1258.0
359,הרצל/בנימין מינץ,488.0,213.0,275.0
27849,צומת גילת לדרום,196.0,214.0,-18.0
11080,מחלף הרטוב,337.0,215.0,122.0
4871,מחלף אליקים לצפון,91.0,216.0,-125.0
8109,קרית ארבע/דרך נופי ממרא,586.0,217.0,369.0
11070,שד. לוי אשכול/הגלעד,1551.0,218.0,1333.0
540,פרופסור אלברט איינשטיין/פרופסור שור,257.0,219.0,38.0
13295,הרכבת/סלומון,1720.0,220.0,1500.0
13481,יצחק אלחנן/הכרמל,1300.0,221.0,1079.0
21921,שדרות היובל/האורנים,1345.0,222.0,1123.0
29460,משה סנה/בני אפרים,2371.0,223.0,2148.0
3939,טרומפלדור/חניתה,623.0,224.0,399.0
13112,מסוף הטייסים,3269.0,225.0,3044.0
8731,הרוזמרין/כביש המנהרות,279.0,226.0,53.0
34866,כביש 3507/דרך נופי ממרא,3027.0,227.0,2800.0
22966,מסוף קרית שרת/שדרות ירושלים,1729.0,228.0,1501.0
49800,מסוף מודיעין עילית/הורדה,190.0,229.0,-39.0
2534,עצמאות/בית וגן,230.0,230.0,0.0
20917,מחלף המוביל/לדרום,33.0,231.0,-198.0
18829,מסעף אחיהוד,97.0,232.0,-135.0
24861,ת. רכבת ראשונים,1276.0,233.0,1043.0
29450,צומת הרצליה,1052.0,234.0,818.0
38936,קניון עזריאלי/כביש 20,1305.0,235.0,1070.0
599,ת. מרכזית נתניה/הורדה,335.0,236.0,99.0
25297,דרך זבולון המר/דרך שלמה שמלצר,1617.0,237.0,1380.0
10685,שמואל מאיר/כביש 398,547.0,238.0,309.0
10328,תחנת רקל''ה גבעת המבתר/יגאל ידין,396.0,239.0,157.0
14338,מתחם שרונה/אליעזר קפלן,2354.0,240.0,2114.0
21799,צומת בית דגן,178.0,241.0,-63.0
8851,המ''ג/ירמיהו,2734.0,242.0,2492.0
22668,קק''ל/כצנלסון,489.0,243.0,246.0
29482,ת. רכבת ההגנה/החרש,383.0,244.0,139.0
23401,צומת שוהם,404.0,245.0,159.0
2028,הגפן/הפרסים,467.0,246.0,221.0
16582,פארק סיבל/יציאה לכביש 5,520.0,247.0,273.0
15884,מחלף שעריה לדרום,142.0,248.0,-106.0
23217,ת. מרכזית נס ציונה/ויצמן,784.0,249.0,535.0
8752,כביש 60/הרוזמרין,430.0,250.0,180.0
16203,דרך זאב ז'בוטינסקי/הסיבים,1848.0,251.0,1597.0
29402,צומת הרצליה,941.0,252.0,689.0
5143,כביש 60/תאופיק זיאד,274.0,253.0,21.0
35060,מסילת ישרים/שדרות בית הלל,1159.0,254.0,905.0
18826,מסעף אחיהוד,153.0,255.0,-102.0
13911,שד' ירושלים/חזון אי''ש,1966.0,256.0,1710.0
22361,שאול המלך/מלכי ישראל,3239.0,257.0,2982.0
13937,דרך אבא הלל/התקווה,4853.0,258.0,4595.0
24027,יוספטל/הרב ניסנבאום,399.0,259.0,140.0
8899,מסעף מבוא ביתר,763.0,260.0,503.0
8703,גבעת שאול/כתב סופר,1687.0,261.0,1426.0
15802,בי''ס ברנר/עין גנים,1588.0,262.0,1326.0
742,מחלף ירקון,869.0,263.0,606.0
48920,ת.רכבת תל אביב - סבידור/רציפים B,694.0,264.0,430.0
27714,צומת הנשיא,193.0,265.0,-72.0
13252,הרב כהנמן/כיכר התעשיה,3191.0,266.0,2925.0
15988,צומת נווה הרצוג,2120.0,267.0,1853.0
21865,ירושלים/דניאל,517.0,268.0,249.0
25098,יהדות קנדה/העבודה,3463.0,269.0,3194.0
29339,סמינר הקיבוצים/דרך נמיר,2061.0,270.0,1791.0
3915,ההסתדרות/צומת קרית חיים,1197.0,271.0,926.0
8636,גולדה/שלמה הלוי,266.0,272.0,-6.0
15577,כביש 42/בית חנן,1616.0,273.0,1343.0
26906,מחלף מיתר לערד,1095.0,274.0,821.0
43594,דרך זבולון המר/דרך אם המושבות,2710.0,275.0,2435.0
41607,שדרות יוהנה ז'בוטינסקי/חטיבה שמונה,3443.0,276.0,3167.0
25940,צומת אשקלון,282.0,277.0,5.0
15575,מסעף עיינות,1792.0,278.0,1514.0
13361,מחלף גהה/כביש 4,1780.0,279.0,1501.0
29479,דרך נמיר/ז'בוטינסקי,2384.0,280.0,2104.0
44887,שדרות נהר הירקון/קליין,334.0,281.0,53.0
24928,מסוף רעננה/דרך השרון,181.0,282.0,-101.0
13104,דרך בן גוריון/שלישות,1400.0,283.0,1117.0
41047,תחנת רכבת עפולה/יואש דובנוב,646.0,284.0,362.0
1849,ההגנה/רוטנברג,292.0,285.0,7.0
14209,מחלף הכפר הירוק,1290.0,286.0,1004.0
48481,שדרות שז''ר/בנייני האומה,132.0,287.0,-155.0
10004,שדרות נווה יעקב/משה דיין,2853.0,288.0,2565.0
