window,strategy,removed,largest_component_share_surviving
evening,degree,2789,0.2169
evening,degree,2936,0.21319
evening,weighted degree,0,0.99271
evening,weighted degree,15,0.9926
evening,weighted degree,29,0.99199
evening,weighted degree,73,0.99006
evening,weighted degree,147,0.98754
evening,weighted degree,294,0.98589
evening,weighted degree,440,0.97728
evening,weighted degree,587,0.97546
evening,weighted degree,734,0.97366
evening,weighted degree,881,0.96481
evening,weighted degree,1028,0.9593
evening,weighted degree,1174,0.95469
evening,weighted degree,1321,0.94832
evening,weighted degree,1468,0.94267
evening,weighted degree,1615,0.94056
evening,weighted degree,1762,0.93818
evening,weighted degree,1908,0.93268
evening,weighted degree,2055,0.92554
evening,weighted degree,2202,0.92157
evening,weighted degree,2349,0.91063
evening,weighted degree,2496,0.90627
evening,weighted degree,2642,0.89737
evening,weighted degree,2789,0.89146
evening,weighted degree,2936,0.87136
evening,betweenness,0,0.99271
evening,betweenness,15,0.99182
evening,betweenness,29,0.99182
evening,betweenness,73,0.99157
evening,betweenness,147,0.99083
evening,betweenness,294,0.98724
evening,betweenness,440,0.9786
evening,betweenness,587,0.97021
evening,betweenness,734,0.96419
evening,betweenness,881,0.96158
evening,betweenness,1028,0.96026
evening,betweenness,1174,0.95515
evening,betweenness,1321,0.94821
evening,betweenness,1468,0.94342
evening,betweenness,1615,0.92395
evening,betweenness,1762,0.91706
evening,betweenness,1908,0.84314
evening,betweenness,2055,0.75729
evening,betweenness,2202,0.73749
evening,betweenness,2349,0.51481
evening,betweenness,2496,0.50653
evening,betweenness,2642,0.45286
evening,betweenness,2789,0.43925
evening,betweenness,2936,0.428
evening,articulation points,0,0.99271
evening,articulation points,15,0.98944
evening,articulation points,29,0.98742
evening,articulation points,73,0.98364
evening,articulation points,147,0.97741
evening,articulation points,294,0.95713
evening,articulation points,440,0.93976
evening,articulation points,587,0.93883
evening,articulation points,734,0.94365
evening,articulation points,881,0.94852
evening,articulation points,1028,0.95344
evening,articulation points,1174,0.95838
evening,articulation points,1321,0.9398
evening,articulation points,1468,0.92403
evening,articulation points,1615,0.9184
evening,articulation points,1762,0.90586
evening,articulation points,1908,0.89101
evening,articulation points,2055,0.87562
evening,articulation points,2202,0.77475
evening,articulation points,2349,0.76612
evening,articulation points,2496,0.75636
evening,articulation points,2642,0.41142
evening,articulation points,2789,0.40704
evening,articulation points,2936,0.37967
evening,random (baseline),0,0.99271
evening,random (baseline),15,0.99271
evening,random (baseline),29,0.99264
evening,random (baseline),73,0.99249
evening,random (baseline),147,0.99148
evening,random (baseline),294,0.98979
evening,random (baseline),440,0.98757
evening,random (baseline),587,0.98611
evening,random (baseline),734,0.98006
evening,random (baseline),881,0.97708
evening,random (baseline),1028,0.97368
evening,random (baseline),1174,0.97151
evening,random (baseline),1321,0.96872
evening,random (baseline),1468,0.96636
evening,random (baseline),1615,0.96393
evening,random (baseline),1762,0.96126
evening,random (baseline),1908,0.95782
evening,random (baseline),2055,0.95377
evening,random (baseline),2202,0.9497
evening,random (baseline),2349,0.94581
evening,random (baseline),2496,0.94275
evening,random (baseline),2642,0.93915
evening,random (baseline),2789,0.93356
evening,random (baseline),2936,0.92966
night,degree,0,0.98833
night,degree,13,0.9869
night,degree,26,0.98651
night,degree,65,0.98174
night,degree,130,0.97976
night,degree,260,0.96526
night,degree,390,0.93885
night,degree,519,0.93214
night,degree,649,0.91299
night,degree,779,0.90599
night,degree,909,0.7861
night,degree,1039,0.76111
night,degree,1169,0.75067
night,degree,1298,0.72281
night,degree,1428,0.52916
night,degree,1558,0.44643
night,degree,1688,0.42333
night,degree,1818,0.42457
night,degree,1948,0.27041
night,degree,2077,0.25257
night,degree,2207,0.24175
night,degree,2337,0.21917
night,degree,2467,0.21813
night,degree,2597,0.21729
night,weighted degree,0,0.98833
night,weighted degree,13,0.98817
night,weighted degree,26,0.98809
night,weighted degree,65,0.9866
night,weighted degree,130,0.98158
night,weighted degree,260,0.97752
night,weighted degree,390,0.97721
night,weighted degree,519,0.97619
night,weighted degree,649,0.97535
night,weighted degree,779,0.96459
night,weighted degree,909,0.9573
night,weighted degree,1039,0.95607
night,weighted degree,1169,0.95096
night,weighted degree,1298,0.94434
night,weighted degree,1428,0.93957
night,weighted degree,1558,0.93613
night,weighted degree,1688,0.92751
night,weighted degree,1818,0.91747
night,weighted degree,1948,0.91419
night,weighted degree,2077,0.90523
night,weighted degree,2207,0.90156
night,weighted degree,2337,0.89848
night,weighted degree,2467,0.8946
night,weighted degree,2597,0.88922
night,betweenness,0,0.98833
night,betweenness,13,0.98744
night,betweenness,26,0.98736
night,betweenness,65,0.9861
night,betweenness,130,0.98491
night,betweenness,260,0.97156
night,betweenness,390,0.9559
night,betweenness,519,0.94451
night,betweenness,649,0.94233
night,betweenness,779,0.91814
night,betweenness,909,0.90127
night,betweenness,1039,0.8975
night,betweenness,1169,0.89475
night,betweenness,1298,0.88484
night,betweenness,1428,0.8773
night,betweenness,1558,0.59851
night,betweenness,1688,0.57222
night,betweenness,1818,0.54984
night,betweenness,1948,0.54253
night,betweenness,2077,0.29707
night,betweenness,2207,0.29499
night,betweenness,2337,0.23411
night,betweenness,2467,0.23217
night,betweenness,2597,0.19884
night,articulation points,0,0.98833
night,articulation points,13,0.98644
night,articulation points,26,0.98169
night,articulation points,65,0.97714
night,articulation points,130,0.9714
night,articulation points,260,0.9483
night,articulation points,390,0.92345
night,articulation points,519,0.90156
night,articulation points,649,0.89166
night,articulation points,779,0.89626
night,articulation points,909,0.90091
night,articulation points,1039,0.90561
night,articulation points,1169,0.91036
night,articulation points,1298,0.91512
night,articulation points,1428,0.91996
night,articulation points,1558,0.92486
night,articulation points,1688,0.92982
night,articulation points,1818,0.93341
night,articulation points,1948,0.92256
night,articulation points,2077,0.9046
night,articulation points,2207,0.87736
night,articulation points,2337,0.85755
night,articulation points,2467,0.84694
night,articulation points,2597,0.71887
night,random (baseline),0,0.98833
night,random (baseline),13,0.98804
night,random (baseline),26,0.98772
night,random (baseline),65,0.9874
night,random (baseline),130,0.9859
night,random (baseline),260,0.98303
night,random (baseline),390,0.98059
