stop_id,stop_name,region,lat,lon,degree,weighted_degree,approx_betweenness,rank_in_peak_window,peak_window,offpeak_window
10144,גב.המטוס,Jerusalem,31.740332,35.2115,2.0,36.0,0.0006695015089906431,2962,morning_peak,night
1314,נשר אצטדיון,North,32.765934,35.052748,5.0,34.0,0.0006680098328457651,2969,morning_peak,night
1,בי''ס בר לב/בן יהודה,Center,32.183985,34.917554,2.0,8.0,0.000662510384305505,2985,morning_peak,night
36802,כיכר אמציה לצפון,South,31.539022,34.905007,5.0,32.0,0.0006609984221470492,2988,morning_peak,night
16011,כביש 42/בית חנן,Center,31.935696,34.778269,3.0,28.0,0.0006572675753174945,3000,morning_peak,night
7272,חניון עין זיתים,North,33.006939,35.482714,2.0,10.0,0.0006485257722735827,3029,morning_peak,night
6452,מחנה מתת,North,33.042788,35.362274,3.0,22.0,0.0006436017188642797,3045,morning_peak,night
4369,מסעף מעלה גמלא,North,32.89778,35.691823,3.0,14.0,0.0006416499137729982,3052,morning_peak,night
28541,צומת שיבטה,South,30.943809,34.596376,4.0,19.0,0.0006373936393077406,3060,morning_peak,night
44748,טבאליה/אל בראעם,Jerusalem,31.742034,35.207132,2.0,36.0,0.0006359995492011875,3066,morning_peak,night
40268,הייב/יציאה דרומי,North,32.768478,35.307236,2.0,80.0,0.0006337912530170955,3072,morning_peak,night
19277,שעב/כביש ראשי,North,32.891716,35.235377,4.0,20.0,0.0006281092596486241,3091,morning_peak,night
18243,בירנית,North,33.056339,35.350613,2.0,12.0,0.0006104347786727188,3131,morning_peak,night
28586,מועצה אזורית רמת הנגב,South,31.004309,34.771393,2.0,8.0,0.0006048349013599972,3145,morning_peak,night
9050,בית ספר יסודי בית צפאפא/אל בראעם,Jerusalem,31.740129,35.205087,2.0,36.0,0.0006024975894117317,3154,morning_peak,night
19655,היב 5,North,32.770241,35.30632,2.0,80.0,0.0006002892932276399,3161,morning_peak,night
14988,בית עלמין,Center,32.261294,34.925896,2.0,2.0,0.0005970761070393463,3171,morning_peak,night
39516,שלווה/יציאה,Center,31.564654,34.764682,3.0,16.0,0.0005926272518391556,3192,morning_peak,night
3747,בליטנטל/סייפן,North,32.776874,35.001438,4.0,88.0,0.0005807163056356622,3228,morning_peak,night
6451,מסעף מחנה בירנית,North,33.056016,35.343615,2.0,12.0,0.0005774688502398946,3238,morning_peak,night
43935,צים סנטר/אזור התעשייה,North,32.511806,35.501297,2.0,4.0,0.0005770160961884951,3240,morning_peak,night
28538,חוות זוהר המדבר,South,31.024234,34.752278,3.0,16.0,0.0005758892081019076,3242,morning_peak,night
10145,גבעת המטוס/דרך חברון,Jerusalem,31.7404,35.211598,2.0,22.0,0.0005700710032192174,3257,morning_peak,night
44801,אל ג'מעאיה/אל טפטאף,Jerusalem,31.741404,35.204823,2.0,36.0,0.0005689956296222762,3263,morning_peak,night
19654,היב 4,North,32.77286,35.305547,2.0,80.0,0.0005667873334381842,3267,morning_peak,night
14994,צומת עין ורד,Center,32.261588,34.930097,3.0,12.0,0.0005635741472498908,3281,morning_peak,night
2767,דניה/אבא חושי,North,32.769386,35.00653,2.0,56.0,0.0005612682791942332,3291,morning_peak,night
51864,צומת דשנים לצפון ,North,32.786227,35.077265,2.0,26.0,0.000560198106302171,3295,morning_peak,night
39239,העצמאות/שלום סלח,North,32.800454,35.103089,2.0,8.0,0.0005511430834823847,3328,morning_peak,night
2765,פרץ/הברוש,North,32.771799,35.044224,9.0,148.0,0.0005485294425196164,3337,morning_peak,night
7204,מחנה בירנית,North,33.056816,35.340076,2.0,12.0,0.0005445029218070701,3355,morning_peak,night
1847,שבדיה/ליבריה,North,32.766511,35.011114,2.0,56.0,0.0005442963938578045,3357,morning_peak,night
39138,צומת ביר הדאג,South,31.02883,34.750132,3.0,16.0,0.0005423872483124518,3365,morning_peak,night
28540,צומת מחנה מפרשית,South,30.912341,34.52239,5.0,18.0,0.0005388541069401465,3379,morning_peak,night
10146,גב.המטוס,Jerusalem,31.740583,35.210938,2.0,22.0,0.0005365690434297618,3387,morning_peak,night
21637,קניון אסף/44,Center,31.968812,34.842185,7.0,132.0,0.000535985460657188,3392,morning_peak,night
39559,ביג/דרך הדרום,Center,31.602955,34.772665,2.0,96.0,0.0005356881723250987,3393,morning_peak,night
8967,תיכון בית ספאפא/אל מדרסה אל ג'דידה,Jerusalem,31.743183,35.20513,2.0,36.0,0.0005354936698328203,3394,morning_peak,night
19653,היב 3,North,32.774785,35.305519,2.0,80.0,0.0005332853736487288,3405,morning_peak,night
37832,פארק תעשיות נ.ע.מ א,South,31.416832,34.61341,4.0,36.0,0.0005293088526200873,3424,morning_peak,night
3766,דניה/ליבריה א,North,32.769514,35.004773,2.0,64.0,0.0005277663194047776,3430,morning_peak,night
39240,יצחק בן צבי/שטיינברג,North,32.800978,35.092221,2.0,8.0,0.0005185756123133497,3465,morning_peak,night
10933,מסעף ישעי,Jerusalem,31.748264,34.973924,3.0,22.0,0.0005171547377736404,3471,morning_peak,night
1846,שבדיה ה,North,32.766461,35.009315,2.0,56.0,0.0005107944340683488,3491,morning_peak,night
40269,הייב/כניסה דרומית,North,32.768007,35.309671,2.0,28.0,0.0005052753798243976,3508,morning_peak,night
42040,תיכון רבין/בן יהודה,Center,32.18539,34.912354,2.0,4.0,0.0005036859493293972,3514,morning_peak,night
44749,טבאליה/אל בראעם,Jerusalem,31.742129,35.207152,2.0,22.0,0.0005030670836403061,3517,morning_peak,night
29030,שיזף/טופח,South,31.081253,35.041803,3.0,64.0,0.0005025293968418354,3520,morning_peak,night
41543,דרך החרושת/שדרות ישראל פולק,Center,31.597756,34.776492,4.0,94.0,0.000502186212535643,3522,morning_peak,night
8928,בית ספר תיכון בית צפאפא/אלנהדה,Jerusalem,31.743972,35.205233,2.0,36.0,0.0005019917100433646,3523,morning_peak,night
40313,מסגד,North,32.776129,35.305251,2.0,80.0,0.0004997834138592731,3537,morning_peak,night
35490,מחסום תאנים,Center,32.28042,35.037547,3.0,20.0,0.0004986117628199082,3545,morning_peak,night
20062,צומת מסעדה,North,33.232493,35.755843,4.0,22.0,0.0004962227268824644,3553,morning_peak,night
8579,אלמדינה אלמנורה/ביר אלעקבה,Jerusalem,31.740964,35.235249,2.0,14.0,0.0004959233849030538,3554,morning_peak,night
2073,דניה/ליבריה ב,North,32.768676,35.002858,2.0,64.0,0.0004942643596153219,3564,morning_peak,night
21224,עין מאהל א'/כניסה,North,32.723988,35.346772,2.0,26.0,0.0004921760044886649,3581,morning_peak,night
17078,קופת חולים מאוחדת,North,32.697244,35.050103,3.0,40.0,0.00048577841694710756,3611,morning_peak,night
23189,החווה האקולוגית/השדרה המרכזית,Center,31.91621,34.977133,2.0,16.0,0.0004851182064671796,3617,morning_peak,night
20872,בית ספר תל חי/הנשיא,North,33.221616,35.576117,7.0,16.0,0.00048092903894703576,3635,morning_peak,night
2939,שבדיה ד,North,32.767107,35.00736,2.0,56.0,0.00047729247427889305,3657,morning_peak,night
4402,צומת נשוט,North,33.025581,35.673827,2.0,10.0,0.000474877573643649,3665,morning_peak,night
3787,ירושלים/הים התיכון,North,32.836792,35.065982,3.0,96.0,0.0004737812710724777,3670,morning_peak,night
19636,היב 1,North,32.76881,35.306943,2.0,28.0,0.0004717734200349419,3681,morning_peak,night
42092,בית ספר יסודי ה,North,32.878114,35.415106,2.0,86.0,0.0004714593420251616,3684,morning_peak,night
43368,קיבוץ ניצנים,Center,31.717753,34.635909,4.0,16.0,0.00046957878974565034,3696,morning_peak,night
11443,חלופת בית לחם,Jerusalem,31.741889,35.206669,2.0,22.0,0.0004695651238508504,3697,morning_peak,night
46590,אל נג'אח/אל טבל,Center,32.262062,35.002334,2.0,18.0,0.0004690274370523797,3701,morning_peak,night
44778,מעקף איחוד הכפר/כיכר המסגד,Jerusalem,31.745592,35.201824,2.0,38.0,0.00046848975025390896,3703,morning_peak,night
39607,40/צומת סגולה,Center,31.666833,34.771477,2.0,4.0,0.0004674485071240518,3708,morning_peak,night
4269,גבעת רשיד,North,32.749373,35.183579,5.0,60.0,0.00046660531417901617,3715,morning_peak,night
19652,היב 2,North,32.779215,35.303369,2.0,80.0,0.0004662814540698174,3717,morning_peak,night
19373,130/121,North,32.684343,35.275493,4.0,44.0,0.000465374462083844,3725,morning_peak,night
48198,ת. מרכזית נהריה/רציפים,North,33.005504,35.097344,2.0,27.0,0.0004645312860961177,3730,morning_peak,night
48068,ת. מרכזית נהריה/רציפים,North,33.005504,35.097344,2.0,13.0,0.0004645312860961177,3731,morning_peak,night
38386,קופת חולים/אלמדינה אלמנוורה,Jerusalem,31.739898,35.236798,2.0,14.0,0.00046242142511359794,3743,morning_peak,night
