window,strategy,removed,removed_fraction,window_nodes,surviving_nodes,lcc_size,largest_component_share_surviving,lcc_share_original
afternoon_peak,weighted degree,2705,0.09,30057,27352,24269.0,0.88728,0.80743
afternoon_peak,weighted degree,2855,0.09499,30057,27202,24076.0,0.88508,0.80101
afternoon_peak,weighted degree,3006,0.10001,30057,27051,23659.0,0.87461,0.78714
afternoon_peak,betweenness,0,0.0,30057,30057,29833.0,0.99255,0.99255
afternoon_peak,betweenness,15,0.0005,30057,30042,29795.0,0.99178,0.99128
afternoon_peak,betweenness,30,0.001,30057,30027,29776.0,0.99164,0.99065
afternoon_peak,betweenness,75,0.0025,30057,29982,29713.0,0.99103,0.98856
afternoon_peak,betweenness,150,0.00499,30057,29907,29615.0,0.99024,0.98529
afternoon_peak,betweenness,301,0.01001,30057,29756,29188.0,0.98091,0.97109
afternoon_peak,betweenness,451,0.015,30057,29606,28915.0,0.97666,0.96201
afternoon_peak,betweenness,601,0.02,30057,29456,28684.0,0.97379,0.95432
afternoon_peak,betweenness,751,0.02499,30057,29306,28464.0,0.97127,0.947
afternoon_peak,betweenness,902,0.03001,30057,29155,28134.0,0.96498,0.93602
afternoon_peak,betweenness,1052,0.035,30057,29005,27962.0,0.96404,0.9303
afternoon_peak,betweenness,1202,0.03999,30057,28855,27017.0,0.9363,0.89886
afternoon_peak,betweenness,1353,0.04501,30057,28704,26540.0,0.92461,0.88299
afternoon_peak,betweenness,1503,0.05,30057,28554,26208.0,0.91784,0.87194
afternoon_peak,betweenness,1653,0.055,30057,28404,25933.0,0.91301,0.86279
afternoon_peak,betweenness,1803,0.05999,30057,28254,24731.0,0.87531,0.8228
afternoon_peak,betweenness,1954,0.06501,30057,28103,24090.0,0.8572,0.80148
afternoon_peak,betweenness,2104,0.07,30057,27953,23371.0,0.83608,0.77756
afternoon_peak,betweenness,2254,0.07499,30057,27803,14763.0,0.53099,0.49117
afternoon_peak,betweenness,2405,0.08001,30057,27652,14631.0,0.52911,0.48678
afternoon_peak,betweenness,2555,0.08501,30057,27502,12441.0,0.45237,0.41391
afternoon_peak,betweenness,2705,0.09,30057,27352,12232.0,0.44721,0.40696
afternoon_peak,betweenness,2855,0.09499,30057,27202,11935.0,0.43875,0.39708
afternoon_peak,betweenness,3006,0.10001,30057,27051,11539.0,0.42656,0.3839
afternoon_peak,articulation points,0,0.0,30057,30057,29833.0,0.99255,0.99255
afternoon_peak,articulation points,15,0.0005,30057,30042,29759.0,0.99058,0.99009
afternoon_peak,articulation points,30,0.001,30057,30027,29691.0,0.98881,0.98782
afternoon_peak,articulation points,75,0.0025,30057,29982,29515.0,0.98442,0.98197
afternoon_peak,articulation points,150,0.00499,30057,29907,29311.0,0.98007,0.97518
afternoon_peak,articulation points,301,0.01001,30057,29756,28296.0,0.95093,0.94141
afternoon_peak,articulation points,451,0.015,30057,29606,27760.0,0.93765,0.92358
afternoon_peak,articulation points,601,0.02,30057,29456,27626.0,0.93787,0.91912
afternoon_peak,articulation points,751,0.02499,30057,29306,27626.0,0.94267,0.91912
